"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"nehemiah","Nehemiah","tok-28b5d62a0d10","אָבֽוֹא׃","אבוא׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 6:11"
"nehemiah","Nehemiah","tok-cc41993df1a6","אֲבִיָּ֖ה","אביה","Unresolved","","No lexical entry yet","true","1","Nehemiah 10:8"
"nehemiah","Nehemiah","tok-ec05c9581017","אֲבִיָּֽה׃","אביה׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 12:4"
"nehemiah","Nehemiah","tok-32e386e4b7da","אַבְנֵיהֶֽם׃","אבניהמ׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 3:35"
"nehemiah","Nehemiah","tok-728dc64b7e93","אַבְרָהָֽם׃","אברהמ׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 9:7"
"nehemiah","Nehemiah","tok-07ac84c51c51","אֲבֹתַי֙","אבתי","Unresolved","","No lexical entry yet","true","1","Nehemiah 2:3"
"nehemiah","Nehemiah","tok-ba5d309ac82b","אֲבֹתַ֖י","אבתי","Unresolved","","No lexical entry yet","true","1","Nehemiah 2:5"
"nehemiah","Nehemiah","tok-b70c9bde35b8","אֲבֹתֵיהֶֽם׃","אבתיהמ׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 9:2"
"nehemiah","Nehemiah","tok-6be01db02474","אֲבֹ֣תֵיכֶ֔ם","אבתיכמ","Unresolved","","No lexical entry yet","true","1","Nehemiah 13:18"
"nehemiah","Nehemiah","tok-07164330b337","אֲבֹתֵ֖ינוּ","אבתינו","Unresolved","","No lexical entry yet","true","1","Nehemiah 9:9"
"nehemiah","Nehemiah","tok-8204bcaeab29","אִגְּרוֹת֙","אגרות","Unresolved","","No lexical entry yet","true","1","Nehemiah 2:7"
"nehemiah","Nehemiah","tok-a47ad2d8659d","אִגְּר֣וֹת","אגרות","Unresolved","","No lexical entry yet","true","1","Nehemiah 2:9"
"nehemiah","Nehemiah","tok-d0ae1f44015f","אִגְּר֛וֹת","אגרות","Unresolved","","No lexical entry yet","true","1","Nehemiah 6:19"
"nehemiah","Nehemiah","tok-fcaf8882b2e8","אִגְּרֹ֣תֵיהֶ֔ם","אגרתיהמ","Unresolved","","No lexical entry yet","true","1","Nehemiah 6:17"
"nehemiah","Nehemiah","tok-fa00014150ee","אַדִּירֵיהֶם֒","אדיריהמ","Unresolved","","No lexical entry yet","true","1","Nehemiah 10:30"
"nehemiah","Nehemiah","tok-d7a4c12a404e","אֲדֹנָ֗י","אדני","Unresolved","","No lexical entry yet","true","1","Nehemiah 1:11"
"nehemiah","Nehemiah","tok-0d60036c57fa","אֲדֹנִיָּ֥ה","אדניה","Unresolved","","No lexical entry yet","true","1","Nehemiah 10:17"
"nehemiah","Nehemiah","tok-2dfbb4d6b5b3","אֲדֹנֵיהֶֽם׃","אדניהמ׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 3:5"
"nehemiah","Nehemiah","tok-498c9a7e92b8","אֲדֹנֵ֔ינוּ","אדנינו","Unresolved","","No lexical entry yet","true","1","Nehemiah 10:30"
"nehemiah","Nehemiah","tok-79f3eeb7cd9d","אֲדֹ֣נִיקָ֔ם","אדניקמ","Unresolved","","No lexical entry yet","true","1","Nehemiah 7:18"
"nehemiah","Nehemiah","tok-8805d0d1af68","אַהֲרֹֽן׃","אהרנ׃","Unresolved","","No lexical entry yet","true","1","Nehemiah 12:47"
"nehemiah","Nehemiah","tok-f84d95db75c4","אוֹיְבֵ֙ינוּ֙","אויבינו","Unresolved","","No lexical entry yet","true","1","Nehemiah 4:9"
