"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"nineteen-letters","Nineteen Letters","tok-4177e31daa04","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:6"
"nineteen-letters","Nineteen Letters","tok-3faf7783c696","אאחר","אאחר","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 19:5"
"nineteen-letters","Nineteen Letters","tok-d1234dc5c037","אאמין","אאמינ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:6"
"nineteen-letters","Nineteen Letters","tok-fd509ae14408","אבאר","אבאר","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 2:5; Nineteen Letters 10:3"
"nineteen-letters","Nineteen Letters","tok-1ec214b434ae","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:12"
"nineteen-letters","Nineteen Letters","tok-c117cd33c07f","אבדן","אבדנ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 5:8"
"nineteen-letters","Nineteen Letters","tok-f3edf52f879e","אבי","אבי","Unresolved","","No lexical entry yet","true","3","Nineteen Letters 1:2; Nineteen Letters 14:6"
"nineteen-letters","Nineteen Letters","tok-a1869cef5622","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:1"
"nineteen-letters","Nineteen Letters","tok-8b112c6074db","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 8:1"
"nineteen-letters","Nineteen Letters","tok-0dac275c9760","אביכם","אביכמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:22"
"nineteen-letters","Nineteen Letters","tok-4b0ca54cda2c","אבליהם","אבליהמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 15:25"
"nineteen-letters","Nineteen Letters","tok-b55d19045b31","אבלים","אבלימ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 12:3"
"nineteen-letters","Nineteen Letters","tok-c707ac8f3ff7","אבניך","אבניכ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:113"
"nineteen-letters","Nineteen Letters","tok-629fbc0f65ea","אבק","אבק","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:18"
"nineteen-letters","Nineteen Letters","tok-3719c3971f5b","אברי","אברי","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 4:1; Nineteen Letters 18:19"
"nineteen-letters","Nineteen Letters","tok-8c254ae6c327","אברך","אברכ","Unresolved","","No lexical entry yet","true","4","Nineteen Letters 16:12; Nineteen Letters 18:18"
"nineteen-letters","Nineteen Letters","tok-08b9399808d1","אברתם","אברתמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:9"
"nineteen-letters","Nineteen Letters","tok-2ffe53f0d630","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 17:10"
"nineteen-letters","Nineteen Letters","tok-6c56a3f4f864","אגוף","אגופ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 19:5"
"nineteen-letters","Nineteen Letters","tok-aceef12bcc38","אגרותינו","אגרותינו","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 10:1; Nineteen Letters 19:10"
"nineteen-letters","Nineteen Letters","tok-ef8f0e3475a0","אדונו","אדונו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 8:11"
"nineteen-letters","Nineteen Letters","tok-495a95db5f35","אדונם","אדונמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 5:4"
"nineteen-letters","Nineteen Letters","tok-8b57cdc17a3b","אדוקים","אדוקימ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:8"
"nineteen-letters","Nineteen Letters","tok-6ac6e661dfb2","אֹדותה","אדותה","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 2:6"
"nineteen-letters","Nineteen Letters","tok-d2f635b7d189","אדותו","אדותו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 19:4"
"nineteen-letters","Nineteen Letters","tok-35f42cc7ad73","אדם""","אדמ""","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 6:81; Nineteen Letters 9:24"
"nineteen-letters","Nineteen Letters","tok-ffa614a3dd53","אדמות","אדמות","Unresolved","","No lexical entry yet","true","4","Nineteen Letters 2:5; Nineteen Letters 4:4; Nineteen Letters 8:2; Nineteen Letters 15:23"
"nineteen-letters","Nineteen Letters","tok-b7f481b1c520","אדמתם","אדמתמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:6"
"nineteen-letters","Nineteen Letters","tok-85a138682ec0","אדני","אדני","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 2:4"
"nineteen-letters","Nineteen Letters","tok-34ff866cf7b8","אדפיס","אדפיס","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 19:9"
"nineteen-letters","Nineteen Letters","tok-8a45b9958690","אהד","אהד","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 7:9"
"nineteen-letters","Nineteen Letters","tok-c8b580130842","אהה","אהה","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 2:2"
"nineteen-letters","Nineteen Letters","tok-dde2550f1389","אהובי","אהובי","Unresolved","","No lexical entry yet","true","12","Nineteen Letters 1:1; Nineteen Letters 1:12; Nineteen Letters 4:2; Nineteen Letters 7:1; Nineteen Letters 9:13"
"nineteen-letters","Nineteen Letters","tok-a35a7f68bc85","אהליך","אהליכ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 8:12"
"nineteen-letters","Nineteen Letters","tok-19699d94fbbe","אודותה","אודותה","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:6"
"nineteen-letters","Nineteen Letters","tok-e259acc7f783","אוהבך","אוהבכ","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 2:2; Nineteen Letters 19:12"
"nineteen-letters","Nineteen Letters","tok-2d4c42318754","אויטאריטעט","אויטאריטעט","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:18"
"nineteen-letters","Nineteen Letters","tok-0891ab372316","אוכל","אוכל","Unresolved","","No lexical entry yet","true","7","Nineteen Letters 1:4; Nineteen Letters 2:4; Nineteen Letters 2:5; Nineteen Letters 5:1; Nineteen Letters 15:3"
"nineteen-letters","Nineteen Letters","tok-7b2b6d89af0c","אולי","אולי","Unresolved","","No lexical entry yet","true","21","Nineteen Letters 1:12; Nineteen Letters 2:2; Nineteen Letters 2:5; Nineteen Letters 14:4; Nineteen Letters 15:20"
"nineteen-letters","Nineteen Letters","tok-b95483237c57","אולם","אולמ","Unresolved","","No lexical entry yet","true","3","Nineteen Letters 1:13; Nineteen Letters 3:1; Nineteen Letters 10:1"
"nineteen-letters","Nineteen Letters","tok-a6b5684c71af","אולת","אולת","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:10"
"nineteen-letters","Nineteen Letters","tok-49101e106972","אונס","אונס","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:12"
"nineteen-letters","Nineteen Letters","tok-a710c6cfc3ec","אונפעהלבאר","אונפעהלבאר","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 15:3"
"nineteen-letters","Nineteen Letters","tok-f0c979b04611","אוסם","אוסמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 4:2"
"nineteen-letters","Nineteen Letters","tok-cc155e44e861","אוצרותינו","אוצרותינו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 4:2"
"nineteen-letters","Nineteen Letters","tok-be1f53bc275d","אורחים","אורחימ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 8:5"
"nineteen-letters","Nineteen Letters","tok-36cbd7691dc3","אושיט","אושיט","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 19:1"
"nineteen-letters","Nineteen Letters","tok-ad8ed3681fd9","אותותיהם","אותותיהמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:9"
"nineteen-letters","Nineteen Letters","tok-2b3654376134","אותי","אותי","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 1:4; Nineteen Letters 16:1"
"nineteen-letters","Nineteen Letters","tok-03520c56ecb2","אותך","אותכ","Unresolved","","No lexical entry yet","true","5","Nineteen Letters 3:2; Nineteen Letters 12:1; Nineteen Letters 12:5; Nineteen Letters 15:11; Nineteen Letters 19:5"
"nineteen-letters","Nineteen Letters","tok-cda3e8b35e1a","אותת","אותת","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 15:10"
"nineteen-letters","Nineteen Letters","tok-033662ddc750","אזי","אזי","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 15:18"
"nineteen-letters","Nineteen Letters","tok-8ebeb4775b53","אזלת","אזלת","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 15:18"
"nineteen-letters","Nineteen Letters","tok-50ee361a7c73","אזני","אזני","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 2:2"
"nineteen-letters","Nineteen Letters","tok-db79b29b4519","אזנך","אזנכ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 10:2"
"nineteen-letters","Nineteen Letters","tok-86fbcd867617","אזנכם","אזנכמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:142"
"nineteen-letters","Nineteen Letters","tok-73a26524ccc7","אזרח","אזרח","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 9:12; Nineteen Letters 16:1"
"nineteen-letters","Nineteen Letters","tok-b00bc4bac53b","אחדה","אחדה","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:12"
"nineteen-letters","Nineteen Letters","tok-4598fb7eb8a1","אחדותם","אחדותמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 16:6"
"nineteen-letters","Nineteen Letters","tok-ef861b75d80a","אחוזת","אחוזת","Unresolved","","No lexical entry yet","true","3","Nineteen Letters 8:9; Nineteen Letters 9:1"
"nineteen-letters","Nineteen Letters","tok-15df5d30e0ae","אחוזתו","אחוזתו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 8:10"
"nineteen-letters","Nineteen Letters","tok-f39a8974f9c6","אחוזתם","אחוזתמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:1"
"nineteen-letters","Nineteen Letters","tok-de6dd3d6e61b","אחז","אחז","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 10:1"
"nineteen-letters","Nineteen Letters","tok-069a63aaa349","אחי","אחי","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 4:4; Nineteen Letters 19:4"
"nineteen-letters","Nineteen Letters","tok-09055ae8f191","אחיהם","אחיהמ","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 15:15; Nineteen Letters 17:9"
"nineteen-letters","Nineteen Letters","tok-92a8c9e9016e","אחלק","אחלק","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 9:72"
"nineteen-letters","Nineteen Letters","tok-6977d856dcbf","אחפוץ","אחפוצ","Unresolved","","No lexical entry yet","true","2","Nineteen Letters 2:5; Nineteen Letters 15:11"
"nineteen-letters","Nineteen Letters","tok-4d4c64ea3ef1","אחריהם","אחריהמ","Unresolved","","No lexical entry yet","true","4","Nineteen Letters 9:11; Nineteen Letters 18:5; Nineteen Letters 18:6"
"nineteen-letters","Nineteen Letters","tok-bd43b6905b44","אחריכם","אחריכמ","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:18"
"nineteen-letters","Nineteen Letters","tok-b0f87b997347","אחרינו","אחרינו","Unresolved","","No lexical entry yet","true","1","Nineteen Letters 18:18"
