"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-1d48357af07c","א׳","א׳","Unresolved","","No lexical entry yet","true","1146","Ohr Penimi on Talmud Eser HaSefirot 1:1:3; Ohr Penimi on Talmud Eser HaSefirot 1:1:11; Ohr Penimi on Talmud Eser HaSefirot 1:1:14; Ohr Penimi on Talmud Eser HaSefirot 1:1:18; Ohr Penimi on Talmud Eser HaSefirot 1:1:19"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-d5a40b00fc1f","א""","א""","Unresolved","","No lexical entry yet","true","1","Ohr Penimi on Talmud Eser HaSefirot 13:206:2"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-cbc4c583ed22","א""'","א""'","Unresolved","","No lexical entry yet","true","1","Ohr Penimi on Talmud Eser HaSefirot 10:147:2"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-b24fd7170acc","א״א","א״א","Unresolved","","No lexical entry yet","true","353","Ohr Penimi on Talmud Eser HaSefirot 3:9:2; Ohr Penimi on Talmud Eser HaSefirot 3:11:2; Ohr Penimi on Talmud Eser HaSefirot 4:1:3; Ohr Penimi on Talmud Eser HaSefirot 4:6:35; Ohr Penimi on Talmud Eser HaSefirot 6:1:3"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-cc3261a7a230","א״י","א״י","Unresolved","","No lexical entry yet","true","2","Ohr Penimi on Talmud Eser HaSefirot 7:20:1; Ohr Penimi on Talmud Eser HaSefirot 16:75:1"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-339d5db57b01","א״ל","א״ל","Unresolved","","No lexical entry yet","true","18","Ohr Penimi on Talmud Eser HaSefirot 3:15:3; Ohr Penimi on Talmud Eser HaSefirot 8:56:1; Ohr Penimi on Talmud Eser HaSefirot 12:284:1; Ohr Penimi on Talmud Eser HaSefirot 12:285:1; Ohr Penimi on Talmud Eser HaSefirot 13:205:1"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-c833d1605b08","א״ל""","א״ל""","Unresolved","","No lexical entry yet","true","2","Ohr Penimi on Talmud Eser HaSefirot 13:205:1"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-5e7b5b7cfdca","א״ם","א״מ","Unresolved","","No lexical entry yet","true","2","Ohr Penimi on Talmud Eser HaSefirot 9:94:1"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-4c7c4ed4be97","א״ס","א״ס","Unresolved","","No lexical entry yet","true","141","Ohr Penimi on Talmud Eser HaSefirot 1:1:4; Ohr Penimi on Talmud Eser HaSefirot 1:1:6; Ohr Penimi on Talmud Eser HaSefirot 1:1:11; Ohr Penimi on Talmud Eser HaSefirot 1:1:12; Ohr Penimi on Talmud Eser HaSefirot 1:1:14"
"ohr-penimi-on-talmud-eser-hasefirot","Ohr Penimi on Talmud Eser HaSefirot","tok-6e1063a789bb","א״ס""","א״ס""","Unresolved","","No lexical entry yet","true","1","Ohr Penimi on Talmud Eser HaSefirot 2:1:4"
