"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"pardes-rimmonim","Pardes Rimmonim","tok-72c74d022b3f","א׳","א׳","Unresolved","","No lexical entry yet","true","801","Pardes Rimmonim, Index 5:5; Pardes Rimmonim, Index 7:4; Pardes Rimmonim, Index 17:2; Pardes Rimmonim, Index 20:1; Pardes Rimmonim, Index 25:4"
"pardes-rimmonim","Pardes Rimmonim","tok-826f13cc8893","א׳וריאל","א׳וריאל","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 23:1:201"
"pardes-rimmonim","Pardes Rimmonim","tok-25018f56273f","א׳מת","א׳מת","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 9:3:3"
"pardes-rimmonim","Pardes Rimmonim","tok-d997a1e8d732","א״א","א״א","Unresolved","","No lexical entry yet","true","111","Pardes Rimmonim 1:5:3; Pardes Rimmonim 1:5:5; Pardes Rimmonim 1:8:1; Pardes Rimmonim 1:9:1; Pardes Rimmonim 2:1:5"
"pardes-rimmonim","Pardes Rimmonim","tok-32b9909cb2a3","א״ב","א״ב","Unresolved","","No lexical entry yet","true","7","Pardes Rimmonim 5:6:3; Pardes Rimmonim 8:14:3; Pardes Rimmonim 21:4:2; Pardes Rimmonim 24:11:1; Pardes Rimmonim 27:3:1"
"pardes-rimmonim","Pardes Rimmonim","tok-a8ebc80db049","א״ד","א״ד","Unresolved","","No lexical entry yet","true","3","Pardes Rimmonim 23:1:38; Pardes Rimmonim 23:1:61"
"pardes-rimmonim","Pardes Rimmonim","tok-13f1814fe549","א״ה","א״ה","Unresolved","","No lexical entry yet","true","7","Pardes Rimmonim 13:1:54; Pardes Rimmonim 14:1:6; Pardes Rimmonim 20:2:1; Pardes Rimmonim 20:2:3; Pardes Rimmonim 21:2:5"
"pardes-rimmonim","Pardes Rimmonim","tok-c60d9e738417","א״ו","א״ו","Unresolved","","No lexical entry yet","true","11","Pardes Rimmonim 8:3:2; Pardes Rimmonim 9:1:5; Pardes Rimmonim 15:2:4; Pardes Rimmonim 16:5:2; Pardes Rimmonim 20:6:4"
"pardes-rimmonim","Pardes Rimmonim","tok-5fb6c5efcf4b","א״ז","א״ז","Unresolved","","No lexical entry yet","true","5","Pardes Rimmonim 23:1:85; Pardes Rimmonim 23:1:86"
"pardes-rimmonim","Pardes Rimmonim","tok-21eb796dc63e","א״ח","א״ח","Unresolved","","No lexical entry yet","true","6","Pardes Rimmonim 23:1:93; Pardes Rimmonim 23:1:94; Pardes Rimmonim 23:16:46; Pardes Rimmonim 23:20:27; Pardes Rimmonim 27:11:4"
"pardes-rimmonim","Pardes Rimmonim","tok-b51fc514d556","א״ט","א״ט","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 23:1:102"
"pardes-rimmonim","Pardes Rimmonim","tok-0206a5433d37","א״י","א״י","Unresolved","","No lexical entry yet","true","10","Pardes Rimmonim 5:1:5; Pardes Rimmonim 16:5:2; Pardes Rimmonim 21:2:5; Pardes Rimmonim 21:2:9; Pardes Rimmonim 23:1:106"
"pardes-rimmonim","Pardes Rimmonim","tok-8b06f08be0d9","א״ל","א״ל","Unresolved","","No lexical entry yet","true","132","Pardes Rimmonim, Index 20:2; Pardes Rimmonim, Index 20:5; Pardes Rimmonim, Index 20:6; Pardes Rimmonim 1:10:1; Pardes Rimmonim 2:4:1"
"pardes-rimmonim","Pardes Rimmonim","tok-b62389dcaa6d","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 3:8:9"
"pardes-rimmonim","Pardes Rimmonim","tok-f35c0019cd7c","א״ם","א״מ","Unresolved","","No lexical entry yet","true","3","Pardes Rimmonim 23:1:134; Pardes Rimmonim 23:1:147"
"pardes-rimmonim","Pardes Rimmonim","tok-e1a8e4c38561","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 11:7:6"
"pardes-rimmonim","Pardes Rimmonim","tok-c718ec857059","א״ס","א״ס","Unresolved","","No lexical entry yet","true","44","Pardes Rimmonim 1:5:2; Pardes Rimmonim 2:3:1; Pardes Rimmonim 2:7:8; Pardes Rimmonim 3:1:2; Pardes Rimmonim 3:1:6"
"pardes-rimmonim","Pardes Rimmonim","tok-85543b9ad8a6","א״ע","א״ע","Unresolved","","No lexical entry yet","true","4","Pardes Rimmonim 22:4:8; Pardes Rimmonim 23:21:67; Pardes Rimmonim 26:6:1; Pardes Rimmonim 31:5:7"
"pardes-rimmonim","Pardes Rimmonim","tok-826111bb5301","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Pardes Rimmonim 3:8:9"
"pardes-rimmonim","Pardes Rimmonim","tok-ba47d7535d9d","א״ר","א״ר","Unresolved","","No lexical entry yet","true","33","Pardes Rimmonim, Index 18:1; Pardes Rimmonim, Index 20:9; Pardes Rimmonim 4:2:2; Pardes Rimmonim 6:2:10; Pardes Rimmonim 8:22:2"
