"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"piskei-challah","Piskei Challah","tok-c807adb875dc","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:20; Piskei Challah 2:11"
"piskei-challah","Piskei Challah","tok-58e3c3ad1637","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:14"
"piskei-challah","Piskei Challah","tok-61a208114e38","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Piskei Challah 2:3; Piskei Challah 2:11"
"piskei-challah","Piskei Challah","tok-c52102949581","אבאר","אבאר","Unresolved","","No lexical entry yet","true","6","Piskei Challah 1:1; Piskei Challah 2:1; Piskei Challah 3:1; Piskei Challah 4:1"
"piskei-challah","Piskei Challah","tok-cb203bc6dece","אבהו","אבהו","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-8f39e2632894","אבוה","אבוה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-bf8a0270a6e4","אבון","אבונ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:16"
"piskei-challah","Piskei Challah","tok-c325a214ccd7","אבטיח","אבטיח","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:1"
"piskei-challah","Piskei Challah","tok-dbe1658284df","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:6"
"piskei-challah","Piskei Challah","tok-dd8ace427ebb","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Piskei Challah 2:5; Piskei Challah 2:6; Piskei Challah 4:5"
"piskei-challah","Piskei Challah","tok-618f1679c5be","אבין","אבינ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 2:13; Piskei Challah 4:2"
"piskei-challah","Piskei Challah","tok-9f9c96adbe39","אדהכי","אדהכי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:6"
"piskei-challah","Piskei Challah","tok-e5ba00741512","אדידיה","אדידיה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:14"
"piskei-challah","Piskei Challah","tok-1c0aa1b6a37e","אהאי","אהאי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:12"
"piskei-challah","Piskei Challah","tok-7fc0c1bda238","אוכל","אוכל","Unresolved","","No lexical entry yet","true","6","Piskei Challah 1:2; Piskei Challah 1:13; Piskei Challah 2:11; Piskei Challah 4:7; Piskei Challah 4:8"
"piskei-challah","Piskei Challah","tok-a5c1fd01ae31","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:13"
"piskei-challah","Piskei Challah","tok-4d526bfedf02","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","12","Piskei Challah 1:5; Piskei Challah 1:10; Piskei Challah 1:13; Piskei Challah 2:5; Piskei Challah 2:11"
"piskei-challah","Piskei Challah","tok-561aa26bf8b2","אומרין","אומרינ","Unresolved","","No lexical entry yet","true","6","Piskei Challah 1:4; Piskei Challah 1:7; Piskei Challah 1:11; Piskei Challah 2:13; Piskei Challah 2:14"
"piskei-challah","Piskei Challah","tok-d82366e015f4","אוסר","אוסר","Unresolved","","No lexical entry yet","true","4","Piskei Challah 1:17; Piskei Challah 1:18; Piskei Challah 1:19"
"piskei-challah","Piskei Challah","tok-c9d7f6ce74a0","אופין","אופינ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:4"
"piskei-challah","Piskei Challah","tok-81c876b13acb","אורז","אורז","Unresolved","","No lexical entry yet","true","13","Piskei Challah 1:16; Piskei Challah 1:17; Piskei Challah 1:18; Piskei Challah 1:19; Piskei Challah 3:2"
"piskei-challah","Piskei Challah","tok-9f083437a740","אותביניה","אותביניה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:11"
"piskei-challah","Piskei Challah","tok-6c87da1103f6","אותיביה","אותיביה","Unresolved","","No lexical entry yet","true","2","Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-d6385746a571","אזלי","אזלי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:6"
"piskei-challah","Piskei Challah","tok-d0df4a6da80e","אחא","אחא","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:3; Piskei Challah 4:8"
"piskei-challah","Piskei Challah","tok-7c9046996f9e","אחוה","אחוה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:2"
"piskei-challah","Piskei Challah","tok-783c33d717dc","אחלת","אחלת","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:5"
"piskei-challah","Piskei Challah","tok-668d939a6003","אחרת","אחרת","Unresolved","","No lexical entry yet","true","4","Piskei Challah 1:17; Piskei Challah 3:1; Piskei Challah 3:3; Piskei Challah 4:4"
"piskei-challah","Piskei Challah","tok-2bdde2f337bb","אטו","אטו","Unresolved","","No lexical entry yet","true","2","Piskei Challah 4:5; Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-8a52e41749e6","אטמא","אטמא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:3"
"piskei-challah","Piskei Challah","tok-0bbe87d5dc19","אטרי","אטרי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:6"
"piskei-challah","Piskei Challah","tok-6ccf0bab5fb6","אידי","אידי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:17"
"piskei-challah","Piskei Challah","tok-2e186cffa9b4","איזהו","איזהו","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:13"
"piskei-challah","Piskei Challah","tok-071e89fb58b3","איירי","איירי","Unresolved","","No lexical entry yet","true","3","Piskei Challah 2:7; Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-de86d0ae417a","איכא","איכא","Unresolved","","No lexical entry yet","true","5","Piskei Challah 1:11; Piskei Challah 2:6; Piskei Challah 4:5"
"piskei-challah","Piskei Challah","tok-db906ff50f75","אילא","אילא","Unresolved","","No lexical entry yet","true","8","Piskei Challah 1:18; Piskei Challah 1:19"
"piskei-challah","Piskei Challah","tok-7d2d61178a1b","אילפס","אילפס","Unresolved","","No lexical entry yet","true","3","Piskei Challah 1:3; Piskei Challah 1:11"
"piskei-challah","Piskei Challah","tok-b3071bc58ce9","איני","איני","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:18"
"piskei-challah","Piskei Challah","tok-48a465c3114c","איסתי","איסתי","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:6"
"piskei-challah","Piskei Challah","tok-37508cc6e89f","איפכא","איפכא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:14"
"piskei-challah","Piskei Challah","tok-d6c003adf5e9","איפסקא","איפסקא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-e066a66f8936","איפשיט","איפשיט","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:3"
"piskei-challah","Piskei Challah","tok-67adc30bfe88","איפשר","איפשר","Unresolved","","No lexical entry yet","true","2","Piskei Challah 2:6; Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-279e212b3dc0","איצטריך","איצטריכ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:19"
"piskei-challah","Piskei Challah","tok-e98d25d16536","איקרי","איקרי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:8"
"piskei-challah","Piskei Challah","tok-53407b274a05","אית","אית","Unresolved","","No lexical entry yet","true","4","Piskei Challah 1:8; Piskei Challah 1:17; Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-4dadd2ffa60f","איתא","איתא","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:17; Piskei Challah 3:4"
"piskei-challah","Piskei Challah","tok-7ee2e16550fc","איתמר","איתמר","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:6"
"piskei-challah","Piskei Challah","tok-11649ac26518","איתת","איתת","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:6"
"piskei-challah","Piskei Challah","tok-e5078fef3c80","איתתה","איתתה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:6"
"piskei-challah","Piskei Challah","tok-40dba7b63dae","אכולה","אכולה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:4"
"piskei-challah","Piskei Challah","tok-e8ebbabc82d2","אכיל","אכיל","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:5"
"piskei-challah","Piskei Challah","tok-2c21df0a453f","אכילה","אכילה","Unresolved","","No lexical entry yet","true","2","Piskei Challah 4:5; Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-349805bbbbf1","אכילת","אכילת","Unresolved","","No lexical entry yet","true","4","Piskei Challah 1:19; Piskei Challah 3:1"
"piskei-challah","Piskei Challah","tok-33e7eed5826d","אכלה","אכלה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:18"
"piskei-challah","Piskei Challah","tok-c89ce5f20f69","אליבא","אליבא","Unresolved","","No lexical entry yet","true","5","Piskei Challah 1:19; Piskei Challah 2:3; Piskei Challah 2:4; Piskei Challah 2:6; Piskei Challah 2:7"
"piskei-challah","Piskei Challah","tok-6a99af1839f5","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","36","Piskei Challah 1:2; Piskei Challah 1:3; Piskei Challah 1:13; Piskei Challah 2:5; Piskei Challah 2:6"
"piskei-challah","Piskei Challah","tok-3be8dc907cf3","אליש","אליש","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:1"
"piskei-challah","Piskei Challah","tok-93ff61fae16a","אלמא","אלמא","Unresolved","","No lexical entry yet","true","10","Piskei Challah 1:4; Piskei Challah 1:8; Piskei Challah 1:16; Piskei Challah 1:18; Piskei Challah 2:3"
"piskei-challah","Piskei Challah","tok-f7b16cdf0c23","אלעאי","אלעאי","Unresolved","","No lexical entry yet","true","15","Piskei Challah 2:2; Piskei Challah 2:3; Piskei Challah 2:4; Piskei Challah 2:5; Piskei Challah 4:1"
"piskei-challah","Piskei Challah","tok-602ae3dae190","אלעזר","אלעזר","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-c1bb3c71481b","אלפס","אלפס","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:8"
"piskei-challah","Piskei Challah","tok-9f9dfebb83db","אלפסי","אלפסי","Unresolved","","No lexical entry yet","true","3","Piskei Challah 1:3; Piskei Challah 1:8; Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-36c133feff3b","אמאי","אמאי","Unresolved","","No lexical entry yet","true","3","Piskei Challah 2:14; Piskei Challah 4:1"
"piskei-challah","Piskei Challah","tok-c9cd2965864c","אמורים","אמורימ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 2:11; Piskei Challah 3:2"
"piskei-challah","Piskei Challah","tok-44da6a14e7ee","אמורין","אמורינ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:9"
"piskei-challah","Piskei Challah","tok-aece341691a6","אמי","אמי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:11"
"piskei-challah","Piskei Challah","tok-4b7a65445a79","אמינא","אמינא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:2"
"piskei-challah","Piskei Challah","tok-085432c03a6e","אמנום","אמנומ","Unresolved","","No lexical entry yet","true","9","Piskei Challah 4:4; Piskei Challah 4:5; Piskei Challah 4:6"
"piskei-challah","Piskei Challah","tok-bce6a9cd6864","אמצעיתא","אמצעיתא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:6"
"piskei-challah","Piskei Challah","tok-6fe4261aa8ab","אמרי","אמרי","Unresolved","","No lexical entry yet","true","2","Piskei Challah 2:8; Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-5040771788f3","אמרינן","אמריננ","Unresolved","","No lexical entry yet","true","3","Piskei Challah 1:16; Piskei Challah 1:18; Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-2569f22dd738","אמתניתין","אמתניתינ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:14"
"piskei-challah","Piskei Challah","tok-2ceea930076c","אנא","אנא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:4"
"piskei-challah","Piskei Challah","tok-e85ed26d748a","אנוסה","אנוסה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:3"
"piskei-challah","Piskei Challah","tok-00fbca133f85","אנן","אננ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:12; Piskei Challah 2:7"
"piskei-challah","Piskei Challah","tok-197b7c20313e","אסור","אסור","Unresolved","","No lexical entry yet","true","11","Piskei Challah 1:6; Piskei Challah 2:5; Piskei Challah 3:4; Piskei Challah 4:1; Piskei Challah 4:2"
"piskei-challah","Piskei Challah","tok-ad82adc0f177","אסיק","אסיק","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:7"
"piskei-challah","Piskei Challah","tok-dac92d3d8ca9","אסקריטין","אסקריטינ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:6; Piskei Challah 1:8"
"piskei-challah","Piskei Challah","tok-ae0a3cc00f53","אפוים","אפוימ","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:11"
"piskei-challah","Piskei Challah","tok-6c89c0c206f3","אפייה","אפייה","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:8; Piskei Challah 2:7"
"piskei-challah","Piskei Challah","tok-2b6063f8c72e","אפייתו","אפייתו","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:7"
"piskei-challah","Piskei Challah","tok-7b5c68090400","אפייתן","אפייתנ","Unresolved","","No lexical entry yet","true","2","Piskei Challah 1:8; Piskei Challah 2:8"
"piskei-challah","Piskei Challah","tok-953e4ae1410a","אפשיטא","אפשיטא","Unresolved","","No lexical entry yet","true","1","Piskei Challah 2:6"
"piskei-challah","Piskei Challah","tok-eedd6e38f665","אצבעותיה","אצבעותיה","Unresolved","","No lexical entry yet","true","1","Piskei Challah 4:9"
"piskei-challah","Piskei Challah","tok-d6be560303f2","אקשי","אקשי","Unresolved","","No lexical entry yet","true","1","Piskei Challah 1:11"
