"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"seder-hayom","Seder HaYom","tok-0640306c80f0","א׳","א׳","Unresolved","","No lexical entry yet","true","357","Seder HaYom, Introduction:2; Seder HaYom, Kavanah of Washing Hands:3; Seder HaYom, Kavanah and Order of Shacharit:1; Seder HaYom, Order of Priestly Service:2; Seder HaYom, Order of Priestly Service:3"
"seder-hayom","Seder HaYom","tok-c884e0229e0d","א״א","א״א","Unresolved","","No lexical entry yet","true","17","Seder HaYom, Order of Torah Study:3; Seder HaYom, Order of Arvit:2; Seder HaYom, One Hundred Blessings:2; Seder HaYom, Order of Morning Blessings:4; Seder HaYom, Order of Daytime Meal:2"
"seder-hayom","Seder HaYom","tok-e2d6e7725039","א״ד","א״ד","Unresolved","","No lexical entry yet","true","3","Seder HaYom, Kavanah of Barukh She'amar:4; Seder HaYom, Kavanah of Amidah:15"
"seder-hayom","Seder HaYom","tok-055b3fdc1657","א״ה","א״ה","Unresolved","","No lexical entry yet","true","14","Seder HaYom, Order of Morning Blessings:5; Seder HaYom, Order of Havdalah:6; Seder HaYom, Order of Havdalah:7; Seder HaYom, Order of Rosh HaShana:13"
"seder-hayom","Seder HaYom","tok-33d94b05e6e7","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Kavanah of Shema:1"
"seder-hayom","Seder HaYom","tok-c099e4da96b4","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Kavanah of Shema:1"
"seder-hayom","Seder HaYom","tok-5066b3cc6d91","א״י","א״י","Unresolved","","No lexical entry yet","true","5","Seder HaYom, Order of the Haggadah:2; Seder HaYom, The Ten Plagues:4; Seder HaYom, Order of Shavuot:2; Seder HaYom, Seventeenth of Tammuz:1; Seder HaYom, Conduct for Rosh HaShanah:2"
"seder-hayom","Seder HaYom","tok-e45cc0992a33","א״ל","א״ל","Unresolved","","No lexical entry yet","true","15","Seder HaYom, Order of Priestly Service:3; Seder HaYom, Kavanah of Shema:1; Seder HaYom, Order of Kabbalat Shabbat:3; Seder HaYom, Order of Sefirat HaOmer:1; Seder HaYom, Conduct for the Ten Days Of Repentance:2"
"seder-hayom","Seder HaYom","tok-a4a395fa1b5a","א״מ","א״מ","Unresolved","","No lexical entry yet","true","4","Seder HaYom, Kavanah of Tachanun:1; Seder HaYom, Conduct for Rosh HaShanah:1"
"seder-hayom","Seder HaYom","tok-b9f90bcf1d34","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Seder HaYom, The Ten Plagues:17"
"seder-hayom","Seder HaYom","tok-9b1eb7a31937","א״ע","א״ע","Unresolved","","No lexical entry yet","true","4","Seder HaYom, Kavanah of Lulav:1; Seder HaYom, Exposition on Avot:10; Seder HaYom, Exposition on Avot:11"
"seder-hayom","Seder HaYom","tok-4a4c0398e5e5","א״צ","א״צ","Unresolved","","No lexical entry yet","true","9","Seder HaYom, Order of Morning Blessings:5; Seder HaYom, Order of Havdalah:6; Seder HaYom, Order of Bedikat Chametz:1; Seder HaYom, Order of Urchatz Karpas:1; Seder HaYom, Order of the Haggadah:6"
"seder-hayom","Seder HaYom","tok-9775e23a848d","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Order of Bedikat Chametz:1"
"seder-hayom","Seder HaYom","tok-ed25607239b1","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Order of Priestly Service:1"
"seder-hayom","Seder HaYom","tok-4fe1a8f295f2","א״ת","א״ת","Unresolved","","No lexical entry yet","true","2","Seder HaYom, Kavanah of Amidah:2; Seder HaYom, One Hundred Blessings:1"
"seder-hayom","Seder HaYom","tok-b45c3cba4222","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","9","Seder HaYom, Conjugal Conduct:2; Seder HaYom, Preparing for Shabbat:2; Seder HaYom, Order of Kiddush:1; Seder HaYom, Friday Night Dinner:2; Seder HaYom, Order of Shabbat Torah Reading:4"
"seder-hayom","Seder HaYom","tok-67fdf764df8e","אאע״ה","אאע״ה","Unresolved","","No lexical entry yet","true","2","Seder HaYom, The Ten Plagues:4"
"seder-hayom","Seder HaYom","tok-164c844c891c","אב״א","אב״א","Unresolved","","No lexical entry yet","true","4","Seder HaYom, Exposition on Avot:8"
"seder-hayom","Seder HaYom","tok-bbb089c03587","אב״ג","אב״ג","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Order of Morning Blessings:7"
"seder-hayom","Seder HaYom","tok-8967b88e026a","אב״י","אב״י","Unresolved","","No lexical entry yet","true","1","Seder HaYom, Order of the Haggadah:9"
"seder-hayom","Seder HaYom","tok-49361357521a","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Seder HaYom, Kavanah and Order of Shacharit:1; Seder HaYom, Kavanah of Shema:1"
