"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"seder-troyes","Seder Troyes","tok-ea529b36dd84","א׳","א׳","Unresolved","","No lexical entry yet","true","17","Seder Troyes, Introduction:3; Seder Troyes 1:1; Seder Troyes 4:2; Seder Troyes 4:3; Seder Troyes 4:4"
"seder-troyes","Seder Troyes","tok-28156c87c037","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Seder Troyes 5:2"
"seder-troyes","Seder Troyes","tok-a6d427c6f24a","א״ל","א״ל","Unresolved","","No lexical entry yet","true","3","Seder Troyes 4:3; Seder Troyes 9:35"
"seder-troyes","Seder Troyes","tok-511a5eac1738","א״מ","א״מ","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:30; Seder Troyes 9:34"
"seder-troyes","Seder Troyes","tok-0ba89d898e2d","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:3"
"seder-troyes","Seder Troyes","tok-ecdbae2fb90c","אאמיץ","אאמיצ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:18"
"seder-troyes","Seder Troyes","tok-144df633ce5c","אאפיד","אאפיד","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:30"
"seder-troyes","Seder Troyes","tok-4914ba11666d","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Seder Troyes, Introduction:5"
"seder-troyes","Seder Troyes","tok-a3c8d95ea29b","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:16"
"seder-troyes","Seder Troyes","tok-75506a7eeced","אבדנו","אבדנו","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:8"
"seder-troyes","Seder Troyes","tok-f1d66c2c476e","אבוא","אבוא","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:1"
"seder-troyes","Seder Troyes","tok-64a9e733de49","אבוש","אבוש","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:40"
"seder-troyes","Seder Troyes","tok-3beb95790f82","אבותי","אבותי","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:9; Seder Troyes 9:21"
"seder-troyes","Seder Troyes","tok-032c6e0fc9b6","אבי","אבי","Unresolved","","No lexical entry yet","true","16","Seder Troyes, Introduction:3; Seder Troyes 1:5; Seder Troyes 2:1; Seder Troyes 4:8; Seder Troyes 5:2"
"seder-troyes","Seder Troyes","tok-25f458fcb809","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:38"
"seder-troyes","Seder Troyes","tok-c0c416844b9b","אביון","אביונ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:13"
"seder-troyes","Seder Troyes","tok-bbc6d1da19c8","אבילות","אבילות","Unresolved","","No lexical entry yet","true","3","Seder Troyes 7:2; Seder Troyes 10:37; Seder Troyes 10:38"
"seder-troyes","Seder Troyes","tok-eec1cfc05d4d","אביע","אביע","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:10"
"seder-troyes","Seder Troyes","tok-68461b06e2cc","אבירי","אבירי","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-8a6afbee16c6","אברם","אברמ","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:7; Seder Troyes 9:14"
"seder-troyes","Seder Troyes","tok-5a6c46c9ff89","אגיל","אגיל","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:24"
"seder-troyes","Seder Troyes","tok-38c01f0b2f57","אגן","אגנ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-56bdd2a7b16b","אדירי","אדירי","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:30; Seder Troyes 9:31"
"seder-troyes","Seder Troyes","tok-0c2ff1d554e6","אדר","אדר","Unresolved","","No lexical entry yet","true","3","Seder Troyes 3:2; Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-addf050a5cf7","אדרוש","אדרוש","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:10; Seder Troyes 9:17"
"seder-troyes","Seder Troyes","tok-3d66a80edfd1","אדרת","אדרת","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:30"
"seder-troyes","Seder Troyes","tok-ae20a9bdb24f","אהובים","אהובימ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:24"
"seder-troyes","Seder Troyes","tok-3771e705a074","אהללה","אהללה","Unresolved","","No lexical entry yet","true","3","Seder Troyes 9:32; Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-83773ffad58f","או׳","או׳","Unresolved","","No lexical entry yet","true","2","Seder Troyes 3:2; Seder Troyes 9:17"
"seder-troyes","Seder Troyes","tok-0d3da61e41ce","אודות","אודות","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:3"
"seder-troyes","Seder Troyes","tok-3a6d63e6f77e","אודך","אודכ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:29"
"seder-troyes","Seder Troyes","tok-b971efaad839","אוהביך","אוהביכ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:6"
"seder-troyes","Seder Troyes","tok-bab5e7f027c5","אוחז","אוחז","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:8"
"seder-troyes","Seder Troyes","tok-127243dc70e5","אוחזי","אוחזי","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:17"
"seder-troyes","Seder Troyes","tok-1076a33d4237","אוחזים","אוחזימ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:8"
"seder-troyes","Seder Troyes","tok-477f6a52b168","אוחילה","אוחילה","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:38; Seder Troyes 9:40"
"seder-troyes","Seder Troyes","tok-bad157ce52ee","אויבים","אויבימ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:31"
"seder-troyes","Seder Troyes","tok-deaa2a5686be","אויל","אויל","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:5"
"seder-troyes","Seder Troyes","tok-8a7e7e46bd4f","אוירי","אוירי","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:31"
"seder-troyes","Seder Troyes","tok-b1a446e1b7e2","אוכל","אוכל","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-39aa99d51dd9","אולי","אולי","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:21; Seder Troyes 9:40"
"seder-troyes","Seder Troyes","tok-e4b5e24549d5","אום","אומ","Unresolved","","No lexical entry yet","true","5","Seder Troyes 10:7; Seder Troyes 10:13; Seder Troyes 10:21"
"seder-troyes","Seder Troyes","tok-cf03862ef056","אומ׳","אומ׳","Unresolved","","No lexical entry yet","true","111","Seder Troyes, Introduction:4; Seder Troyes, Introduction:6; Seder Troyes 1:3; Seder Troyes 1:6; Seder Troyes 2:1"
"seder-troyes","Seder Troyes","tok-0ff8af5fe595","אומר׳","אומר׳","Unresolved","","No lexical entry yet","true","13","Seder Troyes 1:5; Seder Troyes 3:2; Seder Troyes 6:3; Seder Troyes 7:2; Seder Troyes 9:38"
"seder-troyes","Seder Troyes","tok-b9459bf98149","אומרה","אומרה","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:31"
"seder-troyes","Seder Troyes","tok-1b59658add98","אומרי׳","אומרי׳","Unresolved","","No lexical entry yet","true","2","Seder Troyes 3:2; Seder Troyes 10:36"
"seder-troyes","Seder Troyes","tok-798216e656e5","אוסר","אוסר","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:8"
"seder-troyes","Seder Troyes","tok-e486a5308d01","אופז","אופז","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:31"
"seder-troyes","Seder Troyes","tok-8903051941fe","אופנים","אופנימ","Unresolved","","No lexical entry yet","true","4","Seder Troyes 10:3; Seder Troyes 10:18; Seder Troyes 10:34"
"seder-troyes","Seder Troyes","tok-4559b64fc842","אותותיך","אותותיכ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:6"
"seder-troyes","Seder Troyes","tok-66afeb21e4f8","אותך","אותכ","Unresolved","","No lexical entry yet","true","2","Seder Troyes 9:10; Seder Troyes 9:17"
"seder-troyes","Seder Troyes","tok-50116d243de2","אזהרות","אזהרות","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:11"
"seder-troyes","Seder Troyes","tok-93ca0eb73b51","אזון","אזונ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:15"
"seder-troyes","Seder Troyes","tok-097658d08da3","אזור","אזור","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:30"
"seder-troyes","Seder Troyes","tok-fc8e5f65f172","אזיל","אזיל","Unresolved","","No lexical entry yet","true","2","Seder Troyes 10:6"
"seder-troyes","Seder Troyes","tok-0a169f4b7587","אזכיר","אזכיר","Unresolved","","No lexical entry yet","true","4","Seder Troyes 9:17; Seder Troyes 10:2; Seder Troyes 10:13; Seder Troyes 10:16"
"seder-troyes","Seder Troyes","tok-c3cd94e225f2","אזכרה","אזכרה","Unresolved","","No lexical entry yet","true","5","Seder Troyes 9:9; Seder Troyes 9:13; Seder Troyes 9:19; Seder Troyes 9:25; Seder Troyes 10:5"
"seder-troyes","Seder Troyes","tok-9e20116c4e6f","אזנך","אזנכ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:1"
"seder-troyes","Seder Troyes","tok-d850046a15cc","אזעק","אזעק","Unresolved","","No lexical entry yet","true","1","Seder Troyes 3:2"
"seder-troyes","Seder Troyes","tok-20c1859bbc30","אזרח","אזרח","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:31"
"seder-troyes","Seder Troyes","tok-b1c5d4c8148d","אזריאל","אזריאל","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:34"
"seder-troyes","Seder Troyes","tok-7b604208aec6","אחווכם","אחווכמ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:29"
"seder-troyes","Seder Troyes","tok-bc71edc7acfb","אחות","אחות","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:21"
"seder-troyes","Seder Troyes","tok-62712526e6bb","אחנן","אחננ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:30"
"seder-troyes","Seder Troyes","tok-962e38600c79","אחרונות","אחרונות","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:17"
"seder-troyes","Seder Troyes","tok-40c1888d2b76","אחריהם","אחריהמ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 4:3"
"seder-troyes","Seder Troyes","tok-7042949be225","אחריתא","אחריתא","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:34"
"seder-troyes","Seder Troyes","tok-60e010820ae3","אחרת","אחרת","Unresolved","","No lexical entry yet","true","1","Seder Troyes 8:2"
"seder-troyes","Seder Troyes","tok-b366a8d88ef5","אטו","אטו","Unresolved","","No lexical entry yet","true","1","Seder Troyes, Introduction:4"
"seder-troyes","Seder Troyes","tok-6666efbfcfa3","אטרח","אטרח","Unresolved","","No lexical entry yet","true","2","Seder Troyes 5:4; Seder Troyes 9:36"
"seder-troyes","Seder Troyes","tok-fd9bb0c64a09","אי׳","אי׳","Unresolved","","No lexical entry yet","true","3","Seder Troyes 3:2; Seder Troyes 8:2"
"seder-troyes","Seder Troyes","tok-ff3a62a1fe2e","איוב","איוב","Unresolved","","No lexical entry yet","true","2","Seder Troyes 10:37"
"seder-troyes","Seder Troyes","tok-e07a21c3515c","איומתך","איומתכ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:17"
"seder-troyes","Seder Troyes","tok-6237b3aaff17","איחדו","איחדו","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:31"
"seder-troyes","Seder Troyes","tok-719d641b93e2","אייחד","אייחד","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:38"
"seder-troyes","Seder Troyes","tok-eb52e375e782","אייר","אייר","Unresolved","","No lexical entry yet","true","1","Seder Troyes 3:2"
"seder-troyes","Seder Troyes","tok-f8787da52f63","איכא","איכא","Unresolved","","No lexical entry yet","true","1","Seder Troyes 3:2"
"seder-troyes","Seder Troyes","tok-7c790f285091","איכה","איכה","Unresolved","","No lexical entry yet","true","4","Seder Troyes 2:4; Seder Troyes 3:2; Seder Troyes 7:2; Seder Troyes 10:31"
"seder-troyes","Seder Troyes","tok-d3f5f823972d","איככה","איככה","Unresolved","","No lexical entry yet","true","3","Seder Troyes 9:21; Seder Troyes 9:33"
"seder-troyes","Seder Troyes","tok-25652daaab3a","אילו","אילו","Unresolved","","No lexical entry yet","true","3","Seder Troyes 4:2; Seder Troyes 9:25"
"seder-troyes","Seder Troyes","tok-78dac3ed8a6e","אילי","אילי","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:6"
"seder-troyes","Seder Troyes","tok-6925658401ee","אילם","אילמ","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:13"
"seder-troyes","Seder Troyes","tok-c2d01dc489be","אילמלי","אילמלי","Unresolved","","No lexical entry yet","true","1","Seder Troyes 9:35"
"seder-troyes","Seder Troyes","tok-bbcf339eac53","אימנני","אימנני","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:9"
"seder-troyes","Seder Troyes","tok-f1fb98af2cf7","אימת","אימת","Unresolved","","No lexical entry yet","true","1","Seder Troyes 10:7"
