"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"sefat-emet","Sefat Emet","tok-9b31a3ba7620","א׳","א׳","Unresolved","","No lexical entry yet","true","584","Sefat Emet, Genesis, Bereshit 3:3; Sefat Emet, Genesis, Bereshit 4:2; Sefat Emet, Genesis, Bereshit 11:2; Sefat Emet, Genesis, Bereshit 16:2; Sefat Emet, Genesis, Bereshit 16:3"
"sefat-emet","Sefat Emet","tok-783daa717385","א׳ה׳ב׳ה","א׳ה׳ב׳ה","Unresolved","","No lexical entry yet","true","1","Sefat Emet, Numbers, Bamidbar 31:2"
"sefat-emet","Sefat Emet","tok-fd344baa201a","א׳ח׳ד","א׳ח׳ד","Unresolved","","No lexical entry yet","true","1","Sefat Emet, Numbers, Bamidbar 31:2"
"sefat-emet","Sefat Emet","tok-d68e76638225","א׳ת׳","א׳ת׳","Unresolved","","No lexical entry yet","true","1","Sefat Emet, Genesis, Noach 25:4"
"sefat-emet","Sefat Emet","tok-babf0a511f22","א״א","א״א","Unresolved","","No lexical entry yet","true","190","Sefat Emet, Genesis, Bereshit 13:2; Sefat Emet, Genesis, Noach 11:5; Sefat Emet, Genesis, Noach 18:4; Sefat Emet, Genesis, Noach 22:3; Sefat Emet, Genesis, Noach 31:3"
"sefat-emet","Sefat Emet","tok-c41c4a70ca07","א״ב","א״ב","Unresolved","","No lexical entry yet","true","12","Sefat Emet, Genesis, Noach 17:4; Sefat Emet, Genesis, Vayechi 16:3; Sefat Emet, Genesis, Vayechi 17:4; Sefat Emet, Genesis, Vayechi 28:4; Sefat Emet, Exodus, Vaera 14:3"
"sefat-emet","Sefat Emet","tok-aafec9cfdae2","א״ד","א״ד","Unresolved","","No lexical entry yet","true","2","Sefat Emet, Genesis, For Chanuka 28:6; Sefat Emet, Exodus, Yitro 11:4"
"sefat-emet","Sefat Emet","tok-fa3dcd5c8399","א״ה","א״ה","Unresolved","","No lexical entry yet","true","25","Sefat Emet, Genesis, Noach 6:4; Sefat Emet, Genesis, Vayera 17:4; Sefat Emet, Exodus, Shemot 9:2; Sefat Emet, Exodus, Shemot 23:2; Sefat Emet, Exodus, Shemot 31:2"
"sefat-emet","Sefat Emet","tok-c47525ffd2b8","א״הא","א״הא","Unresolved","","No lexical entry yet","true","1","Sefat Emet, Deuteronomy, Devarim 14:2"
"sefat-emet","Sefat Emet","tok-6afa97e27f46","א״ז","א״ז","Unresolved","","No lexical entry yet","true","5","Sefat Emet, Genesis, Vayechi 14:5; Sefat Emet, Exodus, Beshalach 3:3; Sefat Emet, Exodus, Beshalach 3:4; Sefat Emet, Leviticus, Passover 2:24; Sefat Emet, Deuteronomy, Eikev 18:3"
"sefat-emet","Sefat Emet","tok-8594ab0b7072","א״ח","א״ח","Unresolved","","No lexical entry yet","true","5","Sefat Emet, Exodus, Vaera 1:2; Sefat Emet, Exodus, Vaera 14:4; Sefat Emet, Exodus, Bo 29:3; Sefat Emet, Leviticus, Achrei Mot 11:2; Sefat Emet, Deuteronomy, Ki Teitzei 11:8"
"sefat-emet","Sefat Emet","tok-9e204d6762bd","א״ט","א״ט","Unresolved","","No lexical entry yet","true","6","Sefat Emet, Leviticus, Emor 4:2; Sefat Emet, Leviticus, Emor 7:2; Sefat Emet, Leviticus, Emor 9:2; Sefat Emet, Leviticus, Emor 10:2; Sefat Emet, Leviticus, Emor 12:2"
"sefat-emet","Sefat Emet","tok-af078b26da5f","א״י","א״י","Unresolved","","No lexical entry yet","true","415","Sefat Emet, Genesis, Bereshit 12:3; Sefat Emet, Genesis, Bereshit 22:3; Sefat Emet, Genesis, Bereshit 22:5; Sefat Emet, Genesis, Lech Lecha 1:3; Sefat Emet, Genesis, Lech Lecha 4:3"
"sefat-emet","Sefat Emet","tok-8a900a325abd","א״ל","א״ל","Unresolved","","No lexical entry yet","true","32","Sefat Emet, Genesis, Noach 24:3; Sefat Emet, Genesis, Lech Lecha 3:4; Sefat Emet, Genesis, Lech Lecha 10:5; Sefat Emet, Genesis, Vayera 8:3; Sefat Emet, Exodus, Bo 8:2"
