"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"sefer-haitim","Sefer HaItim","tok-a3c30acd732a","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Sefer HaItim 13:1"
"sefer-haitim","Sefer HaItim","tok-f41cc8fc2b7e","א״א","א״א","Unresolved","","No lexical entry yet","true","5","Sefer HaItim 30:1; Sefer HaItim 46:1; Sefer HaItim 112:1; Sefer HaItim 200:1"
"sefer-haitim","Sefer HaItim","tok-e58006fe034f","א״ה","א״ה","Unresolved","","No lexical entry yet","true","2","Sefer HaItim 14:1; Sefer HaItim 130:1"
"sefer-haitim","Sefer HaItim","tok-db6b07611cc9","א״ו","א״ו","Unresolved","","No lexical entry yet","true","2","Sefer HaItim 17:1; Sefer HaItim 112:1"
"sefer-haitim","Sefer HaItim","tok-b38016d1b343","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Sefer HaItim 154:1"
"sefer-haitim","Sefer HaItim","tok-f2ac8a60dd96","א״ל","א״ל","Unresolved","","No lexical entry yet","true","122","Sefer HaItim 9:1; Sefer HaItim 10:1; Sefer HaItim 11:1; Sefer HaItim 13:1; Sefer HaItim 14:1"
"sefer-haitim","Sefer HaItim","tok-59579acc7427","א״נ","א״נ","Unresolved","","No lexical entry yet","true","19","Sefer HaItim 13:1; Sefer HaItim 14:1; Sefer HaItim 30:1; Sefer HaItim 33:1; Sefer HaItim 37:1"
"sefer-haitim","Sefer HaItim","tok-3efae16f2db7","א״צ","א״צ","Unresolved","","No lexical entry yet","true","34","Sefer HaItim 8:1; Sefer HaItim 60:1; Sefer HaItim 65:1; Sefer HaItim 76:1; Sefer HaItim 91:1"
"sefer-haitim","Sefer HaItim","tok-31cf8c398019","א״ר","א״ר","Unresolved","","No lexical entry yet","true","41","Sefer HaItim 8:1; Sefer HaItim 13:1; Sefer HaItim 15:1; Sefer HaItim 18:1; Sefer HaItim 19:1"
"sefer-haitim","Sefer HaItim","tok-1ba11c2199cc","א״ש","א״ש","Unresolved","","No lexical entry yet","true","4","Sefer HaItim 4:1; Sefer HaItim 43:1; Sefer HaItim 124:1; Sefer HaItim 153:1"
"sefer-haitim","Sefer HaItim","tok-fbe8d1bbdb96","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","Sefer HaItim 192:1"
"sefer-haitim","Sefer HaItim","tok-e3dae9706f17","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","2","Sefer HaItim 118:1; Sefer HaItim 123:1"
"sefer-haitim","Sefer HaItim","tok-46682e81abf6","אאונן","אאוננ","Unresolved","","No lexical entry yet","true","1","Sefer HaItim 146:1"
