"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-3acb91cf6417","אֶבְחֲרָה","אבחרה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:105"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-061db1550f4e","אָבִיא","אביא","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:68"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-ed2c6fb9d78e","אָבִיו","אביו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:36"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-b38403f4fec0","אוֹבוֹת","אובות","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:15"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-5d1ec5a86ca3","אוּלַי","אולי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:76"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-9fa58239025f","אוּלָם","אולמ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:131"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-28ef7b672fd7","אַזְכִּיר","אזכיר","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:62"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-ed57852d947c","אֲחוֹתָהּ","אחותה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:109"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-2bb2fb783714","אֲחֻזָּה","אחזה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:134"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-adf08adf9ae4","אָחִיו","אחיו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:23"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-25e98632e389","אַחְיוֹת","אחיות","Unresolved","","No lexical entry yet","true","2","Sefer Hamitzvot of Rasag, Negative Commandments:107; Sefer Hamitzvot of Rasag, Laws of the Courts:19"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-9d02cf440a34","אֶחֱרֶה","אחרה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:80"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-3b8f07a200a4","אֹכֶל","אכל","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:166"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-e97722a5b935","אַכְרִית","אכרית","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:24"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-b7a889832277","אֲנַנָּה","אננה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:103"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-3aa47d39fb6e","אַרְבָּעִים","ארבעימ","Unresolved","","No lexical entry yet","true","4","Sefer Hamitzvot of Rasag, Positive Commandments:200; Sefer Hamitzvot of Rasag, Negative Commandments:219; Sefer Hamitzvot of Rasag, Communal Laws:41; Sefer Hamitzvot of Rasag, Communal Laws:57"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-9622018fa832","אֲרוֹן","ארונ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:52"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-9a6be2e57a39","אֲרָמִית","ארמית","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:69"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-4afed2b0cf15","אָשִׁיב","אשיב","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:42"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-d6db94d8fdc1","אָשִׂימָה","אשימה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:7"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-0b2741acb590","אִשְׁתּוֹ","אשתו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:22"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-309956fb3720","אֶתְנָן","אתננ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:208"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-4860693f371e","אֶתְפָּאָר","אתפאר","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:65"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-1ffba5058d74","בְּאוֹבוֹ","באובו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:26"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-385c090ab1d9","בְּאָכְלוֹ","באכלו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:7"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-ac629872e852","בְּאִמְרֵי","באמרי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Laws of the Courts:66"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-0ba7feb9b28a","בְּאַשְּׁרִי","באשרי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:65"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-fed0743e8381","בִּגְאֻלַּת","בגאלת","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:39"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-85bcc407c83d","בִּגְבוּלִין","בגבולינ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:217"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-c29b0d7c4f10","בָּגְדָה","בגדה","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:270"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-abe66e5a0f56","בְּגָדְרִי","בגדרי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:59"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-0a3b709d92a9","בִּדְחֹק","בדחק","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:163"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-3b638a771aa8","בַּדִּין","בדינ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:140"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-876ba40edfa5","בַהֲדָרִי","בהדרי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:65"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-8b9de9f79abb","בֶּהֱמַת","בהמת","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:158"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-18de1470cade","בְּהַנְכִיל","בהנכיל","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:31"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-1c36dfc7403f","בְּהַעֲבָרַת","בהעברת","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:38"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-e6015c179424","בַּהִפָּתַח","בהפתח","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:78"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-b2b2897aedbe","בֹּהַק","בהק","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:192"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-815b888b599f","בַּהֲשִׁיבָם","בהשיבמ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:5"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-b6fb618b122b","בְּהִתְיַחֲדָם","בהתיחדמ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:70"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-6d894a96ab9c","בוֹאָתְךָ","בואתכ","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:97"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-7c68e7f04af5","בַּחֲבֵירוֹ","בחבירו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:14"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-66f0c27e4bb3","בְּחַטַּאת","בחטאת","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:42"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-94efc0a6b0c9","בְּחִירִי","בחירי","Unresolved","","No lexical entry yet","true","2","Sefer Hamitzvot of Rasag, Communal Laws:65"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-1af3cce8756a","בֶּחָלָב","בחלב","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:69"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-db188453325b","בַּחֲמִישִׁיתוֹ","בחמישיתו","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Positive Commandments:151"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-8f77cf6ab875","בְּחֻקּוֹת","בחקות","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Negative Commandments:12"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-8619f513081d","בָּחֳרִי","בחרי","Unresolved","","No lexical entry yet","true","1","Sefer Hamitzvot of Rasag, Communal Laws:65"
"sefer-hamitzvot-of-rasag","Sefer Hamitzvot of Rasag","tok-8d8fdc247923","בְּטֻמְאָה","בטמאה","Unresolved","","No lexical entry yet","true","2","Sefer Hamitzvot of Rasag, Positive Commandments:161; Sefer Hamitzvot of Rasag, Laws of the Courts:55"
