"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-963aa9178e00","א׳","א׳","Unresolved","","No lexical entry yet","true","146","Sha'ar HaGilgulim 1:3; Sha'ar HaGilgulim 1:9; Sha'ar HaGilgulim 2:2; Sha'ar HaGilgulim 4:1; Sha'ar HaGilgulim 4:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-4f1917594205","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:163"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-94725bd1e9b1","א״הל","א״הל","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:32"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-895bd758d4dc","א״י","א״י","Unresolved","","No lexical entry yet","true","9","Sha'ar HaGilgulim 25:1; Sha'ar HaGilgulim 34:5; Sha'ar HaGilgulim 36:98"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-e84f2931e77c","א״ל","א״ל","Unresolved","","No lexical entry yet","true","109","Sha'ar HaGilgulim 16:1; Sha'ar HaGilgulim 33:9; Sha'ar HaGilgulim 35:9; Sha'ar HaGilgulim 36:6; Sha'ar HaGilgulim 36:7"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-6a2ed165947c","א״ר","א״ר","Unresolved","","No lexical entry yet","true","4","Sha'ar HaGilgulim 26:16; Sha'ar HaGilgulim 35:9; Sha'ar HaGilgulim 38:138; Sha'ar HaGilgulim 40:14"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1c21a3f722b2","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 1:6; Sha'ar HaGilgulim 11:15; Sha'ar HaGilgulim 23:11"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-d8d736d3d603","אב״ג","אב״ג","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:94"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-ea95d7ddcd9f","אב״י","אב״י","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 38:65; Sha'ar HaGilgulim 38:163"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-cbaa81dff144","אב״ן","אב״נ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:28"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-a628607f54ce","אבאר","אבאר","Unresolved","","No lexical entry yet","true","9","Sha'ar HaGilgulim 35:7; Sha'ar HaGilgulim 36:1; Sha'ar HaGilgulim 38:101; Sha'ar HaGilgulim 38:102; Sha'ar HaGilgulim 38:115"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-0cf5eac2b73a","אבג״ד","אבג״ד","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:95"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-bb922372f6c1","אבגית״ץ","אבגית״צ","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 23:13; Sha'ar HaGilgulim 38:61; Sha'ar HaGilgulim 39:55"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-a2f7795bc6c7","אבד","אבד","Unresolved","","No lexical entry yet","true","4","Sha'ar HaGilgulim 33:2; Sha'ar HaGilgulim 33:6; Sha'ar HaGilgulim 36:103"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-69b65f2609c2","אבדימי","אבדימי","Unresolved","","No lexical entry yet","true","5","Sha'ar HaGilgulim 36:12; Sha'ar HaGilgulim 36:48; Sha'ar HaGilgulim 38:21; Sha'ar HaGilgulim 38:95"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-c9a62cf5a77c","אבדם","אבדמ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:17"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1be237b47619","אבהו","אבהו","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:55"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-4fc6d50f03f2","אבהן","אבהנ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 40:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-3ee6b29c1d03","אבוד","אבוד","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 38:142; Sha'ar HaGilgulim 38:174; Sha'ar HaGilgulim 38:178"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-5eb57f81681e","אבוה","אבוה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:48"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-405c2a13313f","אבויה","אבויה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 9:1"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-4f7363d7554a","אבוך","אבוכ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 16:1"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-3eef77f2942b","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 20:6; Sha'ar HaGilgulim 20:9"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f72b307b507d","אבטליון","אבטליונ","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 36:53; Sha'ar HaGilgulim 36:78; Sha'ar HaGilgulim 36:96"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1826826fe25d","אבי","אבי","Unresolved","","No lexical entry yet","true","27","Sha'ar HaGilgulim 15:3; Sha'ar HaGilgulim 33:3; Sha'ar HaGilgulim 33:4; Sha'ar HaGilgulim 33:5; Sha'ar HaGilgulim 36:10"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-c92bd9ec8868","אבי״ע","אבי״ע","Unresolved","","No lexical entry yet","true","18","Sha'ar HaGilgulim 1:2; Sha'ar HaGilgulim 2:16; Sha'ar HaGilgulim 11:1; Sha'ar HaGilgulim 17:8; Sha'ar HaGilgulim 18:1"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f600cf31fc27","אביא","אביא","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 16:4"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-84ff68b594c7","אביאנו","אביאנו","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 40:8"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1d7c0d62054f","אביג״ל","אביג״ל","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:73"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-2ed3f1ff1287","אביגיל","אביגיל","Unresolved","","No lexical entry yet","true","11","Sha'ar HaGilgulim 22:2; Sha'ar HaGilgulim 33:5; Sha'ar HaGilgulim 36:72; Sha'ar HaGilgulim 36:73; Sha'ar HaGilgulim 36:74"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-af32bf2485a3","אבידן","אבידנ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:51"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-8946b924a041","אביה","אביה","Unresolved","","No lexical entry yet","true","8","Sha'ar HaGilgulim 33:11; Sha'ar HaGilgulim 36:10; Sha'ar HaGilgulim 38:18; Sha'ar HaGilgulim 38:95"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-37370f8abe26","אביהוא","אביהוא","Unresolved","","No lexical entry yet","true","12","Sha'ar HaGilgulim 32:16; Sha'ar HaGilgulim 33:4; Sha'ar HaGilgulim 33:11; Sha'ar HaGilgulim 36:10; Sha'ar HaGilgulim 38:181"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-abec29577a95","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","10","Sha'ar HaGilgulim 3:2; Sha'ar HaGilgulim 29:16; Sha'ar HaGilgulim 31:20; Sha'ar HaGilgulim 32:2; Sha'ar HaGilgulim 33:13"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-6a9d35913fdd","אביו","אביו","Unresolved","","No lexical entry yet","true","34","Sha'ar HaGilgulim 3:9; Sha'ar HaGilgulim 10:1; Sha'ar HaGilgulim 10:2; Sha'ar HaGilgulim 10:4; Sha'ar HaGilgulim 15:3"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-7e556f935353","אביי","אביי","Unresolved","","No lexical entry yet","true","47","Sha'ar HaGilgulim 29:20; Sha'ar HaGilgulim 31:15; Sha'ar HaGilgulim 34:11; Sha'ar HaGilgulim 34:12; Sha'ar HaGilgulim 35:7"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-9e4f4c8e1f14","אבילדין","אבילדינ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:156"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-fcbb80900640","אבימי","אבימי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:51"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-d7b313f8b971","אבין","אבינ","Unresolved","","No lexical entry yet","true","3","Sha'ar HaGilgulim 36:12; Sha'ar HaGilgulim 36:45; Sha'ar HaGilgulim 38:21"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-37ff17c4c3db","אביעה","אביעה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 40:19"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f23a1a49f987","אבירם","אבירמ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:10"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f7f2ccbbe8ec","אבישי","אבישי","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 36:10; Sha'ar HaGilgulim 38:18"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-4e6a7db9159e","אבישלום","אבישלומ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:45"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-036eecc2ccd8","אבני״ת","אבני״ת","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 37:34; Sha'ar HaGilgulim 37:36"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-707748b0b8d2","אבנית","אבנית","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 37:13"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-b80ba978f765","אבסבאן","אבסבאנ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 39:40"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-2e9cb9efce6e","אבקש","אבקש","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 22:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-0fe02fb90bf1","אברור","אברור","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 39:45"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-45be070870ed","אברי","אברי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 17:3"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-bdf30b602c1b","אברם","אברמ","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 33:10; Sha'ar HaGilgulim 33:11"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-fc97a526ba19","אבתרהא","אבתרהא","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 3:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-99d4bb0da3c1","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 19:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-02672b6c5b78","אגג","אגג","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 33:7"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-21020f30aa67","אגוז","אגוז","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 36:120"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-86cf1bdcb068","אגיד","אגיד","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:123"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1e152931baa0","אגלה","אגלה","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 38:122"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-2ae7b53cf7ac","אגריה","אגריה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 40:10"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-2565e785410a","אגרת","אגרת","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 8:2"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-51a23698d555","אדא","אדא","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:79"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-fcf27b57e689","אדבר","אדבר","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:12"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-d089778ee5f3","אדה״ר","אדה״ר","Unresolved","","No lexical entry yet","true","143","Sha'ar HaGilgulim 3:2; Sha'ar HaGilgulim 5:3; Sha'ar HaGilgulim 6:3; Sha'ar HaGilgulim 6:4; Sha'ar HaGilgulim 6:5"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-cb49482a54cd","אדום","אדומ","Unresolved","","No lexical entry yet","true","6","Sha'ar HaGilgulim 15:1; Sha'ar HaGilgulim 22:6; Sha'ar HaGilgulim 26:32; Sha'ar HaGilgulim 36:81; Sha'ar HaGilgulim 36:88"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-07a7ae26075e","אדוניו","אדוניו","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 36:5; Sha'ar HaGilgulim 38:11"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-972ec5f7a040","אדונתו","אדונתו","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 26:2; Sha'ar HaGilgulim 39:17"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f33b21c55961","אדונתי","אדונתי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:83"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-82b80b7afaa8","אדחה","אדחה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:30"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-9b981630f4b1","אדמון","אדמונ","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 36:65; Sha'ar HaGilgulim 37:46"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-dfc4131e1620","אדמוני","אדמוני","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:175"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-1d5d3080c275","אדנ״י","אדנ״י","Unresolved","","No lexical entry yet","true","16","Sha'ar HaGilgulim 18:5; Sha'ar HaGilgulim 20:4; Sha'ar HaGilgulim 34:5; Sha'ar HaGilgulim 36:20; Sha'ar HaGilgulim 36:98"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-d8ce5a5a6f0e","אדני","אדני","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 39:53"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-4fb6a133a7d6","אדר","אדר","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 22:9; Sha'ar HaGilgulim 38:3"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-fd5ad22167ce","אדרת","אדרת","Unresolved","","No lexical entry yet","true","2","Sha'ar HaGilgulim 36:89; Sha'ar HaGilgulim 38:115"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-516b193ba353","אה״כ","אה״כ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 39:13"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-76665314a321","אהאי","אהאי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 38:95"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-f7b13e6c0c30","אהדר","אהדר","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 40:8"
"shaar-hagilgulim","Sha'ar HaGilgulim","tok-db6ad1ced1a6","אהו״ה","אהו״ה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaGilgulim 39:55"
