"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"shaar-hakavanot","Sha'ar HaKavanot","tok-98d4a62865d2","א׳","א׳","Unresolved","","No lexical entry yet","true","250","Sha'ar HaKavanot, Introduction:14; Sha'ar HaKavanot, Sermons on the Intentions of Blessings:1; Sha'ar HaKavanot, Sermons on the Intentions of Blessings:5; Sha'ar HaKavanot, Sermons on the Intentions of Blessings:6; Sha'ar HaKavanot, Sermons on the Intentions of Blessings:8"
"shaar-hakavanot","Sha'ar HaKavanot","tok-5d686a6936b3","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on the Festival of Hanukkah:5"
"shaar-hakavanot","Sha'ar HaKavanot","tok-ad9a44ba93ea","א״ח","א״ח","Unresolved","","No lexical entry yet","true","2","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:16"
"shaar-hakavanot","Sha'ar HaKavanot","tok-6c8c22e7d2bd","א״י","א״י","Unresolved","","No lexical entry yet","true","2","Sha'ar HaKavanot, Sermons on Receiving the Sabbath 1:1:7"
"shaar-hakavanot","Sha'ar HaKavanot","tok-013ffd08b91c","א״ל","א״ל","Unresolved","","No lexical entry yet","true","23","Sha'ar HaKavanot, Sermons on Morning Blessings:17; Sha'ar HaKavanot, Sermons on Morning Prayers 1:3; Sha'ar HaKavanot, Morning Prayers:15; Sha'ar HaKavanot, Morning Prayers:25; Sha'ar HaKavanot, Sermons on Ashrei, Incense Compositions, and Aleinu 1:10"
"shaar-hakavanot","Sha'ar HaKavanot","tok-5da6bfb7d54c","א״להים","א״להימ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Midnight Reparations 1:5"
"shaar-hakavanot","Sha'ar HaKavanot","tok-89e05ef48ad5","א״מ","א״מ","Unresolved","","No lexical entry yet","true","10","Sha'ar HaKavanot, Sermons on Tzitzit 1:1; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:2; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:5; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:6; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:12"
"shaar-hakavanot","Sha'ar HaKavanot","tok-4d0af6e3c873","א״פ","א״פ","Unresolved","","No lexical entry yet","true","9","Sha'ar HaKavanot, Sermons on Tzitzit 1:1; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:2; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:4; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:5; Sha'ar HaKavanot, Sermons on Sabbath Night Kiddush 1:1:12"
"shaar-hakavanot","Sha'ar HaKavanot","tok-edd7214a7303","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on the Festival of Purim:6"
"shaar-hakavanot","Sha'ar HaKavanot","tok-d4b1947bd0fd","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:14"
"shaar-hakavanot","Sha'ar HaKavanot","tok-0bafc2db1efe","אאל","אאל","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Tefillin 1:19"
"shaar-hakavanot","Sha'ar HaKavanot","tok-25e43752a77d","אאריך","אאריכ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:3"
"shaar-hakavanot","Sha'ar HaKavanot","tok-fa5f6fa3fb17","אב׳","אב׳","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Rosh Chodesh:12"
"shaar-hakavanot","Sha'ar HaKavanot","tok-11ee613d59af","אב״א","אב״א","Unresolved","","No lexical entry yet","true","12","Sha'ar HaKavanot, Sermons on Intentions of the Shema Recitation 1:1:4; Sha'ar HaKavanot, Sermons on the Order of the Sabbath 1:1:4; Sha'ar HaKavanot, Sermons on the Order of the Sabbath 1:1:5; Sha'ar HaKavanot, Sermons on Sabbath Additions 1:1:2; Sha'ar HaKavanot, Sermons on Rosh Hashanah 1:1:7"
"shaar-hakavanot","Sha'ar HaKavanot","tok-f3d91f3ccc8e","אבאר","אבאר","Unresolved","","No lexical entry yet","true","2","Sha'ar HaKavanot, Sermons on the Evening Prayers 1:8; Sha'ar HaKavanot, Sermons on Sabbath Evening Prayers 1:1:2"
"shaar-hakavanot","Sha'ar HaKavanot","tok-79b1407a9749","אבגית״צ","אבגית״צ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Ashrei, Incense Compositions, and Aleinu 1:6"
"shaar-hakavanot","Sha'ar HaKavanot","tok-1089ece9ddc8","אבגית״ץ","אבגית״צ","Unresolved","","No lexical entry yet","true","5","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:11; Sha'ar HaKavanot, Sermons on the Intentions of Blessings:12; Sha'ar HaKavanot, Sermons on Midnight Reparations 1:5"
"shaar-hakavanot","Sha'ar HaKavanot","tok-8429f816969f","אבהן","אבהנ","Unresolved","","No lexical entry yet","true","2","Sha'ar HaKavanot, Sermons on the Repetition of the Standing Prayer 1:1:4"
"shaar-hakavanot","Sha'ar HaKavanot","tok-955fd9985936","אבודרהם","אבודרהמ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:16"
"shaar-hakavanot","Sha'ar HaKavanot","tok-1e47ce7ff8bf","אבי","אבי","Unresolved","","No lexical entry yet","true","3","Sha'ar HaKavanot, Sermons on Morning Blessings:11; Sha'ar HaKavanot, Sermons on Passover 1:8; Sha'ar HaKavanot, Sermons on Yom Kippur 1:5"
"shaar-hakavanot","Sha'ar HaKavanot","tok-ebe8362bb6a0","אבי״ע","אבי״ע","Unresolved","","No lexical entry yet","true","12","Sha'ar HaKavanot, Sermons on Morning Prayers 1:2; Sha'ar HaKavanot, Sermons on Kaddish 1:1:3; Sha'ar HaKavanot, Sermons on Kaddish 1:1:4; Sha'ar HaKavanot, Sermons on Kaddish 1:1:6; Sha'ar HaKavanot, Morning Prayers:9"
"shaar-hakavanot","Sha'ar HaKavanot","tok-947d75e9c0f6","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","2","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:6; Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:15"
"shaar-hakavanot","Sha'ar HaKavanot","tok-386e29cedcb7","אביוני׳","אביוני׳","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on the Festival of Purim:7"
"shaar-hakavanot","Sha'ar HaKavanot","tok-c2c4cbd95198","אביי","אביי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:6"
"shaar-hakavanot","Sha'ar HaKavanot","tok-30b6965929f8","אבירי","אבירי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Morning Prayers:4"
"shaar-hakavanot","Sha'ar HaKavanot","tok-19c6f78e7af5","אבקת","אבקת","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Aleinu and the Prayer Formula 1:1"
"shaar-hakavanot","Sha'ar HaKavanot","tok-49f0fa44eaad","אברכך","אברככ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Ashrei, Incense Compositions, and Aleinu 1:4"
"shaar-hakavanot","Sha'ar HaKavanot","tok-6bdd1fb2ec7d","אגר״ת","אגר״ת","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on the Festival of Purim:3"
"shaar-hakavanot","Sha'ar HaKavanot","tok-b842802ac40f","אד","אד","Unresolved","","No lexical entry yet","true","1","Sha'ar HaKavanot, Sermons on Rosh Chodesh:7"
