"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-f2175c995d90","א׳","א׳","Unresolved","","No lexical entry yet","true","127","Sha'ar HaMitzvot, Introduction 1:14; Sha'ar HaMitzvot, Bereshit:1; Sha'ar HaMitzvot, Bereshit:4; Sha'ar HaMitzvot, Noach:1; Sha'ar HaMitzvot, Noach:3"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-898b3d400711","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Vayechi:6"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-f4e4221a1212","א״ד","א״ד","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Vaetchanan:18"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-4ec71aea699c","א״ה","א״ה","Unresolved","","No lexical entry yet","true","2","Sha'ar HaMitzvot, Noach:1; Sha'ar HaMitzvot, Behar:4"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-8c1beec632a8","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Shoftim:22"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-6a68afb815be","א״ט","א״ט","Unresolved","","No lexical entry yet","true","2","Sha'ar HaMitzvot, Shoftim:22"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-cdd06b147cfe","א״י","א״י","Unresolved","","No lexical entry yet","true","5","Sha'ar HaMitzvot, Shoftim:23; Sha'ar HaMitzvot, Vayelekh:5"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-9a2a929ed8a4","א״ל","א״ל","Unresolved","","No lexical entry yet","true","37","Sha'ar HaMitzvot, Beshalach:5; Sha'ar HaMitzvot, Terumah:9; Sha'ar HaMitzvot, Terumah:10; Sha'ar HaMitzvot, Tazria:6; Sha'ar HaMitzvot, Kedoshim:3"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-6250f8a6d64c","א״ם","א״מ","Unresolved","","No lexical entry yet","true","5","Sha'ar HaMitzvot, Tazria:1; Sha'ar HaMitzvot, Re'eh:2"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-eaaa44c47d90","א״ס","א״ס","Unresolved","","No lexical entry yet","true","5","Sha'ar HaMitzvot, Ki Teitzei:16; Sha'ar HaMitzvot, Ki Teitzei:17; Sha'ar HaMitzvot, Vayelekh:6"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-b37e6fdfed2d","א״צ","א״צ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Kedoshim:1"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-4a7423d7afdc","א״ש","א״ש","Unresolved","","No lexical entry yet","true","27","Sha'ar HaMitzvot, Bereshit:2; Sha'ar HaMitzvot, Beshalach:5; Sha'ar HaMitzvot, Terumah:2; Sha'ar HaMitzvot, Terumah:10; Sha'ar HaMitzvot, Shemini:2"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-717274a723f5","א״ת","א״ת","Unresolved","","No lexical entry yet","true","3","Sha'ar HaMitzvot, Eikev:2; Sha'ar HaMitzvot, Ki Teitzei:27; Sha'ar HaMitzvot, Vayelekh:6"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-b68abe066871","אב׳","אב׳","Unresolved","","No lexical entry yet","true","5","Sha'ar HaMitzvot, Ki Teitzei:17; Sha'ar HaMitzvot, Vayelekh:3; Sha'ar HaMitzvot, Vayelekh:6"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-e522e1434032","אב״א","אב״א","Unresolved","","No lexical entry yet","true","3","Sha'ar HaMitzvot, Beshalach:2; Sha'ar HaMitzvot, Terumah:1; Sha'ar HaMitzvot, Tetzaveh:1"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-da05b03a5dae","אב״ג","אב״ג","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Shoftim:21"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-bcf942ee3f42","אבא׳","אבא׳","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Eikev:25"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-74b3052dca2c","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Vayechi:6"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-cd8867767c8a","אבגית״ץ","אבגית״צ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Eikev:39"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-59a7bcdeb34a","אבהן","אבהנ","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Beshalach:1"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-ace018404b81","אבותי","אבותי","Unresolved","","No lexical entry yet","true","1","Sha'ar HaMitzvot, Vaetchanan:5"
"shaar-hamitzvot","Sha'ar HaMitzvot","tok-a95126063de2","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","4","Sha'ar HaMitzvot, Yitro:1"
