"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"shaarei-ephraim","Sha'arei Ephraim","tok-00229130bcdd","א׳","א׳","Unresolved","","No lexical entry yet","true","66","Sha'arei Ephraim 1:7; Sha'arei Ephraim 1:24; Sha'arei Ephraim 3:3; Sha'arei Ephraim 4:13; Sha'arei Ephraim 5:12"
"shaarei-ephraim","Sha'arei Ephraim","tok-e6a72b890ad6","א״א","א״א","Unresolved","","No lexical entry yet","true","7","Sha'arei Ephraim 3:11; Sha'arei Ephraim 4:19; Sha'arei Ephraim 5:2; Sha'arei Ephraim 5:19; Sha'arei Ephraim 5:26"
"shaarei-ephraim","Sha'arei Ephraim","tok-090446385a43","א״ה","א״ה","Unresolved","","No lexical entry yet","true","8","Sha'arei Ephraim 10:28; Sha'arei Ephraim 10:30; Sha'arei Ephraim 10:35; Sha'arei Ephraim 10:40"
"shaarei-ephraim","Sha'arei Ephraim","tok-3f795ea6b66e","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 5:14"
"shaarei-ephraim","Sha'arei Ephraim","tok-3f889ecaf1ea","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 8:97"
"shaarei-ephraim","Sha'arei Ephraim","tok-00893ffbd7a4","א״צ","א״צ","Unresolved","","No lexical entry yet","true","50","Sha'arei Ephraim 1:3; Sha'arei Ephraim 1:35; Sha'arei Ephraim 4:6; Sha'arei Ephraim 4:14; Sha'arei Ephraim 4:17"
"shaarei-ephraim","Sha'arei Ephraim","tok-e8470dbad30d","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 2:5"
"shaarei-ephraim","Sha'arei Ephraim","tok-2fe5955ee090","אב״ב","אב״ב","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 4:16"
"shaarei-ephraim","Sha'arei Ephraim","tok-99997aad76dd","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 3:15"
"shaarei-ephraim","Sha'arei Ephraim","tok-59638e44ec06","אבותי","אבותי","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 4:32"
"shaarei-ephraim","Sha'arei Ephraim","tok-d969c5b9ffb9","אבחננו","אבחננו","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 5:27"
"shaarei-ephraim","Sha'arei Ephraim","tok-a659efd91ff8","אבי","אבי","Unresolved","","No lexical entry yet","true","7","Sha'arei Ephraim 1:27; Sha'arei Ephraim 2:1; Sha'arei Ephraim 2:7; Sha'arei Ephraim 2:8"
"shaarei-ephraim","Sha'arei Ephraim","tok-85e959179fe7","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 8:36"
"shaarei-ephraim","Sha'arei Ephraim","tok-dba957b1eaee","אביו","אביו","Unresolved","","No lexical entry yet","true","15","Sha'arei Ephraim 1:27; Sha'arei Ephraim 1:35; Sha'arei Ephraim 2:1; Sha'arei Ephraim 4:28; Sha'arei Ephraim 6:47"
"shaarei-ephraim","Sha'arei Ephraim","tok-ec37cd81a979","אבילות","אבילות","Unresolved","","No lexical entry yet","true","3","Sha'arei Ephraim 8:109; Sha'arei Ephraim 8:111"
"shaarei-ephraim","Sha'arei Ephraim","tok-ac61e1feb551","אבלו","אבלו","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 8:111"
"shaarei-ephraim","Sha'arei Ephraim","tok-0c9c125f1c7a","אברם","אברמ","Unresolved","","No lexical entry yet","true","3","Sha'arei Ephraim 1:35; Sha'arei Ephraim 1:36; Sha'arei Ephraim 6:10"
"shaarei-ephraim","Sha'arei Ephraim","tok-00a28a0fbba0","אדמומי׳","אדמומי׳","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 5:13"
"shaarei-ephraim","Sha'arei Ephraim","tok-931ad9ea10d0","אדר","אדר","Unresolved","","No lexical entry yet","true","19","Sha'arei Ephraim 6:57; Sha'arei Ephraim 8:80; Sha'arei Ephraim 8:81; Sha'arei Ephraim 8:82; Sha'arei Ephraim 8:88"
"shaarei-ephraim","Sha'arei Ephraim","tok-0e18ed12e308","אהו״י","אהו״י","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 5:27"
"shaarei-ephraim","Sha'arei Ephraim","tok-4941b800774f","אהוב","אהוב","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 3:2"
"shaarei-ephraim","Sha'arei Ephraim","tok-1f2cc48dce56","אהלה","אהלה","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:26"
"shaarei-ephraim","Sha'arei Ephraim","tok-e731020a387b","אהרון","אהרונ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:27"
"shaarei-ephraim","Sha'arei Ephraim","tok-eb8e58bedae3","או״א","או״א","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 10:24"
"shaarei-ephraim","Sha'arei Ephraim","tok-034e7790226d","אוהבם","אוהבמ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 3:2"
"shaarei-ephraim","Sha'arei Ephraim","tok-d6a479095834","אוחז","אוחז","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 3:11; Sha'arei Ephraim 10:18"
"shaarei-ephraim","Sha'arei Ephraim","tok-950c0ba40ec3","אוחזים","אוחזימ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 10:15"
"shaarei-ephraim","Sha'arei Ephraim","tok-def455183f8c","אוחזת","אוחזת","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 4:4; Sha'arei Ephraim 10:19"
"shaarei-ephraim","Sha'arei Ephraim","tok-c5d657c09103","אומד","אומד","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 8:81"
"shaarei-ephraim","Sha'arei Ephraim","tok-3c9fdbb7e590","אומנתו","אומנתו","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 3:8"
"shaarei-ephraim","Sha'arei Ephraim","tok-a1fda8c16703","אונן","אוננ","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 3:19; Sha'arei Ephraim 8:111"
"shaarei-ephraim","Sha'arei Ephraim","tok-e2af62e4996b","אונס","אונס","Unresolved","","No lexical entry yet","true","4","Sha'arei Ephraim 1:3; Sha'arei Ephraim 7:9; Sha'arei Ephraim 7:11; Sha'arei Ephraim 8:95"
"shaarei-ephraim","Sha'arei Ephraim","tok-8ef8fd184fb8","אורחין","אורחינ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 2:9"
"shaarei-ephraim","Sha'arei Ephraim","tok-024d7dbeeb14","אורך","אורכ","Unresolved","","No lexical entry yet","true","3","Sha'arei Ephraim 4:17; Sha'arei Ephraim 5:9; Sha'arei Ephraim 5:14"
"shaarei-ephraim","Sha'arei Ephraim","tok-cb3beeca0966","אות׳","אות׳","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 9:29; Sha'arei Ephraim 9:43"
"shaarei-ephraim","Sha'arei Ephraim","tok-875bc327e72d","אותי","אותי","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 6:51"
"shaarei-ephraim","Sha'arei Ephraim","tok-28bdbae77565","אותיותם","אותיותמ","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:55"
"shaarei-ephraim","Sha'arei Ephraim","tok-7f145f3a537f","אזי","אזי","Unresolved","","No lexical entry yet","true","36","Sha'arei Ephraim 1:18; Sha'arei Ephraim 2:4; Sha'arei Ephraim 4:19; Sha'arei Ephraim 5:1; Sha'arei Ephraim 5:10"
"shaarei-ephraim","Sha'arei Ephraim","tok-cb995c2fc62c","אח״ז","אח״ז","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 1:32"
"shaarei-ephraim","Sha'arei Ephraim","tok-a3725316e603","אחי","אחי","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:13"
"shaarei-ephraim","Sha'arei Ephraim","tok-a83deb4c94be","אחיו","אחיו","Unresolved","","No lexical entry yet","true","3","Sha'arei Ephraim 1:30; Sha'arei Ephraim 6:51; Sha'arei Ephraim 10:47"
"shaarei-ephraim","Sha'arei Ephraim","tok-a832e9b6e09e","אחיזתו","אחיזתו","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 10:15"
"shaarei-ephraim","Sha'arei Ephraim","tok-b6c66b225e18","אחר׳","אחר׳","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 5:2; Sha'arei Ephraim 5:21"
"shaarei-ephraim","Sha'arei Ephraim","tok-c3eb5cbd444c","אחרונ׳","אחרונ׳","Unresolved","","No lexical entry yet","true","4","Sha'arei Ephraim 4:4; Sha'arei Ephraim 4:25; Sha'arei Ephraim 5:2; Sha'arei Ephraim 8:64"
"shaarei-ephraim","Sha'arei Ephraim","tok-7b127f58f376","אחרונה","אחרונה","Unresolved","","No lexical entry yet","true","59","Sha'arei Ephraim 1:15; Sha'arei Ephraim 4:23; Sha'arei Ephraim 4:27; Sha'arei Ephraim 4:31; Sha'arei Ephraim 6:61"
"shaarei-ephraim","Sha'arei Ephraim","tok-5f0ebd75755c","אחרונות","אחרונות","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 9:30"
"shaarei-ephraim","Sha'arei Ephraim","tok-25c3f48706db","אחרי׳","אחרי׳","Unresolved","","No lexical entry yet","true","2","Sha'arei Ephraim 6:35; Sha'arei Ephraim 9:4"
"shaarei-ephraim","Sha'arei Ephraim","tok-23391880a932","אחריהם","אחריהמ","Unresolved","","No lexical entry yet","true","4","Sha'arei Ephraim 4:6; Sha'arei Ephraim 4:27; Sha'arei Ephraim 9:39"
"shaarei-ephraim","Sha'arei Ephraim","tok-92a0058bc93c","אחרת","אחרת","Unresolved","","No lexical entry yet","true","144","Sha'arei Ephraim 3:1; Sha'arei Ephraim 4:15; Sha'arei Ephraim 4:17; Sha'arei Ephraim 5:1; Sha'arei Ephraim 5:2"
"shaarei-ephraim","Sha'arei Ephraim","tok-a1dc6f6febb8","אחשורו׳","אחשורו׳","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:51"
"shaarei-ephraim","Sha'arei Ephraim","tok-20cf2d6d4c27","אחשורוש","אחשורוש","Unresolved","","No lexical entry yet","true","1","Sha'arei Ephraim 6:51"
"shaarei-ephraim","Sha'arei Ephraim","tok-fce5200766c6","אחשורש","אחשורש","Unresolved","","No lexical entry yet","true","4","Sha'arei Ephraim 6:51"
