"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-4a7e89803b45","א׳","א׳","Unresolved","","No lexical entry yet","true","44","Sha'arei Teshuvah 1:27; Sha'arei Teshuvah 1:29; Sha'arei Teshuvah 1:31; Sha'arei Teshuvah 1:49; Sha'arei Teshuvah 2:9"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-bd6bd90e6d76","אִבֵּד","אבד","Unresolved","","No lexical entry yet","true","2","Sha'arei Teshuvah 2:25; Sha'arei Teshuvah 3:177"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-2cceed4604f1","אָבַד","אבד","Unresolved","","No lexical entry yet","true","2","Sha'arei Teshuvah 1:12; Sha'arei Teshuvah 2:9"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-3914270442f1","אֹבַד","אבד","Unresolved","","No lexical entry yet","true","1","Sha'arei Teshuvah 2:9"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-da9b5fd8a9df","אָבְדוּ","אבדו","Unresolved","","No lexical entry yet","true","1","Sha'arei Teshuvah 3:15"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-f16bc1582e25","אֲבַדּוֹן","אבדונ","Unresolved","","No lexical entry yet","true","2","Sha'arei Teshuvah 3:62; Sha'arei Teshuvah 3:177"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-8810d8ddd7a4","אֹבְדוֹת","אבדות","Unresolved","","No lexical entry yet","true","1","Sha'arei Teshuvah 3:159"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-ee8d3a208535","אָבְדַן","אבדנ","Unresolved","","No lexical entry yet","true","2","Sha'arei Teshuvah 3:14; Sha'arei Teshuvah 3:170"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-991b75203a30","אֲבֵדַת","אבדת","Unresolved","","No lexical entry yet","true","2","Sha'arei Teshuvah 3:70"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-af4e6cb82b8e","אָבַדְתִּי","אבדתי","Unresolved","","No lexical entry yet","true","1","Sha'arei Teshuvah 3:159"
"shaarei-teshuvah","Sha'arei Teshuvah","tok-265068a84deb","אָבוֹא","אבוא","Unresolved","","No lexical entry yet","true","1","Sha'arei Teshuvah 3:122"
