"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"simlah-chadashah","Simlah Chadashah","tok-2798292de739","א׳","א׳","Unresolved","","No lexical entry yet","true","387","Simlah Chadashah 1:6; Simlah Chadashah 1:8; Simlah Chadashah 1:15; Simlah Chadashah 1:17; Simlah Chadashah 1:19"
"simlah-chadashah","Simlah Chadashah","tok-5be49f13c73e","א״א","א״א","Unresolved","","No lexical entry yet","true","33","Simlah Chadashah 1:27; Simlah Chadashah 1:36; Simlah Chadashah 1:40; Simlah Chadashah 6:1; Simlah Chadashah 11:6"
"simlah-chadashah","Simlah Chadashah","tok-fdfa0ba73425","א״ג","א״ג","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 39:52"
"simlah-chadashah","Simlah Chadashah","tok-50601d05b821","א״ח","א״ח","Unresolved","","No lexical entry yet","true","6","Simlah Chadashah 1:34; Simlah Chadashah 1:38; Simlah Chadashah 19:3; Simlah Chadashah 19:6; Simlah Chadashah 24:12"
"simlah-chadashah","Simlah Chadashah","tok-d1039215a02d","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 1:16"
"simlah-chadashah","Simlah Chadashah","tok-c1e973f16762","א״ל","א״ל","Unresolved","","No lexical entry yet","true","2","Simlah Chadashah 1:15; Simlah Chadashah 63:15"
"simlah-chadashah","Simlah Chadashah","tok-955de1fb3737","א״מ","א״מ","Unresolved","","No lexical entry yet","true","2","Simlah Chadashah 63:3; Simlah Chadashah 63:7"
"simlah-chadashah","Simlah Chadashah","tok-ecbe47a04896","א״נ","א״נ","Unresolved","","No lexical entry yet","true","25","Simlah Chadashah 1:3; Simlah Chadashah 1:21; Simlah Chadashah 2:2; Simlah Chadashah 4:10; Simlah Chadashah 5:6"
"simlah-chadashah","Simlah Chadashah","tok-5755023201d0","א״ע","א״ע","Unresolved","","No lexical entry yet","true","2","Simlah Chadashah 16:15; Simlah Chadashah 28:9"
"simlah-chadashah","Simlah Chadashah","tok-edd96e23bf91","א״צ","א״צ","Unresolved","","No lexical entry yet","true","43","Simlah Chadashah 1:3; Simlah Chadashah 10:7; Simlah Chadashah 10:10; Simlah Chadashah 10:11; Simlah Chadashah 10:17"
"simlah-chadashah","Simlah Chadashah","tok-f5105a3aa0b8","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah, Bone Disqualifications 1:6"
"simlah-chadashah","Simlah Chadashah","tok-7cd4f3f17ca7","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","41","Simlah Chadashah 1:3; Simlah Chadashah 1:18; Simlah Chadashah 1:30; Simlah Chadashah 1:34; Simlah Chadashah 1:39"
"simlah-chadashah","Simlah Chadashah","tok-e4b99a1c0c10","אאבנים","אאבנימ","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 18:18"
"simlah-chadashah","Simlah Chadashah","tok-5d64b089ea96","אאונ׳","אאונ׳","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 35:10"
"simlah-chadashah","Simlah Chadashah","tok-c9de1a28e73c","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 37:30"
"simlah-chadashah","Simlah Chadashah","tok-f2591074dbc7","אבדיק׳","אבדיק׳","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 36:31"
"simlah-chadashah","Simlah Chadashah","tok-a0fb70f38d6d","אבדיקה","אבדיקה","Unresolved","","No lexical entry yet","true","8","Simlah Chadashah 2:4; Simlah Chadashah 36:18; Simlah Chadashah 36:31; Simlah Chadashah 36:32"
"simlah-chadashah","Simlah Chadashah","tok-0fb5a4902a52","אבדיקת","אבדיקת","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 37:14"
"simlah-chadashah","Simlah Chadashah","tok-465ad045e838","אבדיקתינו","אבדיקתינו","Unresolved","","No lexical entry yet","true","4","Simlah Chadashah 36:31; Simlah Chadashah 39:10; Simlah Chadashah 39:52; Simlah Chadashah 39:70"
"simlah-chadashah","Simlah Chadashah","tok-ffed8069c88a","אבדיקתנו","אבדיקתנו","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 37:2"
"simlah-chadashah","Simlah Chadashah","tok-4401bd1cbd85","אבה״ג","אבה״ג","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 36:33"
"simlah-chadashah","Simlah Chadashah","tok-0b992aba447e","אבהמה","אבהמה","Unresolved","","No lexical entry yet","true","4","Simlah Chadashah 13:6; Simlah Chadashah 13:7; Simlah Chadashah 14:5"
"simlah-chadashah","Simlah Chadashah","tok-c8b5067d94a9","אבידת","אבידת","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 63:1"
"simlah-chadashah","Simlah Chadashah","tok-ec8ffb39c598","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 13:9"
"simlah-chadashah","Simlah Chadashah","tok-c97dbb9a15aa","אביו","אביו","Unresolved","","No lexical entry yet","true","6","Simlah Chadashah 13:4; Simlah Chadashah 14:5; Simlah Chadashah 14:8; Simlah Chadashah 16:2"
"simlah-chadashah","Simlah Chadashah","tok-5e9d30c4d901","אבישרא","אבישרא","Unresolved","","No lexical entry yet","true","3","Simlah Chadashah 18:7; Simlah Chadashah 18:8"
"simlah-chadashah","Simlah Chadashah","tok-baf1e7e66972","אבעבועו׳","אבעבועו׳","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 39:7"
"simlah-chadashah","Simlah Chadashah","tok-6722be5b3e67","אבעבועות","אבעבועות","Unresolved","","No lexical entry yet","true","2","Simlah Chadashah 39:7; Simlah Chadashah 39:60"
"simlah-chadashah","Simlah Chadashah","tok-f4427e465460","אבעי׳","אבעי׳","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 14:10"
"simlah-chadashah","Simlah Chadashah","tok-34319dfcfd09","אבריהם","אבריהמ","Unresolved","","No lexical entry yet","true","1","Simlah Chadashah 18:7"
