"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-1f114f222f24","אִבָּא","אבא","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 7:20"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-1b9dbf72bde2","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 20:15"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-f372e1365b11","אַבְאֵישׁ","אבאיש","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 25:6"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-2301b63f40f3","אַבְאִישׁוּ","אבאישו","Unresolved","","No lexical entry yet","true","2","Targum Jonathan on Jeremiah 7:26; Targum Jonathan on Jeremiah 38:9"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-3bb627c37467","אַבְאַשְׁתּוּן","אבאשתונ","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 16:12"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-cbcc4dc20978","אַבְּדֵית","אבדית","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 15:7"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-7efc8ccdf13c","אֱבַדַר","אבדר","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 10:18"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-c7411be5db34","אֲבַדֵר","אבדר","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 15:7"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-7be4e41e2803","אֲבַדְרִינוּן","אבדרינונ","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 18:17"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-86424045ee6b","אֲבַדְתּוּן","אבדתונ","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 48:46"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-8855b39bb3d9","אִבָּהּ","אבה","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 2:7"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-4729e501d156","אִבְּהוֹן","אבהונ","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 29:28"
"targum-jonathan-on-jeremiah","Targum Jonathan on Jeremiah","tok-6db4a426379e","אֶבָּהֵית","אבהית","Unresolved","","No lexical entry yet","true","1","Targum Jonathan on Jeremiah 17:18"
