"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-b79603897b91","אאופטר","אאופטר","Unresolved","","No lexical entry yet","true","2","The Book of Maccabees II 2:20; The Book of Maccabees II 13:2"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-4bde07cef510","אאפולימוס","אאפולימוס","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 4:12"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-03052cadd3fe","אאפטר","אאפטר","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 10:12"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-fb85816283a8","אבה","אבה","Unresolved","","No lexical entry yet","true","2","The Book of Maccabees II 9:18; The Book of Maccabees II 14:21"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-0988f647b59f","אבוא","אבוא","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 15:1"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-1aced5e4815a","אבותי","אבותי","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 7:43"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-b2963d734659","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","4","The Book of Maccabees II 4:17; The Book of Maccabees II 5:11; The Book of Maccabees II 6:1; The Book of Maccabees II 11:26"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-a04ea8b6123d","אבותיי","אבותיי","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:9"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-6be75ca33289","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 7:28"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-3085387ea1be","אבי","אבי","Unresolved","","No lexical entry yet","true","5","The Book of Maccabees II 4:12; The Book of Maccabees II 9:29; The Book of Maccabees II 11:25; The Book of Maccabees II 11:26; The Book of Maccabees II 14:42"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-7daae89e85f7","אביו","אביו","Unresolved","","No lexical entry yet","true","2","The Book of Maccabees II 10:16; The Book of Maccabees II 13:11"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-1c6b3e88513f","אדום","אדומ","Unresolved","","No lexical entry yet","true","3","The Book of Maccabees II 10:19; The Book of Maccabees II 10:20; The Book of Maccabees II 12:41"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-db78bee9af1f","אדוניהם","אדוניהמ","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 3:31"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-56b791abd1f8","אדר","אדר","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 15:43"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-fc5b7fb741bc","אדרת","אדרת","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 4:46"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-b2a5e5019427","אודות","אודות","Unresolved","","No lexical entry yet","true","3","The Book of Maccabees II 11:15; The Book of Maccabees II 11:40; The Book of Maccabees II 14:7"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-cf32bc851129","אודותינו","אודותינו","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:12"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-379a208d020c","אוהל","אוהל","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 2:4"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-7265f535cb14","אוזנינו","אוזנינו","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 6:15"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-694bf3be48d0","אוזננו","אוזננו","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 6:18"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-d0d41c86898b","אויביהם","אויביהמ","Unresolved","","No lexical entry yet","true","4","The Book of Maccabees II 10:46; The Book of Maccabees II 11:11; The Book of Maccabees II 12:54; The Book of Maccabees II 14:19"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-d89b36fbf819","אויבינו","אויבינו","Unresolved","","No lexical entry yet","true","2","The Book of Maccabees II 1:14; The Book of Maccabees II 15:31"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-a5d5ec12623b","אויבנו","אויבנו","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 15:23"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-a15577110b47","אוכל","אוכל","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 1:38"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-43ad00ae9111","אוּכל","אוכל","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 1:29"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-468a320a9090","אולי","אולי","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:24"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-74ea0ddd9971","אולימפיוס","אולימפיוס","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 6:2"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-c1e19067ede6","אולם","אולמ","Unresolved","","No lexical entry yet","true","9","The Book of Maccabees II 1:26; The Book of Maccabees II 2:29; The Book of Maccabees II 4:6; The Book of Maccabees II 4:18; The Book of Maccabees II 7:9"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-0adec4728783","אומנם","אומנמ","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 4:23"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-ef929a519261","אוסיף","אוסיפ","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 4:10"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-0b45b92eee1d","אופל","אופל","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 10:38"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-f3024a15ad4b","אותי","אותי","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:9"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-dfa40ac9272f","אותך","אותכ","Unresolved","","No lexical entry yet","true","2","The Book of Maccabees II 7:18; The Book of Maccabees II 7:44"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-1ee493d03dab","אחדל","אחדל","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 9:29"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-4ec2d3933d3c","אחוזי","אחוזי","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:44"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-d14b935724fc","אחוזת","אחוזת","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 14:21"
"the-book-of-maccabees-ii","The Book of Maccabees II","tok-d72e846b4708","אחוזתכם","אחוזתכמ","Unresolved","","No lexical entry yet","true","1","The Book of Maccabees II 11:32"
