"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"the-wars-of-god","The Wars of God","tok-4794daee42a0","א׳","א׳","Unresolved","","No lexical entry yet","true","36","The Wars of God 1:4; The Wars of God 2:4; The Wars of God 2:8; The Wars of God 4:17; The Wars of God 4:21"
"the-wars-of-god","The Wars of God","tok-2f681460e5c9","א״א","א״א","Unresolved","","No lexical entry yet","true","1","The Wars of God 7:6"
"the-wars-of-god","The Wars of God","tok-eba6bc9e7f28","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","The Wars of God 5:5"
"the-wars-of-god","The Wars of God","tok-d34eba0269bf","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","The Wars of God 7:23"
"the-wars-of-god","The Wars of God","tok-2292ab9e9cec","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","The Wars of God 9:17"
"the-wars-of-god","The Wars of God","tok-8edd0455244a","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","The Wars of God 4:33"
"the-wars-of-god","The Wars of God","tok-5ac98e23cd0d","א״ס","א״ס","Unresolved","","No lexical entry yet","true","7","The Wars of God 2:7; The Wars of God 2:11; The Wars of God 2:28; The Wars of God 4:32; The Wars of God 5:2"
"the-wars-of-god","The Wars of God","tok-8519b945fabc","א״ר","א״ר","Unresolved","","No lexical entry yet","true","4","The Wars of God 4:5; The Wars of God 7:20; The Wars of God 8:22"
"the-wars-of-god","The Wars of God","tok-93937e2d7ef2","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","The Wars of God 8:15"
"the-wars-of-god","The Wars of God","tok-a11fb43f8647","אבא","אבא","Unresolved","","No lexical entry yet","true","108","The Wars of God 1:4; The Wars of God 2:4; The Wars of God 4:1; The Wars of God 4:2; The Wars of God 4:4"
"the-wars-of-god","The Wars of God","tok-3635eefa6832","אבד","אבד","Unresolved","","No lexical entry yet","true","1","The Wars of God 7:22"
"the-wars-of-god","The Wars of God","tok-b3689e9f2c69","אבה","אבה","Unresolved","","No lexical entry yet","true","1","The Wars of God 9:15"
"the-wars-of-god","The Wars of God","tok-5f9f61f012c3","אבהו","אבהו","Unresolved","","No lexical entry yet","true","3","The Wars of God 2:8; The Wars of God 2:9; The Wars of God 9:3"
"the-wars-of-god","The Wars of God","tok-d9d8f904456a","אבו","אבו","Unresolved","","No lexical entry yet","true","1","The Wars of God 6:16"
"the-wars-of-god","The Wars of God","tok-6d4889e02bc6","אבוא","אבוא","Unresolved","","No lexical entry yet","true","1","The Wars of God 10:4"
"the-wars-of-god","The Wars of God","tok-d9d5a11dfa9d","אבוס","אבוס","Unresolved","","No lexical entry yet","true","1","The Wars of God 6:25"
"the-wars-of-god","The Wars of God","tok-8550919528c4","אבוש","אבוש","Unresolved","","No lexical entry yet","true","3","The Wars of God 2:34; The Wars of God 7:22"
"the-wars-of-god","The Wars of God","tok-35647ba866ce","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","5","The Wars of God 2:20; The Wars of God 8:9; The Wars of God 9:10; The Wars of God 9:19; The Wars of God 10:1"
"the-wars-of-god","The Wars of God","tok-0da49ec6ded1","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","1","The Wars of God 5:24"
"the-wars-of-god","The Wars of God","tok-792d0934549e","אבותיכם","אבותיכמ","Unresolved","","No lexical entry yet","true","2","The Wars of God 8:8; The Wars of God 8:15"
"the-wars-of-god","The Wars of God","tok-c89636e593b4","אבי","אבי","Unresolved","","No lexical entry yet","true","5","The Wars of God 5:22; The Wars of God 5:24; The Wars of God 7:21; The Wars of God 7:25"
"the-wars-of-god","The Wars of God","tok-35a3d9ed7a20","אבי׳","אבי׳","Unresolved","","No lexical entry yet","true","1","The Wars of God 5:3"
"the-wars-of-god","The Wars of God","tok-9d53dc8bc375","אבי״ע","אבי״ע","Unresolved","","No lexical entry yet","true","2","The Wars of God 4:32; The Wars of God 5:18"
"the-wars-of-god","The Wars of God","tok-5f4a914b9e61","אביא","אביא","Unresolved","","No lexical entry yet","true","2","The Wars of God 3:12; The Wars of God 6:10"
"the-wars-of-god","The Wars of God","tok-5ace97d4bc68","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","7","The Wars of God 5:33; The Wars of God 7:21; The Wars of God 8:5"
"the-wars-of-god","The Wars of God","tok-225ff4b6fe1f","אביו","אביו","Unresolved","","No lexical entry yet","true","23","The Wars of God 1:2; The Wars of God 2:33; The Wars of God 4:4; The Wars of God 4:33; The Wars of God 5:22"
