"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"toafot-reem","Toafot Re'em","tok-6fd894f39a26","א׳","א׳","Unresolved","","No lexical entry yet","true","1739","Toafot Re'em, Introduction:1; Toafot Re'em, Introduction:2; Toafot Re'em, Introduction:3; Toafot Re'em, Introduction:5; Toafot Re'em, Introduction:9"
"toafot-reem","Toafot Re'em","tok-f961515553d2","א׳בעות","א׳בעות","Unresolved","","No lexical entry yet","true","1","Toafot Re'em 76:5"
"toafot-reem","Toafot Re'em","tok-dc05f3bb0c85","א׳כתב","א׳כתב","Unresolved","","No lexical entry yet","true","1","Toafot Re'em 168:19"
"toafot-reem","Toafot Re'em","tok-bc860ade4a9e","א״א","א״א","Unresolved","","No lexical entry yet","true","62","Toafot Re'em 18:22; Toafot Re'em 21:2; Toafot Re'em 24:5; Toafot Re'em 26:136; Toafot Re'em 26:243"
"toafot-reem","Toafot Re'em","tok-a67f9848a6df","א״ב","א״ב","Unresolved","","No lexical entry yet","true","31","Toafot Re'em 20:13; Toafot Re'em 26:130; Toafot Re'em 26:257; Toafot Re'em 27:11; Toafot Re'em 27:14"
"toafot-reem","Toafot Re'em","tok-d7874eb8278c","א״ד","א״ד","Unresolved","","No lexical entry yet","true","14","Toafot Re'em 69:5; Toafot Re'em 70:8; Toafot Re'em 124:9; Toafot Re'em 221:4; Toafot Re'em 253:15"
"toafot-reem","Toafot Re'em","tok-6ddc35cf68ba","א״ה","א״ה","Unresolved","","No lexical entry yet","true","11","Toafot Re'em 8:6; Toafot Re'em 104:8; Toafot Re'em 131:10; Toafot Re'em 326:1; Toafot Re'em 332:3"
"toafot-reem","Toafot Re'em","tok-8a17dea8ae5e","א״ו","א״ו","Unresolved","","No lexical entry yet","true","16","Toafot Re'em 4:6; Toafot Re'em 50:12; Toafot Re'em 52:17; Toafot Re'em 156:4; Toafot Re'em 177:5"
"toafot-reem","Toafot Re'em","tok-d1ab9a0bc30f","א״ח","א״ח","Unresolved","","No lexical entry yet","true","22","Toafot Re'em 26:115; Toafot Re'em 26:121; Toafot Re'em 26:193; Toafot Re'em 26:199; Toafot Re'em 26:205"
"toafot-reem","Toafot Re'em","tok-b61b3325b97c","א״ט","א״ט","Unresolved","","No lexical entry yet","true","3","Toafot Re'em 68:4; Toafot Re'em 322:9; Toafot Re'em 422:38"
"toafot-reem","Toafot Re'em","tok-86e443c35cb2","א״י","א״י","Unresolved","","No lexical entry yet","true","51","Toafot Re'em 29:7; Toafot Re'em 30:11; Toafot Re'em 40:2; Toafot Re'em 45:21; Toafot Re'em 111:1"
"toafot-reem","Toafot Re'em","tok-46547a0d83d2","א״ל","א״ל","Unresolved","","No lexical entry yet","true","79","Toafot Re'em 8:4; Toafot Re'em 26:121; Toafot Re'em 31:5; Toafot Re'em 42:5; Toafot Re'em 43:4"
"toafot-reem","Toafot Re'em","tok-a52a92be2310","א״ליעזר","א״ליעזר","Unresolved","","No lexical entry yet","true","1","Toafot Re'em, Introduction:12"
"toafot-reem","Toafot Re'em","tok-a663ef272d28","א״מ","א״מ","Unresolved","","No lexical entry yet","true","20","Toafot Re'em 114:1; Toafot Re'em 131:10; Toafot Re'em 148:2; Toafot Re'em 148:3; Toafot Re'em 233:6"
"toafot-reem","Toafot Re'em","tok-c41666cd5040","א״נ","א״נ","Unresolved","","No lexical entry yet","true","53","Toafot Re'em 4:7; Toafot Re'em 12:2; Toafot Re'em 26:64; Toafot Re'em 26:126; Toafot Re'em 26:210"
"toafot-reem","Toafot Re'em","tok-e5fbc4c0207f","א״ע","א״ע","Unresolved","","No lexical entry yet","true","30","Toafot Re'em 27:7; Toafot Re'em 34:4; Toafot Re'em 48:8; Toafot Re'em 52:3; Toafot Re'em 129:3"
"toafot-reem","Toafot Re'em","tok-955b4d9f8f1b","א״צ","א״צ","Unresolved","","No lexical entry yet","true","98","Toafot Re'em 18:3; Toafot Re'em 26:33; Toafot Re'em 26:49; Toafot Re'em 26:161; Toafot Re'em 26:172"
"toafot-reem","Toafot Re'em","tok-c86d916bba11","א״ק","א״ק","Unresolved","","No lexical entry yet","true","18","Toafot Re'em 7:14; Toafot Re'em 19:6; Toafot Re'em 27:11; Toafot Re'em 40:5; Toafot Re'em 41:9"
"toafot-reem","Toafot Re'em","tok-5c7c81225858","א״ר","א״ר","Unresolved","","No lexical entry yet","true","106","Toafot Re'em 7:43; Toafot Re'em 26:12; Toafot Re'em 26:49; Toafot Re'em 40:5; Toafot Re'em 41:9"
"toafot-reem","Toafot Re'em","tok-68983fdcd5e9","א״ש","א״ש","Unresolved","","No lexical entry yet","true","270","Toafot Re'em 2:3; Toafot Re'em 8:6; Toafot Re'em 12:2; Toafot Re'em 18:22; Toafot Re'em 20:14"
