"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tomer-devorah","Tomer Devorah","tok-f178e440ac64","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Tomer Devorah 7:4; Tomer Devorah 9:2"
"tomer-devorah","Tomer Devorah","tok-072b4f0b18dd","אַבָּא""","אבא""","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 4:2"
"tomer-devorah","Tomer Devorah","tok-b37eacd9ce37","אֲבֵדָתָם","אבדתמ","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 5:9"
"tomer-devorah","Tomer Devorah","tok-1a0fafbe8ae0","אָבוֹא""","אבוא""","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 10:3"
"tomer-devorah","Tomer Devorah","tok-e08a63a1f089","אֲבוֹתֵיהֶם","אבותיהמ","Unresolved","","No lexical entry yet","true","2","Tomer Devorah 1:28"
"tomer-devorah","Tomer Devorah","tok-9531d02179e4","אַבַּתְרָהּ","אבתרה","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 5:7"
"tomer-devorah","Tomer Devorah","tok-cde0450ced7a","אֲדֹנָי","אדני","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 1:6"
"tomer-devorah","Tomer Devorah","tok-cc0646a1e7f7","אַדְּרַבָּה","אדרבה","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 1:19"
"tomer-devorah","Tomer Devorah","tok-c6ff22869f7a","אוֹהֵב","אוהב","Unresolved","","No lexical entry yet","true","2","Tomer Devorah 2:23"
"tomer-devorah","Tomer Devorah","tok-bdcd9fa51551","אוֹהֵב""","אוהב""","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 5:1"
"tomer-devorah","Tomer Devorah","tok-99241303ff5d","אוֹכְלִים","אוכלימ","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 3:13"
"tomer-devorah","Tomer Devorah","tok-f3bea5a4b938","אוּלַי","אולי","Unresolved","","No lexical entry yet","true","2","Tomer Devorah 1:11; Tomer Devorah 1:12"
"tomer-devorah","Tomer Devorah","tok-e421aee0c0ef","אוֹמְרוֹ","אומרו","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 1:2"
"tomer-devorah","Tomer Devorah","tok-886335683ba2","אוֹמְרוֹת","אומרות","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 2:14"
"tomer-devorah","Tomer Devorah","tok-169dae9bc061","אוֹרְחִים","אורחימ","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 5:9"
"tomer-devorah","Tomer Devorah","tok-7978ac21c1fe","אַזְהָרָה","אזהרה","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 5:4"
"tomer-devorah","Tomer Devorah","tok-9cc9148325f0","אֲחוֹתִי","אחותי","Unresolved","","No lexical entry yet","true","1","Tomer Devorah 1:9"
