"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tosefta-sotah","Tosefta Sotah","tok-78ce5df61c40","א׳","א׳","Unresolved","","No lexical entry yet","true","21","Tosefta Sotah 3:3; Tosefta Sotah 4:4; Tosefta Sotah 6:7; Tosefta Sotah 7:9; Tosefta Sotah 7:10"
"tosefta-sotah","Tosefta Sotah","tok-70fddef6ac68","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 4:3"
"tosefta-sotah","Tosefta Sotah","tok-9b47df90dac6","א״ע","א״ע","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 4:3"
"tosefta-sotah","Tosefta Sotah","tok-a374e10228f2","א״ר","א״ר","Unresolved","","No lexical entry yet","true","3","Tosefta Sotah 8:7; Tosefta Sotah 10:3; Tosefta Sotah 15:5"
"tosefta-sotah","Tosefta Sotah","tok-20dae15bc588","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 6:1"
"tosefta-sotah","Tosefta Sotah","tok-4783648d9784","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 15:2"
"tosefta-sotah","Tosefta Sotah","tok-a829c6369fbc","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 10:1"
"tosefta-sotah","Tosefta Sotah","tok-6ce7bf5a63ab","אבדו","אבדו","Unresolved","","No lexical entry yet","true","2","Tosefta Sotah 10:1"
"tosefta-sotah","Tosefta Sotah","tok-14615fdd281d","אביו","אביו","Unresolved","","No lexical entry yet","true","4","Tosefta Sotah 3:4; Tosefta Sotah 4:2"
"tosefta-sotah","Tosefta Sotah","tok-f26aca26d1f1","אבלו","אבלו","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 10:1"
"tosefta-sotah","Tosefta Sotah","tok-c5f1c0d891c1","אבשלום","אבשלומ","Unresolved","","No lexical entry yet","true","4","Tosefta Sotah 3:4; Tosefta Sotah 4:5"
"tosefta-sotah","Tosefta Sotah","tok-6ff88382be8c","אגדות","אגדות","Unresolved","","No lexical entry yet","true","2","Tosefta Sotah 7:13"
"tosefta-sotah","Tosefta Sotah","tok-bcaf4a4d5029","אדוניך","אדוניכ","Unresolved","","No lexical entry yet","true","4","Tosefta Sotah 12:5"
"tosefta-sotah","Tosefta Sotah","tok-ab9de02b9734","אדונינו","אדונינו","Unresolved","","No lexical entry yet","true","3","Tosefta Sotah 6:2; Tosefta Sotah 12:5"
"tosefta-sotah","Tosefta Sotah","tok-7ab06e602ad8","אהלי","אהלי","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 7:2"
"tosefta-sotah","Tosefta Sotah","tok-e40e4f5621d2","אהלים","אהלימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 3:3"
"tosefta-sotah","Tosefta Sotah","tok-5678759c0298","אודות","אודות","Unresolved","","No lexical entry yet","true","2","Tosefta Sotah 5:7"
"tosefta-sotah","Tosefta Sotah","tok-41d40d0a629c","אוהב","אוהב","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 6:1"
"tosefta-sotah","Tosefta Sotah","tok-baeb4518be59","אוהל","אוהל","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 13:1"
"tosefta-sotah","Tosefta Sotah","tok-7151fefaa044","אויביהם","אויביהמ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 6:2"
"tosefta-sotah","Tosefta Sotah","tok-59c11d5b5c69","אויבך","אויבכ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 9:5"
"tosefta-sotah","Tosefta Sotah","tok-98f3ba6d7129","אוכלו","אוכלו","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 4:1"
"tosefta-sotah","Tosefta Sotah","tok-a75a2dcc1001","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 15:5"
"tosefta-sotah","Tosefta Sotah","tok-d6baf852fadc","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 15:5"
"tosefta-sotah","Tosefta Sotah","tok-fccf8260fd66","אוכלתן","אוכלתנ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 7:1"
"tosefta-sotah","Tosefta Sotah","tok-b4f0ba62deab","אומניך","אומניכ","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 4:1"
"tosefta-sotah","Tosefta Sotah","tok-b4ae0f386f46","אומצי","אומצי","Unresolved","","No lexical entry yet","true","1","Tosefta Sotah 14:1"
