"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tosefta-sukkah","Tosefta Sukkah","tok-0db5e65ca14f","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Tosefta Sukkah 3:4; Tosefta Sukkah 4:5"
"tosefta-sukkah","Tosefta Sukkah","tok-34e58439a8aa","א״ר","א״ר","Unresolved","","No lexical entry yet","true","2","Tosefta Sukkah 2:11; Tosefta Sukkah 3:7"
"tosefta-sukkah","Tosefta Sukkah","tok-efc92f83ab00","אבא","אבא","Unresolved","","No lexical entry yet","true","5","Tosefta Sukkah 3:2; Tosefta Sukkah 4:2; Tosefta Sukkah 4:9"
"tosefta-sukkah","Tosefta Sukkah","tok-46924b7a13d1","אבוקות","אבוקות","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:3"
"tosefta-sukkah","Tosefta Sukkah","tok-aa1de30dfbe3","אבלים","אבלימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:12"
"tosefta-sukkah","Tosefta Sukkah","tok-a89c9130b6f2","אגוד","אגוד","Unresolved","","No lexical entry yet","true","4","Tosefta Sukkah 2:11"
"tosefta-sukkah","Tosefta Sukkah","tok-7e3df3169944","אגוזים","אגוזימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 1:4"
"tosefta-sukkah","Tosefta Sukkah","tok-50a5ea6583aa","אדום","אדומ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:9"
"tosefta-sukkah","Tosefta Sukkah","tok-0827defdbe3c","אהלים","אהלימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 1:5"
"tosefta-sukkah","Tosefta Sukkah","tok-ac5cc242eba9","אוגדין","אוגדינ","Unresolved","","No lexical entry yet","true","3","Tosefta Sukkah 2:11"
"tosefta-sukkah","Tosefta Sukkah","tok-e316e4070c48","אוהב","אוהב","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:2"
"tosefta-sukkah","Tosefta Sukkah","tok-d1eb010c9416","אוכל","אוכל","Unresolved","","No lexical entry yet","true","5","Tosefta Sukkah 2:4; Tosefta Sukkah 2:5; Tosefta Sukkah 3:3"
"tosefta-sukkah","Tosefta Sukkah","tok-3b503cc16bab","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:2"
"tosefta-sukkah","Tosefta Sukkah","tok-857ce7c13274","אומרו","אומרו","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 3:6"
"tosefta-sukkah","Tosefta Sukkah","tok-856774a7e82e","אומרין","אומרינ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 3:2"
"tosefta-sukkah","Tosefta Sukkah","tok-659a9b570f0e","אוסרין","אוסרינ","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 1:4"
"tosefta-sukkah","Tosefta Sukkah","tok-38427aa2fdfd","אותי","אותי","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:2"
"tosefta-sukkah","Tosefta Sukkah","tok-9d184386199d","אזכיר","אזכיר","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:2"
"tosefta-sukkah","Tosefta Sukkah","tok-abef212269d8","איברי","איברי","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 3:5"
"tosefta-sukkah","Tosefta Sukkah","tok-7c1ef617e671","איזהו","איזהו","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:9"
"tosefta-sukkah","Tosefta Sukkah","tok-ce24c618957a","אילנות","אילנות","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:6"
"tosefta-sukkah","Tosefta Sukkah","tok-64db2e030222","איני","איני","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:4"
"tosefta-sukkah","Tosefta Sukkah","tok-2da751b5f5b3","אכסניא","אכסניא","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:4"
"tosefta-sukkah","Tosefta Sukkah","tok-993f6bf2c305","אלוה","אלוה","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 2:7"
"tosefta-sukkah","Tosefta Sukkah","tok-28fbf615f29d","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 3:2"
"tosefta-sukkah","Tosefta Sukkah","tok-e4e1ec7d6e84","אלכסנדריא","אלכסנדריא","Unresolved","","No lexical entry yet","true","1","Tosefta Sukkah 4:4"
"tosefta-sukkah","Tosefta Sukkah","tok-72f0e74f2306","אלעזר","אלעזר","Unresolved","","No lexical entry yet","true","2","Tosefta Sukkah 1:5; Tosefta Sukkah 2:4"
"tosefta-sukkah","Tosefta Sukkah","tok-e29e8e77e109","אלעי","אלעי","Unresolved","","No lexical entry yet","true","2","Tosefta Sukkah 2:1"
