"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-707923811c98","א׳","א׳","Unresolved","","No lexical entry yet","true","115","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:8:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:10:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:2:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:3:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:4:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-a149e334bd4b","א״א","א״א","Unresolved","","No lexical entry yet","true","24","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:13:5; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:15:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 5:1:3"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-4cf4073fdd59","א״י","א״י","Unresolved","","No lexical entry yet","true","6","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:2:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-e842114c25d8","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-a0233ff08bc0","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:15:2"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-919b06009d00","א״ע","א״ע","Unresolved","","No lexical entry yet","true","4","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:12:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-db9935947cc2","א״צ","א״צ","Unresolved","","No lexical entry yet","true","10","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:3:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:13:5; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 8:12:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-d74f0f06b205","א״ש","א״ש","Unresolved","","No lexical entry yet","true","31","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:8:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:10:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:2:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:3:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:4:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-3797474ee411","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","2","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 12:1:3"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-ef7db6bc0e39","אא״ל","אא״ל","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-24e0b648d459","אאותם","אאותמ","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 6:3:3"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-287fe036337c","אאע״ה","אאע״ה","Unresolved","","No lexical entry yet","true","3","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:2:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:12:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-5ee30835e75a","אבא׳","אבא׳","Unresolved","","No lexical entry yet","true","2","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:6:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-b7c9de317ced","אבאר","אבאר","Unresolved","","No lexical entry yet","true","45","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:8:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:3:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:2:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:2:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:6:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-d86fd4a38547","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:12:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-90c7a1d22eb7","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:12:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-b98a3abeaddc","אבוב","אבוב","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 3:3:2"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-db38d213cdfc","אבוה","אבוה","Unresolved","","No lexical entry yet","true","3","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 5:1:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:1:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 12:10:2"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-13bf9cb98d89","אבוה״ט","אבוה״ט","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 5:1:3"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-ac8505dea515","אבי","אבי","Unresolved","","No lexical entry yet","true","5","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:8:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-6ea626231bf2","אבי׳","אבי׳","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:4"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-50ab2eae3e47","אבידה","אבידה","Unresolved","","No lexical entry yet","true","4","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 7:12:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-02c1cf29e038","אביה","אביה","Unresolved","","No lexical entry yet","true","3","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:14:3; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 11:7:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-0c6355860f66","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","4","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:10:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1"
"tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations","tok-964f52598bad","אביו","אביו","Unresolved","","No lexical entry yet","true","15","Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:8:2; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 2:9:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:6:4; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:10:1; Tzafnat Pa'neach on Mishneh Torah, Foreign Worship and Customs of the Nations 4:13:4"
