"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-47e991348bc1","א׳","א׳","Unresolved","","No lexical entry yet","true","6","Tzafnat Pa'neach on Mishneh Torah, Sabbath 1:1:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 9:1:2; Tzafnat Pa'neach on Mishneh Torah, Sabbath 12:1:4; Tzafnat Pa'neach on Mishneh Torah, Sabbath 16:23:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 17:36:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-62941dffd124","א״ב","א״ב","Unresolved","","No lexical entry yet","true","5","Tzafnat Pa'neach on Mishneh Torah, Sabbath 2:21:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 5:4:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 19:20:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 28:17:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-5667275181ba","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 10:25:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-4725a6580d50","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 14:1:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-17a8dc4edc40","א״צ","א״צ","Unresolved","","No lexical entry yet","true","6","Tzafnat Pa'neach on Mishneh Torah, Sabbath 6:25:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 9:8:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 10:25:2; Tzafnat Pa'neach on Mishneh Torah, Sabbath 11:17:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 25:19:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-3c86d86b89b7","א״ש","א״ש","Unresolved","","No lexical entry yet","true","18","Tzafnat Pa'neach on Mishneh Torah, Sabbath 1:4:2; Tzafnat Pa'neach on Mishneh Torah, Sabbath 7:2:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 8:3:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 9:2:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 11:1:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-a343087fbfe5","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 1:11:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-73613033e50f","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 6:25:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-bb4df592d5c8","אאיסורא","אאיסורא","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 2:16:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-080e9c4f5cf8","אאנשי","אאנשי","Unresolved","","No lexical entry yet","true","2","Tzafnat Pa'neach on Mishneh Torah, Sabbath 30:3:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-ebd2c4748e26","אב׳","אב׳","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 2:13:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-4c147aba571e","אבאר","אבאר","Unresolved","","No lexical entry yet","true","2","Tzafnat Pa'neach on Mishneh Torah, Sabbath 5:5:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 9:1:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-668392af83f0","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 1:1:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-ba397492b927","אבדת","אבדת","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 10:25:2"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-2f8101b1b630","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Tzafnat Pa'neach on Mishneh Torah, Sabbath 14:18:1; Tzafnat Pa'neach on Mishneh Torah, Sabbath 16:12:1"
"tzafnat-paneach-on-mishneh-torah-sabbath","Tzafnat Pa'neach on Mishneh Torah, Sabbath","tok-3c76fe98e757","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Tzafnat Pa'neach on Mishneh Torah, Sabbath 23:17:1"
