"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"tzavaat-harivash","Tzava'at HaRivash","tok-823be8ad5b7f","א׳","א׳","Unresolved","","No lexical entry yet","true","8","Tzava'at HaRivash 58:2; Tzava'at HaRivash 74:1; Tzava'at HaRivash 91:1; Tzava'at HaRivash 127:1; Tzava'at HaRivash 134:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-b4bbb2c1c671","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Tzava'at HaRivash 29:2; Tzava'at HaRivash 111:2; Tzava'at HaRivash 112:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-a31916619add","א״ס","א״ס","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 90:8; Tzava'at HaRivash 137:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-748a426a5d09","א״ע","א״ע","Unresolved","","No lexical entry yet","true","31","Tzava'at HaRivash 1:2; Tzava'at HaRivash 15:3; Tzava'at HaRivash 32:2; Tzava'at HaRivash 33:1; Tzava'at HaRivash 43:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-a94d67b0dc09","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 108:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-2204a68b4708","אאנוס","אאנוס","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 86:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-0c447eca4f1b","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 62:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-80a41cdde3ec","אבטל","אבטל","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 44:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-818f8374862d","אביו","אביו","Unresolved","","No lexical entry yet","true","6","Tzava'at HaRivash 132:7; Tzava'at HaRivash 138:2; Tzava'at HaRivash 138:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-9438f6df31be","אביך","אביכ","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 90:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-debfb846c034","אברם","אברמ","Unresolved","","No lexical entry yet","true","3","Tzava'at HaRivash 64:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-14bea5b695b9","אדבר","אדבר","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 90:11"
"tzavaat-harivash","Tzava'at HaRivash","tok-f769ccc7ecea","אדם""","אדמ""","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 122:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-388339accb83","אדנ״י","אדנ״י","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 90:15"
"tzavaat-harivash","Tzava'at HaRivash","tok-0a83d4ed9791","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 62:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-c07bd2aa8b97","אהב׳","אהב׳","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 87:6"
"tzavaat-harivash","Tzava'at HaRivash","tok-ecef784a9432","אהבתך","אהבתכ","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 138:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-03323eae11f5","אהי׳","אהי׳","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 43:10; Tzava'at HaRivash 140:4"
"tzavaat-harivash","Tzava'at HaRivash","tok-e97ce612c820","אוהב","אוהב","Unresolved","","No lexical entry yet","true","4","Tzava'at HaRivash 87:8; Tzava'at HaRivash 120:2; Tzava'at HaRivash 127:1; Tzava'at HaRivash 139:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-ad6eed06f4a9","אויס","אויס","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 103:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-f9a758faa877","אוכל","אוכל","Unresolved","","No lexical entry yet","true","5","Tzava'at HaRivash 87:9; Tzava'at HaRivash 109:1; Tzava'at HaRivash 109:2; Tzava'at HaRivash 140:4"
"tzavaat-harivash","Tzava'at HaRivash","tok-8a718aa362e7","אולי","אולי","Unresolved","","No lexical entry yet","true","5","Tzava'at HaRivash 17:3; Tzava'at HaRivash 102:1; Tzava'at HaRivash 132:4; Tzava'at HaRivash 140:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-4221b0f1c381","אולת","אולת","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 98:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-286f6eae02f0","אונס","אונס","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 26:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-76704c48065b","אופניו","אופניו","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 138:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-57a7b05d4301","אופנים","אופנימ","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 143:1; Tzava'at HaRivash 143:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-411f6cba909e","אותי","אותי","Unresolved","","No lexical entry yet","true","3","Tzava'at HaRivash 43:7; Tzava'at HaRivash 62:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-9d1461b1fa92","אזי","אזי","Unresolved","","No lexical entry yet","true","14","Tzava'at HaRivash 16:3; Tzava'at HaRivash 17:3; Tzava'at HaRivash 62:1; Tzava'at HaRivash 71:1; Tzava'at HaRivash 87:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-b44344c6fdaf","אזכה","אזכה","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 8:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-13da72771930","אזלא","אזלא","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 89:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-91b04986b7b1","אחזה","אחזה","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 90:12"
"tzavaat-harivash","Tzava'at HaRivash","tok-f06372688e60","אחפוץ","אחפוצ","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 137:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-3b35201ed375","אחרי׳","אחרי׳","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 101:6"
"tzavaat-harivash","Tzava'at HaRivash","tok-b009188e56ef","אחרת","אחרת","Unresolved","","No lexical entry yet","true","3","Tzava'at HaRivash 25:1; Tzava'at HaRivash 30:1; Tzava'at HaRivash 71:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-3f6160b5fb0c","איכא","איכא","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 131:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-e602cd66285d","אילי","אילי","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 138:5"
"tzavaat-harivash","Tzava'at HaRivash","tok-ba60b3a7e1c3","אינון","אינונ","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 84:4"
"tzavaat-harivash","Tzava'at HaRivash","tok-a5756d69f225","איני","איני","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 44:2"
"tzavaat-harivash","Tzava'at HaRivash","tok-6826d57c7ac8","אינש","אינש","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 56:1"
"tzavaat-harivash","Tzava'at HaRivash","tok-09125abc6dd2","אית","אית","Unresolved","","No lexical entry yet","true","1","Tzava'at HaRivash 75:3"
"tzavaat-harivash","Tzava'at HaRivash","tok-e2041a8dd97a","איתא","איתא","Unresolved","","No lexical entry yet","true","2","Tzava'at HaRivash 47:1; Tzava'at HaRivash 84:1"
