"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"yismach-moshe","Yismach Moshe","tok-24c8f05a948c","א׳","א׳","Unresolved","","No lexical entry yet","true","803","Yismach Moshe, Introduction:4; Yismach Moshe, Introduction:7; Yismach Moshe, Introduction:10; Yismach Moshe, Bereshit 1:1; Yismach Moshe, Bereshit 1:2"
"yismach-moshe","Yismach Moshe","tok-499313c058c1","א׳ד׳ר׳","א׳ד׳ר׳","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Introduction:9"
"yismach-moshe","Yismach Moshe","tok-25c1cbe7404c","א׳ו׳ה׳","א׳ו׳ה׳","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Vayera 2:1"
"yismach-moshe","Yismach Moshe","tok-df2326bfe432","א׳ל׳י׳ו׳","א׳ל׳י׳ו׳","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Vayera 2:1"
"yismach-moshe","Yismach Moshe","tok-c9b62e721dbb","א׳מ׳ת","א׳מ׳ת","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Introduction:2"
"yismach-moshe","Yismach Moshe","tok-6d7b92378a87","א׳ר׳ג׳מ׳ן","א׳ר׳ג׳מ׳נ","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Kedoshim 12:1"
"yismach-moshe","Yismach Moshe","tok-b42a4bdd0cf7","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Vaetchanan 24:19"
"yismach-moshe","Yismach Moshe","tok-4205f4881684","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Vayera 36:1"
"yismach-moshe","Yismach Moshe","tok-69fed25becbc","א״ה","א״ה","Unresolved","","No lexical entry yet","true","3","Yismach Moshe, Chayei Sara 3:1; Yismach Moshe, Toldot 30:2; Yismach Moshe, Vayetzei 10:2"
"yismach-moshe","Yismach Moshe","tok-72537e4331bc","א״ז","א״ז","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Lech Lecha 3:1; Yismach Moshe, Vayechi 18:1"
"yismach-moshe","Yismach Moshe","tok-3a177599ebc6","א״ל","א״ל","Unresolved","","No lexical entry yet","true","102","Yismach Moshe, Introduction:3; Yismach Moshe, Introduction:6; Yismach Moshe, Bereshit 9:1; Yismach Moshe, Bereshit 10:8; Yismach Moshe, Bereshit 19:2"
"yismach-moshe","Yismach Moshe","tok-e00ae5960b07","א״ר","א״ר","Unresolved","","No lexical entry yet","true","42","Yismach Moshe, Bereshit 5:7; Yismach Moshe, Bereshit 18:1; Yismach Moshe, Bereshit 19:1; Yismach Moshe, Lech Lecha 25:1; Yismach Moshe, Vayera 19:1"
"yismach-moshe","Yismach Moshe","tok-e61feabcffb9","א״ש","א״ש","Unresolved","","No lexical entry yet","true","18","Yismach Moshe, Chayei Sara 2:1; Yismach Moshe, Chayei Sara 8:1; Yismach Moshe, Vayetzei 10:1; Yismach Moshe, Vayishlach 24:1; Yismach Moshe, Vayeshev 23:1"
"yismach-moshe","Yismach Moshe","tok-9f02cc32f06d","א״ת","א״ת","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Bechukotai 1:4; Yismach Moshe, Vaetchanan 27:4"
"yismach-moshe","Yismach Moshe","tok-5c033889ee77","אא","אא","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Vaetchanan 24:3"
"yismach-moshe","Yismach Moshe","tok-a543bbbae44e","אא״ז","אא״ז","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Behar 7:5; Yismach Moshe, Beha'alotcha 8:2"
"yismach-moshe","Yismach Moshe","tok-fb5327ccdaa5","אאופתא","אאופתא","Unresolved","","No lexical entry yet","true","8","Yismach Moshe, Vayera 36:1"
"yismach-moshe","Yismach Moshe","tok-412689e1560e","אאזמ״ו","אאזמ״ו","Unresolved","","No lexical entry yet","true","3","Yismach Moshe, Vayetzei 10:2; Yismach Moshe, Mishpatim 19:1; Yismach Moshe, Tetzaveh 4:3"
"yismach-moshe","Yismach Moshe","tok-b37ea01b680d","אאיסור","אאיסור","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Shemot 29:3"
"yismach-moshe","Yismach Moshe","tok-85beaa9fb826","אאל","אאל","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Vayetzei 7:1; Yismach Moshe, Bechukotai 1:1"
"yismach-moshe","Yismach Moshe","tok-8dc4e70c30b5","אאלפך","אאלפכ","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Nitzavim 4:7"
"yismach-moshe","Yismach Moshe","tok-5994885dffff","אב״א","אב״א","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Shemot 23:3"
"yismach-moshe","Yismach Moshe","tok-3ffacf6d3273","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Ha'Azinu 7:4"
"yismach-moshe","Yismach Moshe","tok-0ab8b95606f9","אב״ו","אב״ו","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Ha'Azinu 11:2"
"yismach-moshe","Yismach Moshe","tok-87bc8e198a07","אבא","אבא","Unresolved","","No lexical entry yet","true","62","Yismach Moshe, Bereshit 26:1; Yismach Moshe, Noach 18:1; Yismach Moshe, Vayera 12:1; Yismach Moshe, Vayera 22:1; Yismach Moshe, Vayera 24:1"
"yismach-moshe","Yismach Moshe","tok-7002d6ffe8c5","אבאר","אבאר","Unresolved","","No lexical entry yet","true","7","Yismach Moshe, Beshalach 4:3; Yismach Moshe, Tzav 8:1; Yismach Moshe, Emor 12:2; Yismach Moshe, Bechukotai 2:1; Yismach Moshe, Nasso 2:1"
"yismach-moshe","Yismach Moshe","tok-ae08c3bb21e7","אבב","אבב","Unresolved","","No lexical entry yet","true","5","Yismach Moshe, Noach 9:1; Yismach Moshe, Vayishlach 6:1; Yismach Moshe, Vaera 18:2; Yismach Moshe, Beshalach 12:3"
"yismach-moshe","Yismach Moshe","tok-1e14547e7d99","אבג״ד","אבג״ד","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Ki Teitzei 18:8"
"yismach-moshe","Yismach Moshe","tok-885aba2de745","אבגד","אבגד","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Ki Teitzei 18:8"
"yismach-moshe","Yismach Moshe","tok-6c76b9de9124","אבד","אבד","Unresolved","","No lexical entry yet","true","21","Yismach Moshe, Vayera 21:1; Yismach Moshe, Toldot 36:4; Yismach Moshe, Vayeshev 21:1; Yismach Moshe, Mishpatim 11:1; Yismach Moshe, Korach 2:1"
"yismach-moshe","Yismach Moshe","tok-f1bd425021aa","אבד״ק","אבד״ק","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Shoftim 1:4"
"yismach-moshe","Yismach Moshe","tok-e7a4deb81219","אבדו","אבדו","Unresolved","","No lexical entry yet","true","8","Yismach Moshe, Miketz 12:2; Yismach Moshe, Sh'lach 4:1; Yismach Moshe, Korach 17:1; Yismach Moshe, Korach 17:3; Yismach Moshe, Eikev 1:7"
"yismach-moshe","Yismach Moshe","tok-041c13f30be2","אבדון","אבדונ","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Vayera 28:1; Yismach Moshe, Nasso 5:1"
"yismach-moshe","Yismach Moshe","tok-0025a0f6143a","אבדימי","אבדימי","Unresolved","","No lexical entry yet","true","2","Yismach Moshe, Emor 1:3"
"yismach-moshe","Yismach Moshe","tok-047cff568bf0","אבדק״ק","אבדק״ק","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Bereshit 26:1"
"yismach-moshe","Yismach Moshe","tok-a54f5ce946dc","אבדת","אבדת","Unresolved","","No lexical entry yet","true","1","Yismach Moshe, Ha'Azinu 1:12"
"yismach-moshe","Yismach Moshe","tok-68c4b39edda0","אבדתי","אבדתי","Unresolved","","No lexical entry yet","true","3","Yismach Moshe, Vayigash 6:4; Yismach Moshe, Emor 15:5"
"yismach-moshe","Yismach Moshe","tok-0330e34b13c9","אבה","אבה","Unresolved","","No lexical entry yet","true","9","Yismach Moshe, Bo 1:12; Yismach Moshe, Bo 1:13; Yismach Moshe, Beshalach 35:2; Yismach Moshe, Ki Tisa 3:4; Yismach Moshe, Bamidbar 2:6"
