"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-5afc242fff0f","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:1:1; Yitzchak Yeranen on Mishneh Torah, Festival Offering 3:7:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-a7a5a66201b4","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 3:7:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-f0641ceafd2d","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:5:2"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-81ea9791d789","אביי","אביי","Unresolved","","No lexical entry yet","true","4","Yitzchak Yeranen on Mishneh Torah, Festival Offering 1:1:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-cdc2089a7c9f","אגברא","אגברא","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:2:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-fd4d8b183614","אדבר","אדבר","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 1:1:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-fff55e06a4d5","או״ח","או״ח","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:5:2"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-aa126c5bdca7","אולי","אולי","Unresolved","","No lexical entry yet","true","2","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:3:1; Yitzchak Yeranen on Mishneh Torah, Festival Offering 3:2:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-94c76a30d3fc","אושעיא","אושעיא","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 1:4:1"
"yitzchak-yeranen-on-mishneh-torah-festival-offering","Yitzchak Yeranen on Mishneh Torah, Festival Offering","tok-7d3090b7d595","אותך","אותכ","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Festival Offering 2:1:2"
