"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-75e95b5e403b","א׳","א׳","Unresolved","","No lexical entry yet","true","9","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 2:4:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 3:1:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:7:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 6:4:2; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 7:5:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-83a73cbdd8b0","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 2:15:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:7:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-60fa030a9421","א״י","א״י","Unresolved","","No lexical entry yet","true","3","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 11:11:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-6892c00a4cb7","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 4:19:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-2b25d43c19f4","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 2:15:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-1429cf7cd925","א״צ","א״צ","Unresolved","","No lexical entry yet","true","6","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 4:4:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 4:17:2; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:1:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:2:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 10:6:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-d1ff5dec423c","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 4:17:2"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-9df4024c1953","אבוא","אבוא","Unresolved","","No lexical entry yet","true","1","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 11:11:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-fa11fff00ebb","אבוה","אבוה","Unresolved","","No lexical entry yet","true","2","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:1:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:2:1"
"yitzchak-yeranen-on-mishneh-torah-prayer-and-the-priestly-blessing","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing","tok-7f10a9d2c1f1","אבוהב","אבוהב","Unresolved","","No lexical entry yet","true","2","Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 5:7:1; Yitzchak Yeranen on Mishneh Torah, Prayer and the Priestly Blessing 7:5:1"
