"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"zechariah","Zechariah","tok-a13302144527","אֲבֽוֹתֵיכֶ֖ם","אבותיכמ","Unresolved","","No lexical entry yet","true","1","Zechariah 1:5"
"zechariah","Zechariah","tok-13d6ecc08ee8","אֲבִיאֵ֔ם","אביאמ","Unresolved","","No lexical entry yet","true","1","Zechariah 10:10"
"zechariah","Zechariah","tok-7cf1003a622f","אָבִ֧יהוּ","אביהו","Unresolved","","No lexical entry yet","true","1","Zechariah 13:3"
"zechariah","Zechariah","tok-18f7ff6b318e","אָבִ֨יו","אביו","Unresolved","","No lexical entry yet","true","1","Zechariah 13:3"
"zechariah","Zechariah","tok-963e0d969070","אַבְנֵי־נֵ֔זֶר","אבני־נזר","Unresolved","","No lexical entry yet","true","1","Zechariah 9:16"
"zechariah","Zechariah","tok-c49a350b2d1a","אַבְנֵי־קֶ֔לַע","אבני־קלע","Unresolved","","No lexical entry yet","true","1","Zechariah 9:15"
"zechariah","Zechariah","tok-f908fda40f47","אֲבַקֵּ֗שׁ","אבקש","Unresolved","","No lexical entry yet","true","1","Zechariah 12:9"
"zechariah","Zechariah","tok-b76e6170bd67","אֲבֹתֵיכֶ֑ם","אבתיכמ","Unresolved","","No lexical entry yet","true","1","Zechariah 1:6"
"zechariah","Zechariah","tok-95f7bb440f76","אֲבֹֽתֵיכֶם֙","אבתיכמ","Unresolved","","No lexical entry yet","true","1","Zechariah 8:14"
"zechariah","Zechariah","tok-539ba9912f2a","אֲדֻמִּ֔ים","אדמימ","Unresolved","","No lexical entry yet","true","1","Zechariah 1:8"
"zechariah","Zechariah","tok-974a620c5746","אֲדֻמִּ֑ים","אדמימ","Unresolved","","No lexical entry yet","true","1","Zechariah 6:2"
"zechariah","Zechariah","tok-992c3ca05436","אֲדֹנִ֑י","אדני","Unresolved","","No lexical entry yet","true","1","Zechariah 1:9"
"zechariah","Zechariah","tok-85dfa4d07c59","אֲדֹנָי֙","אדני","Unresolved","","No lexical entry yet","true","1","Zechariah 9:4"
"zechariah","Zechariah","tok-55bcd3c11932","אֲדֹנִֽי׃","אדני׃","Unresolved","","No lexical entry yet","true","4","Zechariah 4:4; Zechariah 4:5; Zechariah 4:13; Zechariah 6:4"
"zechariah","Zechariah","tok-9d8ee84253b2","אֶ֣דֶר","אדר","Unresolved","","No lexical entry yet","true","1","Zechariah 11:13"
"zechariah","Zechariah","tok-b943b881ddf0","אַדִּרִ֖ים","אדרימ","Unresolved","","No lexical entry yet","true","1","Zechariah 11:2"
"zechariah","Zechariah","tok-3ad55954fa24","אַדֶּ֥רֶת","אדרת","Unresolved","","No lexical entry yet","true","1","Zechariah 13:4"
"zechariah","Zechariah","tok-5a74eb0112c6","אַדַּרְתָּ֑ם","אדרתמ","Unresolved","","No lexical entry yet","true","1","Zechariah 11:3"
"zechariah","Zechariah","tok-f06a9d694ea4","אֱהָֽבוּ׃","אהבו׃","Unresolved","","No lexical entry yet","true","1","Zechariah 8:19"
"zechariah","Zechariah","tok-ee8baf11934a","אֶֽהְיֶה־לָּהּ֙","אהיה־לה","Unresolved","","No lexical entry yet","true","1","Zechariah 2:9"
"zechariah","Zechariah","tok-47c5ac768a06","א֖וּד","אוד","Unresolved","","No lexical entry yet","true","1","Zechariah 3:2"
"zechariah","Zechariah","tok-2139eb3bf29e","אֱוִלִֽי׃","אולי׃","Unresolved","","No lexical entry yet","true","1","Zechariah 11:15"
"zechariah","Zechariah","tok-674ce8beb567","אוֹשִׁ֣יעַ","אושיע","Unresolved","","No lexical entry yet","true","1","Zechariah 8:13"
"zechariah","Zechariah","tok-a31493a75de5","אוֹשִׁ֔יעַ","אושיע","Unresolved","","No lexical entry yet","true","1","Zechariah 10:6"
"zechariah","Zechariah","tok-00c797e084b3","אֶחָֽד׃","אחד׃","Unresolved","","No lexical entry yet","true","2","Zechariah 3:9; Zechariah 14:9"
