clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אֲבוֹתָ֖ם,אבותמ,1,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֶבְי֑וֹן,אביונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְיוֹנִ֑ים,אביונימ,1,95,60,claim-02667ffaf814ffdd,destitute | beggar | needy | poor (man).,OpenScriptures morphHB,H34,CC BY 4.0,safe_claims_min60,
אַבִּֽיט׃,אביט׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱד֔וֹם,אדומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱדוֹם֙,אדומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמָתֽוֹ׃,אדמתו׃,2,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמָתָם֙,אדמתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֥י,אדני,4,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֤י,אדני,4,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֣י,אדני,10,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֔י,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֨י,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֛י,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָ֗י,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲהַבְתֶּם֙,אהבתמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶהֱרֹ֑ג,אהרג,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶהֱר֥וֹג,אהרוג,1,0,60,,,,,,unresolved,No lexical entry yet.
א֣וֹ,או,1,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוּלַ֗י,אולי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֽוֹר׃,אור׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹרִידֵֽם׃,אורידמ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָ֖ד,אחד,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָחִיו֙,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחִֽים׃,אחימ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחַפֵּ֖שׂ,אחפש,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחַ֖ר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֵיהֶֽם׃,אחריהמ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָ֔ת,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אַחַ֖ת,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אַחַת֙,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אַחַ֛ת,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אֹֽיְבֵיהֶ֔ם,איביהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵ֣ין,אינ,2,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵ֥ין,אינ,1,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵֽין־זֹ֛את,אינ־זאת,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵיפָה֙,איפה,1,0,60,,,,,,unresolved,No lexical entry yet.
אִישׁ֙,איש,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵיתָֽן׃,איתנ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אִכָּר֙,אכר,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־אֵ֔בֶל,אל־אבל,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־אֲמַצְיָ֔ה,אל־אמציה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־אֶ֣רֶץ,אל־ארצ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־הַֽנַּעֲרָ֔ה,אל־הנערה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־י֥וֹדְעֵי,אל־יודעי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־יָרׇבְעָ֥ם,אל־ירבעמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־עֲבָדָ֖יו,אל־עבדיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־עִ֥יר,אל־עיר,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־עָמ֔וֹס,אל־עמוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־עַמִּ֥י,אל־עמי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶל־עַמִּ֣י,אל־עמי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱלֹהֵ֥י,אלהי,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֱלֹהֵ֤י,אלהי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֱלֹהֵ֣י,אלהי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֱלֹהֵֽי־צְבָא֖וֹת,אלהי־צבאות,3,0,60,,,,,,unresolved,No lexical entry yet.
אֱלֹהֵֽי־צְבָא֛וֹת,אלהי־צבאות,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱלֹהֵיהֶֽם׃,אלהיהמ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱלֹהֶ֙יךָ֙,אלהיכ,1,95,60,claim-fc47faf252b48310,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures morphHB,H430,CC BY 4.0,safe_claims_min60,
אֱלֹהֶֽיךָ׃,אלהיכ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱלֹ֣הֵיכֶ֔ם,אלהיכמ,1,95,60,claim-fc47faf252b48310,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures morphHB,H430,CC BY 4.0,safe_claims_min60,
אֱלֹהִים֙,אלהימ,1,93,60,claim-32bad03679e3d241,"God in Judaism, The concept of God in the Jewish faith | God in Judaism",Wikidata Lexeme,L63944,CC0,safe_claims_min60,
אֵלַ֗י,אלי,2,93,60,claim-ff8dea95235c2afd,"deity, natural or supernatural god or goddess, divine being | deity",Wikidata Lexeme,L63934,CC0,safe_claims_min60,
אֵלַי֙,אלי,1,93,60,claim-ff8dea95235c2afd,"deity, natural or supernatural god or goddess, divine being | deity",Wikidata Lexeme,L63934,CC0,safe_claims_min60,
אֶ֖לֶף,אלפ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִם־אֶשְׁכַּ֥ח,אמ־אשכח,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־גָּלָ֣ה,אמ־גלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־יִוָּ֨תְר֜וּ,אמ־יותרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אִֽם־יַחֲר֖וֹשׁ,אמ־יחרוש,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־יַחְתְּר֣וּ,אמ־יחתרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־יִתָּקַ֤ע,אמ־יתקע,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־כִּלָּה֙,אמ־כלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־לָכָֽד׃,אמ־לכד׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם־לִשְׁמֹ֔עַ,אמ־לשמע,1,0,60,,,,,,unresolved,No lexical entry yet.
