clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,8,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲאַשְּׁרֶנּוֹ,אאשרנו,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָב,אב,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֹבֵד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבַדְתָּ,אבדת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבה,אבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותינו,אבותינו,1,95,60,claim-58154ed166e9bedd,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures HebrewLexicon,H1,CC BY 4.0,safe_claims_min60,
אָבַח,אבח,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְחָרֶנּוּ,אבחרנו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִי,אבי,2,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו,אביו,4,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְיוֹן,אביונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,3,0,60,,,,,,unresolved,No lexical entry yet.
אַבִּיעָה,אביעה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביריו,אביריו,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבִּירִים,אבירימ,1,0,60,,,,,,unresolved,No lexical entry yet.
