clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,78,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,5,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,2,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,25,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,11,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,9,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,43,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,4,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אבודימי,אבודימי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבודמי,אבודמי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוהו,אבוהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אבוי,אבוי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,8,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותיו,אבותיו,1,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבין,אבינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבינא,אבינא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,83,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדם,אדמ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהדדי,אהדדי,1,0,60,,,,,,unresolved,No lexical entry yet.
או,או,42,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוכל,אוכל,10,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,10,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,25,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרו,אומרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אומרים,אומרימ,3,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרת,אומרת,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוסר,אוסר,3,0,60,,,,,,unresolved,No lexical entry yet.
