clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,13,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבאר,אבאר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,3,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבות־העולם,אבות־העולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
"אבותם""","אבותמ""",1,95,60,claim-ebe19e41bd76a48e | claim-3ca6aa3292ae353f,father | chief | in a literal and immediate | figurative and remote application | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבל,אבל,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבר,אבר,2,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אבריו,אבריו,1,90,60,claim-4e6105559fd81bf5 | claim-4575c36e621b550d | claim-dc519cfc9716cf95 | claim-b1b4f460d891c843,"his organ | its organ | organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63650 | H82 | H83,CC0 | CC BY 4.0,safe_claims_min60,
אברך,אברכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדונינו,אדונינו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדיר,אדיר,2,93,60,claim-58c9c3bb9278ca8b,huge,Wikidata Lexeme,L204378,CC0,safe_claims_min60,
אדם,אדמ,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
"אדם""","אדמ""",1,0,60,,,,,,unresolved,No lexical entry yet.
אדמה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדָמָה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדרבה,אדרבה,2,0,60,,,,,,unresolved,No lexical entry yet.
אדרוש,אדרוש,2,0,60,,,,,,unresolved,No lexical entry yet.
או,או,6,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוי,אוי,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אויב,אויב,2,93,60,claim-f29a51b5909512ac,"enemy, individual or a group that is verified as forcefully adverse or threatening | enemy",Wikidata Lexeme,L63756,CC0,safe_claims_min60,
"אויב""","אויב""",1,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אולת,אולת,1,0,60,,,,,,unresolved,No lexical entry yet.
אומללים,אומללימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
