clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,73,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,92,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,2,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,273,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,16,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,5,0,60,,,,,,unresolved,No lexical entry yet.
א״ע,א״ע,2,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,34,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,3,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,30,0,60,,,,,,unresolved,No lexical entry yet.
אאחריות,אאחריות,1,0,60,,,,,,unresolved,No lexical entry yet.
אב״ד,אב״ד,2,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,56,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,12,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדו,אבדו,3,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,17,0,60,,,,,,unresolved,No lexical entry yet.
אבוהון,אבוהונ,3,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אביא,אביא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבידה,אבידה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,34,0,60,,,,,,unresolved,No lexical entry yet.
אביהן,אביהנ,4,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,9,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,14,0,60,,,,,,unresolved,No lexical entry yet.
אבין,אבינ,4,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבל,אבל,1063,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבנים,אבנימ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבעיא,אבעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבק,אבק,64,0,60,,,,,,unresolved,No lexical entry yet.
אברייתא,אברייתא,3,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,23,0,60,,,,,,unresolved,No lexical entry yet.
אגבה,אגבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגופיה,אגופיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגר,אגר,14,0,60,,,,,,unresolved,No lexical entry yet.
אגרא,אגרא,3,0,60,,,,,,unresolved,No lexical entry yet.
אגרך,אגרכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדון,אדונ,3,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוק,אדוק,3,0,60,,,,,,unresolved,No lexical entry yet.
אדוקים,אדוקימ,3,0,60,,,,,,unresolved,No lexical entry yet.
אדוקין,אדוקינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדחייא,אדחייא,2,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,89,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמו״ר,אדמו״ר,22,0,60,,,,,,unresolved,No lexical entry yet.
אדעתא,אדעתא,14,0,60,,,,,,unresolved,No lexical entry yet.
אדעתיה,אדעתיה,4,0,60,,,,,,unresolved,No lexical entry yet.
אדר״נ,אדר״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרב,אדרב,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבינא,אדרבינא,9,0,60,,,,,,unresolved,No lexical entry yet.
אדרכתא,אדרכתא,2,0,60,,,,,,unresolved,No lexical entry yet.
אה״נ,אה״נ,3,0,60,,,,,,unresolved,No lexical entry yet.
אה״ע,אה״ע,3,0,60,,,,,,unresolved,No lexical entry yet.
אהא,אהא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהבת,אהבת,1,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אהדדי,אהדדי,1,0,60,,,,,,unresolved,No lexical entry yet.
אהדורו,אהדורו,1,0,60,,,,,,unresolved,No lexical entry yet.
אהדורי,אהדורי,1,0,60,,,,,,unresolved,No lexical entry yet.
אההוא,אההוא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהלכתא,אהלכתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהני,אהני,2,0,60,,,,,,unresolved,No lexical entry yet.
אהנית,אהנית,1,0,60,,,,,,unresolved,No lexical entry yet.
או,או,372,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אודות,אודות,1,0,60,,,,,,unresolved,No lexical entry yet.
אודיתא,אודיתא,3,0,60,,,,,,unresolved,No lexical entry yet.
אוזיל,אוזיל,1,0,60,,,,,,unresolved,No lexical entry yet.
אוזן,אוזנ,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוזפיה,אוזפיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אוחזין,אוחזינ,6,0,60,,,,,,unresolved,No lexical entry yet.
אוכל,אוכל,25,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלת,אוכלת,3,0,60,,,,,,unresolved,No lexical entry yet.
אולי,אולי,6,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אומד,אומד,10,0,60,,,,,,unresolved,No lexical entry yet.
אומדין,אומדינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומדנא,אומדנא,9,0,60,,,,,,unresolved,No lexical entry yet.
אומן,אומנ,9,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומנות,אומנות,1,0,60,,,,,,unresolved,No lexical entry yet.
אומנתו,אומנתו,2,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,94,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,62,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרין,אומרינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אומרת,אומרת,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אונאה,אונאה,1,0,60,,,,,,unresolved,No lexical entry yet.
אונס,אונס,15,0,60,,,,,,unresolved,No lexical entry yet.
אונסין,אונסינ,13,0,60,,,,,,unresolved,No lexical entry yet.
אוסיף,אוסיפ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוסר,אוסר,6,0,60,,,,,,unresolved,No lexical entry yet.
אופן,אופנ,16,93,60,claim-29e2fcfb64f78b5d,round frame used in transportation; wheel,Wikidata Lexeme,L63792,CC0,safe_claims_min60,
אופנים,אופנימ,6,0,60,,,,,,unresolved,No lexical entry yet.
אוקים,אוקימ,2,0,60,,,,,,unresolved,No lexical entry yet.
אוקימנא,אוקימנא,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקימתא,אוקימתא,7,0,60,,,,,,unresolved,No lexical entry yet.
אוקמוה,אוקמוה,2,0,60,,,,,,unresolved,No lexical entry yet.
אוקמי,אוקמי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקמינן,אוקמיננ,1,0,60,,,,,,unresolved,No lexical entry yet.
אורועי,אורועי,1,0,60,,,,,,unresolved,No lexical entry yet.
אושא,אושא,9,0,60,,,,,,unresolved,No lexical entry yet.
אושעיא,אושעיא,2,0,60,,,,,,unresolved,No lexical entry yet.
אות,אות,10,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותה,אותה,62,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,81,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותיות,אותיות,5,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותך,אותכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אותם,אותמ,49,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,25,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,32,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזהר,אזהר,2,0,60,,,,,,unresolved,No lexical entry yet.
אזהרה,אזהרה,2,0,60,,,,,,unresolved,No lexical entry yet.
אזיל,אזיל,2,0,60,,,,,,unresolved,No lexical entry yet.
אזכור,אזכור,1,0,60,,,,,,unresolved,No lexical entry yet.
אזל,אזל,4,0,60,,,,,,unresolved,No lexical entry yet.
אח״כ,אח״כ,97,99,60,claim-77811186ebaad6ad,afterward | after that,Project-authored abbreviation table,project-abbreviation:achar-kach,project-authored / CC0,safe_claims_min60,
אחאי,אחאי,22,0,60,,,,,,unresolved,No lexical entry yet.
אחביתא,אחביתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אחבריה,אחבריה,4,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,135,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחותו,אחותו,4,0,60,,,,,,unresolved,No lexical entry yet.
אחז,אחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אחזיקי,אחזיקי,2,0,60,,,,,,unresolved,No lexical entry yet.
אחזיר,אחזיר,1,0,60,,,,,,unresolved,No lexical entry yet.
אחזירם,אחזירמ,3,0,60,,,,,,unresolved,No lexical entry yet.
אחזקה,אחזקה,2,0,60,,,,,,unresolved,No lexical entry yet.
אחזקתו,אחזקתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחי,אחי,3,0,60,,,,,,unresolved,No lexical entry yet.
אחיו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיך,אחיכ,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחיל,אחיל,1,0,60,,,,,,unresolved,No lexical entry yet.
אחים,אחימ,2,93,60,claim-1874d887f9a02d6b,"brother, male sibling | brother | sibling",Wikidata Lexeme,L63839,CC0,safe_claims_min60,
אחין,אחינ,13,0,60,,,,,,unresolved,No lexical entry yet.
אחמרא,אחמרא,1,0,60,,,,,,unresolved,No lexical entry yet.
אחר,אחר,241,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרון,אחרונ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אחרונים,אחרונימ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אחרות,אחרות,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרי,אחרי,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריות,אחריות,47,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריותו,אחריותו,4,0,60,,,,,,unresolved,No lexical entry yet.
אחרים,אחרימ,68,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרינא,אחרינא,4,0,60,,,,,,unresolved,No lexical entry yet.
אחריני,אחריני,11,0,60,,,,,,unresolved,No lexical entry yet.
אחריתא,אחריתא,2,0,60,,,,,,unresolved,No lexical entry yet.
אחרת,אחרת,17,0,60,,,,,,unresolved,No lexical entry yet.
אחשביה,אחשביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,17,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אטו,אטו,6,0,60,,,,,,unresolved,No lexical entry yet.
אטרוחי,אטרוחי,1,0,60,,,,,,unresolved,No lexical entry yet.
אי,אי,102,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איבעיא,איבעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
איברא,איברא,44,0,60,,,,,,unresolved,No lexical entry yet.
איגלגל,איגלגל,2,0,60,,,,,,unresolved,No lexical entry yet.
אידך,אידכ,4,0,60,,,,,,unresolved,No lexical entry yet.
איהו,איהו,10,0,60,,,,,,unresolved,No lexical entry yet.
איזה,איזה,18,0,60,,,,,,unresolved,No lexical entry yet.
איזהו,איזהו,6,0,60,,,,,,unresolved,No lexical entry yet.
איחר,איחר,1,0,60,,,,,,unresolved,No lexical entry yet.
אייקר,אייקר,1,0,60,,,,,,unresolved,No lexical entry yet.
איירי,איירי,10,0,60,,,,,,unresolved,No lexical entry yet.
אייתי,אייתי,5,0,60,,,,,,unresolved,No lexical entry yet.
איך,איכ,36,95,60,claim-29b4cbf4ecdf4a64,how? | how! | also where | how | what.,OpenScriptures HebrewLexicon,H349,CC BY 4.0,safe_claims_min60,
איכא,איכא,53,0,60,,,,,,unresolved,No lexical entry yet.
איכפת,איכפת,13,0,60,,,,,,unresolved,No lexical entry yet.
איל,איל,1,0,60,,,,,,unresolved,No lexical entry yet.
אילו,אילו,2,0,60,,,,,,unresolved,No lexical entry yet.
אילולי,אילולי,4,0,60,,,,,,unresolved,No lexical entry yet.
אילימא,אילימא,1,0,60,,,,,,unresolved,No lexical entry yet.
אילנות,אילנות,5,0,60,,,,,,unresolved,No lexical entry yet.
אימור,אימור,2,0,60,,,,,,unresolved,No lexical entry yet.
אימר,אימר,2,0,60,,,,,,unresolved,No lexical entry yet.
אימת,אימת,4,0,60,,,,,,unresolved,No lexical entry yet.
אימתי,אימתי,7,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,780,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,84,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,780,0,60,,,,,,unresolved,No lexical entry yet.
אינון,אינונ,2,0,60,,,,,,unresolved,No lexical entry yet.
איני,איני,21,0,60,,,,,,unresolved,No lexical entry yet.
אינך,אינכ,5,0,60,,,,,,unresolved,No lexical entry yet.
אינם,אינמ,66,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אינן,איננ,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איננו,איננו,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אינש,אינש,8,0,60,,,,,,unresolved,No lexical entry yet.
אינשי,אינשי,2,0,60,,,,,,unresolved,No lexical entry yet.
איסור,איסור,43,0,60,,,,,,unresolved,No lexical entry yet.
איסורא,איסורא,7,0,60,,,,,,unresolved,No lexical entry yet.
איריא,איריא,2,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אישות,אישות,16,0,60,,,,,,unresolved,No lexical entry yet.
אישתבע,אישתבע,7,0,60,,,,,,unresolved,No lexical entry yet.
אישתדוף,אישתדופ,1,0,60,,,,,,unresolved,No lexical entry yet.
אית,אית,7,0,60,,,,,,unresolved,No lexical entry yet.
איתא,איתא,40,0,60,,,,,,unresolved,No lexical entry yet.
איתמר,איתמר,4,0,60,,,,,,unresolved,No lexical entry yet.
איתנהו,איתנהו,3,0,60,,,,,,unresolved,No lexical entry yet.
איתרע,איתרע,7,0,60,,,,,,unresolved,No lexical entry yet.
איתרצא,איתרצא,1,0,60,,,,,,unresolved,No lexical entry yet.
איתתא,איתתא,3,0,60,,,,,,unresolved,No lexical entry yet.
אך,אכ,32,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכותבין,אכותבינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אכיל,אכיל,2,0,60,,,,,,unresolved,No lexical entry yet.
אכילה,אכילה,1,0,60,,,,,,unresolved,No lexical entry yet.
אכילת,אכילת,9,0,60,,,,,,unresolved,No lexical entry yet.
אכל,אכל,22,0,60,,,,,,unresolved,No lexical entry yet.
אכלה,אכלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אכלו,אכלו,1,0,60,,,,,,unresolved,No lexical entry yet.
אכליה,אכליה,5,0,60,,,,,,unresolved,No lexical entry yet.
אכלך,אכלכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אכלם,אכלמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אכן,אכנ,117,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכפול,אכפול,1,0,60,,,,,,unresolved,No lexical entry yet.
אכרזתא,אכרזתא,4,0,60,,,,,,unresolved,No lexical entry yet.
אכתי,אכתי,19,0,60,,,,,,unresolved,No lexical entry yet.
אל,אל,56,99,60,claim-691ab973c96a9d26,"to | toward | do not / not, when vocalization or context supports אַל",Project-authored function word table,project-function-word:el,project-authored / CC0,safe_claims_min60,
אלא,אלא,1272,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלה,אלה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלו,אלו,52,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אלוך,אלוכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אליבא,אליבא,13,0,60,,,,,,unresolved,No lexical entry yet.
אליביה,אליביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אליהו,אליהו,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אליו,אליו,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אליך,אליכ,2,95,60,claim-bd670c24e25d3921,near | with | among | often in general | to | about | according to | after,OpenScriptures morphHB,H413,CC BY 4.0,safe_claims_min60,
אלים,אלימ,6,0,60,,,,,,unresolved,No lexical entry yet.
אלימי,אלימי,1,0,60,,,,,,unresolved,No lexical entry yet.
אלמא,אלמא,8,0,60,,,,,,unresolved,No lexical entry yet.
אלמוה,אלמוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אלמנה,אלמנה,15,93,60,claim-1941b41402b81ac3,"widow, woman whose spouse has died | widow",Wikidata Lexeme,L63963,CC0,safe_claims_min60,
אלעזר,אלעזר,6,0,60,,,,,,unresolved,No lexical entry yet.
אלף,אלפ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלפסי,אלפסי,1,0,60,,,,,,unresolved,No lexical entry yet.
אם,אמ,941,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמאי,אמאי,37,0,60,,,,,,unresolved,No lexical entry yet.
אמדינן,אמדיננ,1,0,60,,,,,,unresolved,No lexical entry yet.
אמה,אמה,2,93,60,claim-ad449a993b3efb58,"middle finger, finger | middle finger | forearm",Wikidata Lexeme,L63984,CC0,safe_claims_min60,
אמוד,אמוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אמונתו,אמונתו,5,95,60,claim-5ea48c93e545312d,literally firmness | figuratively security | morally fidelity | faith(-ful | -ly | -ness | (man)) | set office,OpenScriptures morphHB,H530,CC BY 4.0,safe_claims_min60,
אמור,אמור,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמורא,אמורא,1,0,60,,,,,,unresolved,No lexical entry yet.
אמורים,אמורימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אמות,אמות,2,0,60,,,,,,unresolved,No lexical entry yet.
אמטלטלי,אמטלטלי,8,0,60,,,,,,unresolved,No lexical entry yet.
אמירה,אמירה,10,0,60,,,,,,unresolved,No lexical entry yet.
אמירתו,אמירתו,5,0,60,,,,,,unresolved,No lexical entry yet.
אמנה,אמנה,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמנם,אמנמ,13,99,60,claim-3d0f783058946dd2,indeed | however | nevertheless,Project-authored function word table,project-function-word:omnam,project-authored / CC0,safe_claims_min60,
אמקרקעי,אמקרקעי,1,0,60,,,,,,unresolved,No lexical entry yet.
אמר,אמר,472,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרה,אמרה,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרו,אמרו,19,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אמרי,אמרי,7,0,60,,,,,,unresolved,No lexical entry yet.
אמרי׳,אמרי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אמרינן,אמריננ,173,0,60,,,,,,unresolved,No lexical entry yet.
אמריתה,אמריתה,2,0,60,,,,,,unresolved,No lexical entry yet.
