clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,65,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,83,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,2,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,190,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,7,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,4,0,60,,,,,,unresolved,No lexical entry yet.
א״פ,א״פ,2,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,15,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,4,0,60,,,,,,unresolved,No lexical entry yet.
אא״א,אא״א,4,0,60,,,,,,unresolved,No lexical entry yet.
אא״ב,אא״ב,5,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,8,0,60,,,,,,unresolved,No lexical entry yet.
אאביי,אאביי,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,24,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
"אב""","אב""",2,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,13,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,3,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אביא,אביא,2,0,60,,,,,,unresolved,No lexical entry yet.
אביוני,אביוני,1,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,19,0,60,,,,,,unresolved,No lexical entry yet.
אבין,אבינ,4,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,772,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבניו,אבניו,2,0,60,,,,,,unresolved,No lexical entry yet.
אבעיא,אבעיא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבר,אבר,13,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברהם,אברהמ,1,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אברייתא,אברייתא,16,0,60,,,,,,unresolved,No lexical entry yet.
אברים,אברימ,3,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברירה,אברירה,5,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,2,0,60,,,,,,unresolved,No lexical entry yet.
אגוד,אגוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אגיזה,אגיזה,3,0,60,,,,,,unresolved,No lexical entry yet.
אדינא,אדינא,2,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,58,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמו״ר,אדמו״ר,8,0,60,,,,,,unresolved,No lexical entry yet.
אדמיפלגי,אדמיפלגי,1,0,60,,,,,,unresolved,No lexical entry yet.
אדע,אדע,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אה״נ,אה״נ,3,0,60,,,,,,unresolved,No lexical entry yet.
אה״ע,אה״ע,1,0,60,,,,,,unresolved,No lexical entry yet.
אהדדי,אהדדי,1,0,60,,,,,,unresolved,No lexical entry yet.
אהובי,אהובי,1,0,60,,,,,,unresolved,No lexical entry yet.
אהרן,אהרנ,3,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,338,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
או״ח,או״ח,4,0,60,,,,,,unresolved,No lexical entry yet.
אוהבו,אוהבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוהל,אוהל,13,0,60,,,,,,unresolved,No lexical entry yet.
אוז,אוז,2,0,60,,,,,,unresolved,No lexical entry yet.
אוירבאך,אוירבאכ,12,0,60,,,,,,unresolved,No lexical entry yet.
אוכל,אוכל,44,0,60,,,,,,unresolved,No lexical entry yet.
אוכלים,אוכלימ,5,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,23,0,60,,,,,,unresolved,No lexical entry yet.
אולי,אולי,3,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומדנא,אומדנא,5,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,29,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,29,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרין,אומרינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אומרת,אומרת,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אונאה,אונאה,1,0,60,,,,,,unresolved,No lexical entry yet.
אונס,אונס,1,0,60,,,,,,unresolved,No lexical entry yet.
אוסר,אוסר,47,0,60,,,,,,unresolved,No lexical entry yet.
אוסרה,אוסרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אופן,אופנ,13,93,60,claim-29e2fcfb64f78b5d,round frame used in transportation; wheel,Wikidata Lexeme,L63792,CC0,safe_claims_min60,
אופנים,אופנימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקים,אוקימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקימנא,אוקימנא,3,0,60,,,,,,unresolved,No lexical entry yet.
אוקימתא,אוקימתא,3,0,60,,,,,,unresolved,No lexical entry yet.
אוקמוה,אוקמוה,6,0,60,,,,,,unresolved,No lexical entry yet.
אור,אור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אורה,אורה,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אושעיא,אושעיא,13,0,60,,,,,,unresolved,No lexical entry yet.
אות,אות,4,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותה,אותה,72,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,71,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותם,אותמ,62,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,43,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,19,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזהרה,אזהרה,8,0,60,,,,,,unresolved,No lexical entry yet.
אזהרתן,אזהרתנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אזוב,אזוב,5,0,60,,,,,,unresolved,No lexical entry yet.
אזיל,אזיל,5,0,60,,,,,,unresolved,No lexical entry yet.
אזלא,אזלא,7,0,60,,,,,,unresolved,No lexical entry yet.
אזלינן,אזליננ,2,0,60,,,,,,unresolved,No lexical entry yet.
אח״ז,אח״ז,2,0,60,,,,,,unresolved,No lexical entry yet.
אח״כ,אח״כ,76,99,60,claim-77811186ebaad6ad,afterward | after that,Project-authored abbreviation table,project-abbreviation:achar-kach,project-authored / CC0,safe_claims_min60,
