clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אָבַ֖ד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אָֽבְדָה֙,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבְדָ֣ה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבְדָ֤ה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבָֽדוּ׃,אבדו׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹֽבְדוֹת֙,אבדות,1,0,60,,,,,,unresolved,No lexical entry yet.
אִבַּ֙דְתִּי֙,אבדתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָב֨וֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָב֖וֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָב֔וֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת֙,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹתֵיהֶ֖ם,אבותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲ֠בוֹתֶ֠יךָ,אבותיכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיכֶ֥ם,אבותיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֽוֹתֵיכֶם֙,אבותיכמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיכֶ֤ם,אבותיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיכֶ֜ם,אבותיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיכֶֽם׃,אבותיכמ׃,1,0,60,,,,,,unresolved,No lexical entry yet.
