clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,1,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״נ,א״נ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אביו,אביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אברים,אברימ,1,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אגרוף,אגרופ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדא,אדא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,15,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדרב,אדרב,1,0,60,,,,,,unresolved,No lexical entry yet.
או,או,31,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אומד,אומד,3,0,60,,,,,,unresolved,No lexical entry yet.
אומדין,אומדינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומנות,אומנות,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אונס,אונס,3,0,60,,,,,,unresolved,No lexical entry yet.
אוסר,אוסר,1,0,60,,,,,,unresolved,No lexical entry yet.
אותו,אותו,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אזנו,אזנו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוה,אחוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחוי,אחוי,1,0,60,,,,,,unresolved,No lexical entry yet.
אחז,אחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיך,אחיכ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרון,אחרונ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אחריו,אחריו,1,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אחשבה,אחשבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,3,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אי,אי,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איברים,איברימ,3,0,60,,,,,,unresolved,No lexical entry yet.
איהו,איהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,10,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינו,אינו,4,0,60,,,,,,unresolved,No lexical entry yet.
איני,איני,1,0,60,,,,,,unresolved,No lexical entry yet.
איניש,איניש,1,0,60,,,,,,unresolved,No lexical entry yet.
איפשטא,איפשטא,1,0,60,,,,,,unresolved,No lexical entry yet.
איפשיט,איפשיט,1,0,60,,,,,,unresolved,No lexical entry yet.
איצטריך,איצטריכ,1,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכויה,אכויה,1,0,60,,,,,,unresolved,No lexical entry yet.
אלא,אלא,15,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלו,אלו,3,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אליעזר,אליעזר,2,0,60,,,,,,unresolved,No lexical entry yet.
אם,אמ,10,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמדוהו,אמדוהו,3,0,60,,,,,,unresolved,No lexical entry yet.
אממוניה,אממוניה,1,0,60,,,,,,unresolved,No lexical entry yet.
אמר,אמר,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרה,אמרה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אנו,אנו,1,99,60,claim-fdddf34e5f702bb2,we,Project-authored function word table,project-function-word:anu,project-authored / CC0,safe_claims_min60,
אנוס,אנוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אנשים,אנשימ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אסון,אסונ,3,93,60,claim-8ffda59dabcb3931,"disaster, hazard resulting in an event causing significant physical damage, destruction or death | disaster",Wikidata Lexeme,L64038,CC0,safe_claims_min60,
אסור,אסור,1,0,60,,,,,,unresolved,No lexical entry yet.
אסר,אסר,1,0,60,,,,,,unresolved,No lexical entry yet.
אף,אפ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפי׳,אפי׳,1,99,60,claim-8ed0c056c8bf236e,even | even if,Project-authored abbreviation table,project-abbreviation:afilu,project-authored / CC0,safe_claims_min60,
אפילו,אפילו,12,0,60,,,,,,unresolved,No lexical entry yet.
אצל,אצל,1,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אצלו,אצלו,2,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
ארבע,ארבע,1,93,60,claim-09471d28150beeb1,the number 4 | 4,Wikidata Lexeme,L491842,CC0,safe_claims_min60,
אשה,אשה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אשר,אשר,1,99,60,claim-417c393ef81474d8,that | which | who,Project-authored function word table,project-function-word:asher,project-authored / CC0,safe_claims_min60,
אשת,אשת,1,93,60,claim-d7f222a40fc17940,"woman, female adult human | woman",Wikidata Lexeme,L63925,CC0,safe_claims_min60,
את,את,14,99,60,claim-2993a3e12ef702c9,direct-object marker | with,Project-authored function word table,project-function-word:et,project-authored / CC0,safe_claims_min60,
אתה,אתה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ב׳,ב׳,1,0,60,,,,,,unresolved,No lexical entry yet.
ב״ד,ב״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
בא,בא,2,95,60,claim-1f60409dec56770f,to go | come (in a wide variety of applications) | abide | apply | attain | × be | befall | besiege,OpenScriptures morphHB,H935,CC BY 4.0,safe_claims_min60,
באדם,באדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באונס,באונס,1,0,60,,,,,,unresolved,No lexical entry yet.
באחד,באחד,2,95,60,claim-ad20f0370b460ed0,properly | united | i.e. one | (as an ordinal) first | alike | alone | altogether | and,OpenScriptures morphHB,H259,CC BY 4.0,safe_claims_min60,
באחרונה,באחרונה,1,0,60,,,,,,unresolved,No lexical entry yet.
באחרים,באחרימ,1,0,60,,,,,,unresolved,No lexical entry yet.
באלו,באלו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באנדרונ׳,באנדרונ׳,1,0,60,,,,,,unresolved,No lexical entry yet.
בארבעה,בארבעה,1,0,60,,,,,,unresolved,No lexical entry yet.
באשת,באשת,1,90,60,claim-56cff25f231abf59 | claim-1afbf88b3360f9cf | claim-7ecd980f6f96d9ee | claim-e8fe0c40a1f287fa | claim-71d66342edb13a87 | claim-d7f222a40fc17940,"in woman, female adult human | with woman, female adult human | by woman, female adult human | in woman | with woman | by woman | woman, female adult human | woman",Wikidata Lexeme | OpenScriptures morphHB,L63925 | H7896 | H800 | H802 | H8354,CC0 | CC BY 4.0,safe_claims_min60,
בבגדיו,בבגדיו,1,91,60,claim-79d9f8cc032a15ac | claim-df4d2597a3bc6bd6,in a covering | with a covering | by a covering | in also treachery | with also treachery | by also treachery | in pillage | with pillage | a covering | i.e. clothing | also treachery | pillage | apparel | cloth(-es | ing) | garment,OpenScriptures morphHB,H899,CC BY 4.0,safe_claims_min60,
בבושת,בבושת,1,0,60,,,,,,unresolved,No lexical entry yet.
בביתו,בביתו,1,0,60,,,,,,unresolved,No lexical entry yet.
בבניו,בבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
