clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,8,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ל,א״ל,4,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,2,0,60,,,,,,unresolved,No lexical entry yet.
אאביי,אאביי,1,0,60,,,,,,unresolved,No lexical entry yet.
אאש,אאש,1,0,60,,,,,,unresolved,No lexical entry yet.
אבו,אבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוד,אבוד,2,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבי׳,אבי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,6,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,8,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,84,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבע״א,אבע״א,1,0,60,,,,,,unresolved,No lexical entry yet.
אבר,אבר,2,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברנס,אברנס,1,0,60,,,,,,unresolved,No lexical entry yet.
אגף,אגפ,3,0,60,,,,,,unresolved,No lexical entry yet.
אדא,אדא,2,0,60,,,,,,unresolved,No lexical entry yet.
אדברי,אדברי,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,16,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדעתא,אדעתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבה,אדרבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אהאי,אהאי,2,0,60,,,,,,unresolved,No lexical entry yet.
אהבה,אהבה,2,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אהדדי,אהדדי,2,0,60,,,,,,unresolved,No lexical entry yet.
אהני,אהני,1,0,60,,,,,,unresolved,No lexical entry yet.
אהרן,אהרנ,3,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,83,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אויר,אויר,2,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוכל,אוכל,18,0,60,,,,,,unresolved,No lexical entry yet.
אוכלו,אוכלו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלות,אוכלות,2,0,60,,,,,,unresolved,No lexical entry yet.
אוכלים,אוכלימ,20,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,10,0,60,,,,,,unresolved,No lexical entry yet.
אוכלת,אוכלת,4,0,60,,,,,,unresolved,No lexical entry yet.
אולמיה,אולמיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,14,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומר׳,אומר׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אומרים,אומרימ,5,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרת,אומרת,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אונן,אוננ,8,0,60,,,,,,unresolved,No lexical entry yet.
אונס,אונס,1,0,60,,,,,,unresolved,No lexical entry yet.
אוסרו,אוסרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקמתא,אוקמתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אורחיה,אורחיה,1,89,60,claim-4d79347cc0ee7b50 | claim-e4913294e9dcac47,"her guest | its guest | guest, someone who is offered hospitability | guest",Wikidata Lexeme,L63819,CC0,safe_claims_min60,
אושעיא,אושעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
אותה,אותה,5,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,40,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותם,אותמ,5,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,14,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזדריק,אזדריק,1,0,60,,,,,,unresolved,No lexical entry yet.
אזהרה,אזהרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אזהרת,אזהרת,13,0,60,,,,,,unresolved,No lexical entry yet.
אזוב,אזוב,2,0,60,,,,,,unresolved,No lexical entry yet.
אזלא,אזלא,1,0,60,,,,,,unresolved,No lexical entry yet.
אזלינן,אזליננ,3,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,49,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחיו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחלקו,אחלקו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחר,אחר,76,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחראין,אחראינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרון,אחרונ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אחרונה,אחרונה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחריו,אחריו,2,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אחרים,אחרימ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריני,אחריני,1,0,60,,,,,,unresolved,No lexical entry yet.
אחריתי,אחריתי,2,0,60,,,,,,unresolved,No lexical entry yet.
אחרת,אחרת,3,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,8,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אטהרה,אטהרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אטומאה,אטומאה,2,0,60,,,,,,unresolved,No lexical entry yet.
אי,אי,32,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אידך,אידכ,1,0,60,,,,,,unresolved,No lexical entry yet.
איזדריק,איזדריק,1,0,60,,,,,,unresolved,No lexical entry yet.
איזה,איזה,1,0,60,,,,,,unresolved,No lexical entry yet.
איחרתי,איחרתי,1,0,60,,,,,,unresolved,No lexical entry yet.
איטמי,איטמי,1,0,60,,,,,,unresolved,No lexical entry yet.
איירי,איירי,2,0,60,,,,,,unresolved,No lexical entry yet.
איכא,איכא,11,0,60,,,,,,unresolved,No lexical entry yet.
אימא,אימא,7,0,60,,,,,,unresolved,No lexical entry yet.
אימורי,אימורי,2,0,60,,,,,,unresolved,No lexical entry yet.
אימוריו,אימוריו,1,0,60,,,,,,unresolved,No lexical entry yet.
אימורים,אימורימ,2,0,60,,,,,,unresolved,No lexical entry yet.
אימורין,אימורינ,5,0,60,,,,,,unresolved,No lexical entry yet.
אימעיטו,אימעיטו,1,0,60,,,,,,unresolved,No lexical entry yet.
אימת,אימת,1,0,60,,,,,,unresolved,No lexical entry yet.
אימתי,אימתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,94,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,7,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,40,0,60,,,,,,unresolved,No lexical entry yet.
אינם,אינמ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אינן,איננ,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איסור,איסור,1,0,60,,,,,,unresolved,No lexical entry yet.
איסורו,איסורו,2,0,60,,,,,,unresolved,No lexical entry yet.
איפכא,איפכא,3,0,60,,,,,,unresolved,No lexical entry yet.
איפשר,איפשר,10,0,60,,,,,,unresolved,No lexical entry yet.
איצטריך,איצטריכ,9,0,60,,,,,,unresolved,No lexical entry yet.
אירע,אירע,2,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,33,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אישראל,אישראל,1,0,60,,,,,,unresolved,No lexical entry yet.
אית,אית,2,0,60,,,,,,unresolved,No lexical entry yet.
איתיביה,איתיביה,1,0,60,,,,,,unresolved,No lexical entry yet.
איתיה,איתיה,1,0,60,,,,,,unresolved,No lexical entry yet.
איתמר,איתמר,2,0,60,,,,,,unresolved,No lexical entry yet.
אכול,אכול,4,0,60,,,,,,unresolved,No lexical entry yet.
אכיל,אכיל,4,0,60,,,,,,unresolved,No lexical entry yet.
אכיל׳,אכיל׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אכילה,אכילה,21,0,60,,,,,,unresolved,No lexical entry yet.
אכילת,אכילת,3,0,60,,,,,,unresolved,No lexical entry yet.
אכילתו,אכילתו,8,0,60,,,,,,unresolved,No lexical entry yet.
אכילתן,אכילתנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אכל,אכל,12,0,60,,,,,,unresolved,No lexical entry yet.
אכלו,אכלו,14,0,60,,,,,,unresolved,No lexical entry yet.
אכלי,אכלי,2,0,60,,,,,,unresolved,No lexical entry yet.
