clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אאורך,אאורכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבטינס,אבטינס,1,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,3,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבל,אבל,13,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבני,אבני,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבנים,אבנימ,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אברהם,אברהמ,1,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אגביעים,אגביעימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגובה,אגובה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמה,אדמה,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהדדי,אהדדי,2,0,60,,,,,,unresolved,No lexical entry yet.
אהיכא,אהיכא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהל,אהל,18,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהרן,אהרנ,12,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,11,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אויבים,אויבימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אויר,אויר,6,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוכלין,אוכלינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,3,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אורך,אורכ,6,0,60,,,,,,unresolved,No lexical entry yet.
אותה,אותה,7,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,12,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותי,אותי,2,0,60,,,,,,unresolved,No lexical entry yet.
אותך,אותכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אותם,אותמ,8,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אזהרה,אזהרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אזהרת,אזהרת,3,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,11,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוזתכם,אחוזתכמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אחציה,אחציה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחר,אחר,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריהם,אחריהמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אחרים,אחרימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריני,אחריני,1,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,9,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אטום,אטומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אי,אי,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איברים,איברימ,1,0,60,,,,,,unresolved,No lexical entry yet.
איהו,איהו,1,0,60,,,,,,unresolved,No lexical entry yet.
איכוון,איכוונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אילך,אילכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,18,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,9,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,4,0,60,,,,,,unresolved,No lexical entry yet.
אינם,אינמ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איפשר,איפשר,12,0,60,,,,,,unresolved,No lexical entry yet.
איצטריך,איצטריכ,3,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אך,אכ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכילה,אכילה,1,0,60,,,,,,unresolved,No lexical entry yet.
אכילת,אכילת,2,0,60,,,,,,unresolved,No lexical entry yet.
אכניסה,אכניסה,2,0,60,,,,,,unresolved,No lexical entry yet.
אכפתוריה,אכפתוריה,1,0,60,,,,,,unresolved,No lexical entry yet.
אכתי,אכתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אל,אל,20,99,60,claim-691ab973c96a9d26,"to | toward | do not / not, when vocalization or context supports אַל",Project-authored function word table,project-function-word:el,project-authored / CC0,safe_claims_min60,
אלא,אלא,61,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלהיך,אלהיכ,2,95,60,claim-1885a1d67fa362cb,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures HebrewLexicon,H430,CC BY 4.0,safe_claims_min60,
אלהיכם,אלהיכמ,1,95,60,claim-1885a1d67fa362cb,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures HebrewLexicon,H430,CC BY 4.0,safe_claims_min60,
אלהים,אלהימ,4,93,60,claim-32bad03679e3d241,"God in Judaism, The concept of God in the Jewish faith | God in Judaism",Wikidata Lexeme,L63944,CC0,safe_claims_min60,
אלהינו,אלהינו,1,95,60,claim-1885a1d67fa362cb,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures HebrewLexicon,H430,CC BY 4.0,safe_claims_min60,
אלו,אלו,6,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אליו,אליו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלמא,אלמא,4,0,60,,,,,,unresolved,No lexical entry yet.
