clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א״ז,א״ז,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,1,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,2,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,13,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבק,אבק,6,0,60,,,,,,unresolved,No lexical entry yet.
אבריו,אבריו,1,90,60,claim-4e6105559fd81bf5 | claim-4575c36e621b550d | claim-dc519cfc9716cf95 | claim-b1b4f460d891c843,"his organ | its organ | organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63650 | H82 | H83,CC0 | CC BY 4.0,safe_claims_min60,
אדם,אדמ,21,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדרבא,אדרבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבי,אדרבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אה״נ,אה״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
אהוב,אהוב,1,0,60,,,,,,unresolved,No lexical entry yet.
או,או,9,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
או״ח,או״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכל,אוכל,2,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אורחא,אורחא,1,0,60,,,,,,unresolved,No lexical entry yet.
אותו,אותו,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,1,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזי,אזי,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוה,אחוה,2,0,60,,,,,,unresolved,No lexical entry yet.
אחיו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחימלך,אחימלכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחר,אחר,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרונה,אחרונה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרי,אחרי,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריהם,אחריהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרים,אחרימ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרת,אחרת,3,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,2,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אי,אי,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איזה,איזה,6,0,60,,,,,,unresolved,No lexical entry yet.
איירי,איירי,5,0,60,,,,,,unresolved,No lexical entry yet.
אייתיהו,אייתיהו,1,0,60,,,,,,unresolved,No lexical entry yet.
איך,איכ,2,95,60,claim-29b4cbf4ecdf4a64,how? | how! | also where | how | what.,OpenScriptures HebrewLexicon,H349,CC BY 4.0,safe_claims_min60,
איכא,איכא,5,0,60,,,,,,unresolved,No lexical entry yet.
אימא,אימא,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,9,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,2,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,9,0,60,,,,,,unresolved,No lexical entry yet.
איני,איני,1,0,60,,,,,,unresolved,No lexical entry yet.
אינם,אינמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
