clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,184,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,215,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,17,0,60,,,,,,unresolved,No lexical entry yet.
א״ב,א״ב,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,10,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,9,0,60,,,,,,unresolved,No lexical entry yet.
א״ן,א״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ס,א״ס,34,0,60,,,,,,unresolved,No lexical entry yet.
א״ע,א״ע,19,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,4,0,60,,,,,,unresolved,No lexical entry yet.
א״ת,א״ת,18,0,60,,,,,,unresolved,No lexical entry yet.
אאשים,אאשימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אב״א,אב״א,2,0,60,,,,,,unresolved,No lexical entry yet.
אב״ד,אב״ד,3,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,6,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדתי,אבדתי,5,0,60,,,,,,unresolved,No lexical entry yet.
אבדתם,אבדתמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבהן,אבהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוד,אבוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבודים,אבודימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,41,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותי,אבותי,2,0,60,,,,,,unresolved,No lexical entry yet.
אבותיהם,אבותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותינו,אבותינו,3,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותם,אבותמ,8,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבי,אבי,3,0,60,,,,,,unresolved,No lexical entry yet.
אביאך,אביאכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,4,0,60,,,,,,unresolved,No lexical entry yet.
אביהוא,אביהוא,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,7,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,21,0,60,,,,,,unresolved,No lexical entry yet.
