clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,604,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,16,0,60,,,,,,unresolved,No lexical entry yet.
א״ל,א״ל,19,99,60,claim-623712a5f0258ab8,he said to him,Project-authored Midrash/Aggadah formula table,project-midrash-formula:amar-lo,project-authored / CC0,safe_claims_min60,
א״ר,א״ר,230,99,60,claim-d9e480e3ada697c0,Rabbi said | said Rabbi,Project-authored Midrash/Aggadah formula table,project-midrash-formula:amar-rabbi,project-authored / CC0,safe_claims_min60,
אארעא,אארעא,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,16,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,83,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,9,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדו,אבדו,4,0,60,,,,,,unresolved,No lexical entry yet.
אבדימי,אבדימי,2,0,60,,,,,,unresolved,No lexical entry yet.
אבדת,אבדת,2,0,60,,,,,,unresolved,No lexical entry yet.
אבדתי,אבדתי,2,0,60,,,,,,unresolved,No lexical entry yet.
אבה,אבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,31,0,60,,,,,,unresolved,No lexical entry yet.
אבהתי,אבהתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבו,אבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוא,אבוא,5,0,60,,,,,,unresolved,No lexical entry yet.
אבוכון,אבוכונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוסו,אבוסו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוש,אבוש,2,0,60,,,,,,unresolved,No lexical entry yet.
אבושה,אבושה,4,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,22,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותי,אבותי,3,0,60,,,,,,unresolved,No lexical entry yet.
אבותיהם,אבותיהמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבותיו,אבותיו,6,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותיך,אבותיכ,4,0,60,,,,,,unresolved,No lexical entry yet.
אבותיכם,אבותיכמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבותינו,אבותינו,14,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותם,אבותמ,4,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבחרה,אבחרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבטח,אבטח,3,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,23,0,60,,,,,,unresolved,No lexical entry yet.
אביא,אביא,3,0,60,,,,,,unresolved,No lexical entry yet.
אביגיל,אביגיל,3,0,60,,,,,,unresolved,No lexical entry yet.
אבידתך,אבידתכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,4,0,60,,,,,,unresolved,No lexical entry yet.
אביהו,אביהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,7,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,24,0,60,,,,,,unresolved,No lexical entry yet.
אביון,אביונ,7,0,60,,,,,,unresolved,No lexical entry yet.
אביונים,אביונימ,3,95,60,claim-02667ffaf814ffdd,destitute | beggar | needy | poor (man).,OpenScriptures morphHB,H34,CC BY 4.0,safe_claims_min60,
אביט,אביט,1,0,60,,,,,,unresolved,No lexical entry yet.
אביינוס,אביינוס,2,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,8,0,60,,,,,,unresolved,No lexical entry yet.
אביכם,אביכמ,3,0,60,,,,,,unresolved,No lexical entry yet.
אבימלך,אבימלכ,8,99,60,claim-7c8448db97515637,Abimelech,Project-authored Midrash/Aggadah formula table,project-midrash-name:avimelech,project-authored / CC0,safe_claims_min60,
אבין,אבינ,21,0,60,,,,,,unresolved,No lexical entry yet.
אבינא,אבינא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,17,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אביעה,אביעה,2,0,60,,,,,,unresolved,No lexical entry yet.
אביר,אביר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבירי,אבירי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבירים,אבירימ,6,0,60,,,,,,unresolved,No lexical entry yet.
אבירם,אבירמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבישי,אבישי,5,0,60,,,,,,unresolved,No lexical entry yet.
אביתר,אביתר,1,0,60,,,,,,unresolved,No lexical entry yet.
