clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,18,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,46,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,7,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,14,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,6,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,3,0,60,,,,,,unresolved,No lexical entry yet.
אאטים,אאטימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אאישתא,אאישתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אאמין,אאמינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אארעא,אארעא,2,0,60,,,,,,unresolved,No lexical entry yet.
אאשים,אאשימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,19,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אב״ד,אב״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,66,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבאש,אבאש,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדו,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדתי,אבדתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהם,אבהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהן,אבהנ,6,0,60,,,,,,unresolved,No lexical entry yet.
אבוא,אבוא,4,0,60,,,,,,unresolved,No lexical entry yet.
אבוב,אבוב,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוד,אבוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבודרהם,אבודרהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוהו,אבוהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אבוהן,אבוהנ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבולהו,אבולהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבון,אבונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוס,אבוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוש,אבוש,3,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,14,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותי,אבותי,6,0,60,,,,,,unresolved,No lexical entry yet.
אבותיהם,אבותיהמ,8,0,60,,,,,,unresolved,No lexical entry yet.
אבותיהן,אבותיהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותיו,אבותיו,4,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותיך,אבותיכ,5,0,60,,,,,,unresolved,No lexical entry yet.
אבותיכם,אבותיכמ,7,0,60,,,,,,unresolved,No lexical entry yet.
אבותינו,אבותינו,22,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותך,אבותכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותם,אבותמ,14,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבחר,אבחר,2,0,60,,,,,,unresolved,No lexical entry yet.
אבטח,אבטח,1,0,60,,,,,,unresolved,No lexical entry yet.
אבטל,אבטל,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,10,0,60,,,,,,unresolved,No lexical entry yet.
אביגדור,אביגדור,3,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,6,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,3,0,60,,,,,,unresolved,No lexical entry yet.
אביונים,אביונימ,1,95,60,claim-02667ffaf814ffdd,destitute | beggar | needy | poor (man).,OpenScriptures morphHB,H34,CC BY 4.0,safe_claims_min60,
אביזרייהו,אביזרייהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,12,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אביכם,אביכמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבין,אבינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבינה,אבינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,22,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבירים,אבירימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביתי,אביתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,73,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,26,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבני,אבני,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבניה,אבניה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבנים,אבנימ,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבעבועות,אבעבועות,1,0,60,,,,,,unresolved,No lexical entry yet.
אבקר,אבקר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבקש,אבקש,1,0,60,,,,,,unresolved,No lexical entry yet.
אבקת,אבקת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבר,אבר,1,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברהם,אברהמ,96,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אברח,אברח,1,0,60,,,,,,unresolved,No lexical entry yet.
אבריו,אבריו,1,90,60,claim-4e6105559fd81bf5 | claim-4575c36e621b550d | claim-dc519cfc9716cf95 | claim-b1b4f460d891c843,"his organ | its organ | organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63650 | H82 | H83,CC0 | CC BY 4.0,safe_claims_min60,
אברך,אברכ,3,0,60,,,,,,unresolved,No lexical entry yet.
אבשלום,אבשלומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגבר,אגבר,1,0,60,,,,,,unresolved,No lexical entry yet.
אגג,אגג,2,0,60,,,,,,unresolved,No lexical entry yet.
אגדה,אגדה,2,0,60,,,,,,unresolved,No lexical entry yet.
אגדות,אגדות,2,0,60,,,,,,unresolved,No lexical entry yet.
אגדל,אגדל,1,0,60,,,,,,unresolved,No lexical entry yet.
אגדע,אגדע,1,0,60,,,,,,unresolved,No lexical entry yet.
אגודה,אגודה,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגוז,אגוז,3,0,60,,,,,,unresolved,No lexical entry yet.
אגוני,אגוני,1,0,60,,,,,,unresolved,No lexical entry yet.
אגיד,אגיד,4,0,60,,,,,,unresolved,No lexical entry yet.
אגיעם,אגיעמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגלה,אגלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגמור,אגמור,1,0,60,,,,,,unresolved,No lexical entry yet.
אגמים,אגמימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגן,אגנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרות,אגרות,2,0,60,,,,,,unresolved,No lexical entry yet.
אגרותיך,אגרותיכ,3,0,60,,,,,,unresolved,No lexical entry yet.
אגרע,אגרע,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרת,אגרת,9,0,60,,,,,,unresolved,No lexical entry yet.
אגרתא,אגרתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרתך,אגרתכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אד,אד,1,0,60,,,,,,unresolved,No lexical entry yet.
אדאג,אדאג,1,0,60,,,,,,unresolved,No lexical entry yet.
אדבר,אדבר,4,0,60,,,,,,unresolved,No lexical entry yet.
אדברה,אדברה,2,0,60,,,,,,unresolved,No lexical entry yet.
אדום,אדומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדון,אדונ,15,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוני,אדוני,30,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוני׳,אדוני׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוניהם,אדוניהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוניו,אדוניו,2,0,60,,,,,,unresolved,No lexical entry yet.
אדונינו,אדונינו,24,0,60,,,,,,unresolved,No lexical entry yet.
אדוננו,אדוננו,24,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדחד,אדחד,1,0,60,,,,,,unresolved,No lexical entry yet.
אדיר,אדיר,2,93,60,claim-58c9c3bb9278ca8b,huge,Wikidata Lexeme,L204378,CC0,safe_claims_min60,
אדירי,אדירי,2,0,60,,,,,,unresolved,No lexical entry yet.
אדירים,אדירימ,5,93,60,claim-58c9c3bb9278ca8b,huge,Wikidata Lexeme,L204378,CC0,safe_claims_min60,
אדירנו,אדירנו,1,90,60,claim-a15b891ef65597eb | claim-36e7990c0e70fceb | claim-58c9c3bb9278ca8b,our huge | huge,Wikidata Lexeme | OpenScriptures morphHB,L204378 | H117,CC0 | CC BY 4.0,safe_claims_min60,
אדכירו,אדכירו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדלג,אדלג,1,0,60,,,,,,unresolved,No lexical entry yet.
אדליק,אדליק,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,102,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמ״אר,אדמ״אר,1,0,60,,,,,,unresolved,No lexical entry yet.
אדמאי,אדמאי,1,0,60,,,,,,unresolved,No lexical entry yet.
אדמה,אדמה,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמות,אדמות,3,0,60,,,,,,unresolved,No lexical entry yet.
אדמים,אדמימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדמת,אדמת,2,93,60,claim-91ed238e2d3c7cee,red,Wikidata Lexeme,L63672,CC0,safe_claims_min60,
אדמתם,אדמתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדני,אדני,8,0,60,,,,,,unresolved,No lexical entry yet.
אדניה,אדניה,2,0,60,,,,,,unresolved,No lexical entry yet.
אדע,אדע,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדעה,אדעה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדר,אדר,2,0,60,,,,,,unresolved,No lexical entry yet.
אדרב,אדרב,2,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבה,אדרבה,4,0,60,,,,,,unresolved,No lexical entry yet.
אדרוש,אדרוש,3,0,60,,,,,,unresolved,No lexical entry yet.
אדריכם,אדריכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרכה,אדרכה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרת,אדרת,60,0,60,,,,,,unresolved,No lexical entry yet.
אהב,אהב,4,0,60,,,,,,unresolved,No lexical entry yet.
אהבה,אהבה,23,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אהבו,אהבו,5,0,60,,,,,,unresolved,No lexical entry yet.
אהבים,אהבימ,3,0,60,,,,,,unresolved,No lexical entry yet.
אהבנו,אהבנו,1,0,60,,,,,,unresolved,No lexical entry yet.
אהבת,אהבת,5,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אהבתו,אהבתו,5,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהבתי,אהבתי,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהבתיו,אהבתיו,1,90,60,claim-f796291558031ac2 | claim-5b5c9fc5042b57f0 | claim-05931198b1a570fc | claim-200422ea19d0d14f,his affection | its affection | his love | its love | his romantic love | its romantic love | affection | love | romantic love,Wikidata Lexeme | OpenScriptures morphHB,L45122 | H157 | H160,CC0 | CC BY 4.0,safe_claims_min60,
אהבתיך,אהבתיכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אהבתך,אהבתכ,19,0,60,,,,,,unresolved,No lexical entry yet.
