clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אֲבָל,אבל,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָם,אדמ,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹ,או,2,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹכְלָהּ,אוכלה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹכְלִין,אוכלינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמֵר,אומר,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמְרִים,אומרימ,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוֹסֵר,אוסר,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסְרִים,אוסרימ,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסְרִין,אוסרינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוּר,אור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶחָד,אחד,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָחֲזוּ,אחזו,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֵר,אחר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶחָת,אחת,2,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אַחַת,אחת,6,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אֵיזֶה,איזה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵימָתַי,אימתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵין,אינ,7,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵינָהּ,אינה,4,0,60,,,,,,unresolved,No lexical entry yet.
אֵינוֹ,אינו,2,0,60,,,,,,unresolved,No lexical entry yet.
אֵינָן,איננ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִישׁ,איש,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֳכָלִין,אכלינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶלָּא,אלא,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵלּוּ,אלו,4,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אֱלִיעֶזֶר,אליעזר,7,0,60,,,,,,unresolved,No lexical entry yet.
אֲלֶכְּסַנְדְּרִיָּא,אלכסנדריא,1,0,60,,,,,,unresolved,No lexical entry yet.
אִם,אמ,9,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אֲמָנָה,אמנה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָמַר,אמר,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָמְרוּ,אמרו,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אֲנוּסָה,אנוסה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַנְטִינוֹס,אנטינוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אַנְשֵׁי,אנשי,2,93,60,claim-596bc8cfde01bcca,"person, human, man | man",Wikidata Lexeme,L63920,CC0,safe_claims_min60,
אָסוּר,אסור,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲסוּרִין,אסורינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַף,אפ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲפִלּוּ,אפלו,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֹרֶז,ארז,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲרִיסְטוֹן,אריסטונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲרִיסִין,אריסינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲרָצוֹת,ארצות,1,93,60,claim-0935edad01383d5c,"country, distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics | country | Earth",Wikidata Lexeme,L64126,CC0,safe_claims_min60,
אִשָּׁה,אשה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲשֶׁר,אשר,1,99,60,claim-417c393ef81474d8,that | which | who,Project-authored function word table,project-function-word:asher,project-authored / CC0,safe_claims_min60,
אֶת,את,2,99,60,claim-2993a3e12ef702c9,direct-object marker | with,Project-authored function word table,project-function-word:et,project-authored / CC0,safe_claims_min60,
בָאוּ,באו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּאֶחָד,באחד,1,95,60,claim-6e89d0a38043ab27,properly | united | i.e. one | (as an ordinal) first | alike | alone | altogether | and,OpenScriptures HebrewLexicon,H259,CC BY 4.0,safe_claims_min60,
בָּאֶמְצַע,באמצע,3,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בַּבִּכּוּרִים,בבכורימ,1,0,60,,,,,,unresolved,No lexical entry yet.
בָהּ,בה,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בָּהּ,בה,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּהִכָּרֵת,בהכרת,1,95,60,claim-cac79eb346a90a09,to cut (off | down | asunder) | by implication | to destroy | consume | specifically | to covenant (i.e. make an alliance,OpenScriptures morphHB,H3772,CC BY 4.0,safe_claims_min60,
בָּהֶם,בהמ,1,95,60,claim-00cb5bc7f002ecf6,Ham | a region of Palestine | Ham.,OpenScriptures morphHB,H1990,CC BY 4.0,safe_claims_min60,
בוֹ,בו,2,95,60,claim-d667378a28c57fe6,probably to brighten up | i.e. (figuratively) be (causatively | make) blithe | gleesome | cheer up | be (make) glad | (have | make) joy(-ful),OpenScriptures morphHB,H8055,CC BY 4.0,safe_claims_min60,
בּוֹ,בו,1,95,60,claim-d667378a28c57fe6,probably to brighten up | i.e. (figuratively) be (causatively | make) blithe | gleesome | cheer up | be (make) glad | (have | make) joy(-ful),OpenScriptures morphHB,H8055,CC BY 4.0,safe_claims_min60,
בָזֶה,בזה,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בִּזְמַן,בזמנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בֶּחָדָשׁ,בחדש,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּחִטִּים,בחטימ,2,0,60,,,,,,unresolved,No lexical entry yet.
בַּחַלָּה,בחלה,17,95,60,claim-5a25a5ee67b9c46b,to loath | abhor | get hastily (from the margin for 926 ).,OpenScriptures morphHB,H973,CC BY 4.0,safe_claims_min60,
בְטָהֳרָה,בטהרה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּטָהֳרָה,בטהרה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְטֻמְאָה,בטמאה,3,0,60,,,,,,unresolved,No lexical entry yet.
בְּיַד,ביד,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּיָדַיִם,בידימ,1,95,60,claim-436709c331adfa2e,a hand (the open one [indicating power | means | direction | etc.] | in distinction from 3709 | the closed one) | used (as noun | adverb,OpenScriptures morphHB,H3027,CC BY 4.0,safe_claims_min60,
בְּיוֹם,ביומ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בֵּין,בינ,1,99,60,claim-05d344269c1bda94,between | among,Project-authored function word table,project-function-word:bein,project-authored / CC0,safe_claims_min60,
בִּירוּשָׁלַיִם,בירושלימ,1,95,60,claim-5b7074e0466e9937,Jerushalaim | Jerushalem | the capital city of Palestine | Jerusalem.,OpenScriptures morphHB,H3389,CC BY 4.0,safe_claims_min60,
בֵּית,בית,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בֵיתוֹ,ביתו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְכוֹרוֹת,בכורות,1,0,60,,,,,,unresolved,No lexical entry yet.
בִכּוּרֵי,בכורי,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּכּוּרֵי,בכורי,1,0,60,,,,,,unresolved,No lexical entry yet.
בִכּוּרֵיהֶם,בכוריהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
בִכּוּרָיו,בכוריו,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּכָל,בכל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְמֵי,במי,1,0,60,,,,,,unresolved,No lexical entry yet.
בְמִינוֹ,במינו,2,0,60,,,,,,unresolved,No lexical entry yet.
בְּמִינוֹ,במינו,3,0,60,,,,,,unresolved,No lexical entry yet.
בַּמַּעַשְׂרוֹת,במעשרות,3,0,60,,,,,,unresolved,No lexical entry yet.
בֶּן,בנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְנוֹ,בנו,1,93,60,claim-6c8580b79c662b02,to build,Wikidata Lexeme,L205881,CC0,safe_claims_min60,
בְּנוֹתֵן,בנותנ,1,0,60,,,,,,unresolved,No lexical entry yet.
בָּנָיו,בניו,1,0,60,,,,,,unresolved,No lexical entry yet.
בְסוּרְיָא,בסוריא,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּסוּרְיָא,בסוריא,2,0,60,,,,,,unresolved,No lexical entry yet.
בִסְפִינָה,בספינה,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּפְנֵי,בפני,2,95,60,claim-b6cf62d00d74f10a,the face (as the part that turns) | used in a great variety of applications (literally and figuratively) | also (with prepositional prefix) as a preposition ( before | etc.) | accept | a-(be-) fore(-time) | against | anger,OpenScriptures morphHB,H6440,CC BY 4.0,safe_claims_min60,
בְּפֶסַח,בפסח,6,0,60,,,,,,unresolved,No lexical entry yet.
בְּפַרְוָר,בפרור,1,0,60,,,,,,unresolved,No lexical entry yet.
בָצִיר,בציר,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּשָּׂדֶה,בשדה,1,95,60,claim-9a3e1ba60367c993,a field (as flat) | country | field | ground | land | soil | × wild.,OpenScriptures morphHB,H7704,CC BY 4.0,safe_claims_min60,
בַּשּׁוּק,בשוק,3,0,60,,,,,,unresolved,No lexical entry yet.
בְּשֶׁל,בשל,2,0,60,,,,,,unresolved,No lexical entry yet.
בַשֵּׁם,בשמ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בַּשֵּׁם,בשמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בַּשְּׂעוֹרִים,בשעורימ,2,91,60,claim-38f4fe681f8a2cc8 | claim-4ea41c5e7fd06a27,in barley | with barley | by barley | barley (as villose) | barley.,OpenScriptures morphHB,H8184,CC BY 4.0,safe_claims_min60,
בִּשְׁתֵּי,בשתי,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּתְּבוּאָה,בתבואה,1,0,60,,,,,,unresolved,No lexical entry yet.
בַתַּנּוּר,בתנור,1,0,60,,,,,,unresolved,No lexical entry yet.
גוֹשֶׁשֶׁת,גוששת,1,0,60,,,,,,unresolved,No lexical entry yet.
גִלְגֵּל,גלגל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
גִלְגְּלָה,גלגלה,4,0,60,,,,,,unresolved,No lexical entry yet.
גִּלְגְּלָהּ,גלגלה,1,0,60,,,,,,unresolved,No lexical entry yet.
גַּמְלִיאֵל,גמליאל,5,0,60,,,,,,unresolved,No lexical entry yet.
גֵּר,גר,1,0,60,,,,,,unresolved,No lexical entry yet.
גָּרְנִי,גרני,1,0,60,,,,,,unresolved,No lexical entry yet.
דָּבָר,דבר,1,95,60,claim-2a56c84fb2e25567,thing | matter | word,OpenScriptures morphHB,H1697,CC BY 4.0,safe_claims_min60,
דִּבְרֵי,דברי,2,93,60,claim-0c5f9f20cde64cfc,thing | entity,Wikidata Lexeme,L64626,CC0,safe_claims_min60,
דְבָרִים,דברימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
דָּגָן,דגנ,3,93,60,claim-0acdfa7c38a0c7fb,cereal; grain | cereals and pseudocereals | cereal,Wikidata Lexeme,L64636,CC0,safe_claims_min60,
דְּמַאי,דמאי,2,0,60,,,,,,unresolved,No lexical entry yet.
דְרָכִים,דרכימ,1,93,60,claim-4c8c8ce38f91feda,"thoroughfare, transportation route connecting one location to another | thoroughfare",Wikidata Lexeme,L64752,CC0,safe_claims_min60,
הָאוֹכֵל,האוכל,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הָאוֹמֵר,האומר,1,0,60,,,,,,unresolved,No lexical entry yet.
הָאִישׁ,האיש,1,95,60,claim-8a0f44219fee9ac7,a man as an individual | a male person | often used as an adjunct to a more definite term (and in such cases frequently not expressed in translation) | also | another | any (man) | a certain | champion,OpenScriptures morphHB,H376,CC BY 4.0,safe_claims_min60,
הָאֶמְצַע,האמצע,1,0,60,,,,,,unresolved,No lexical entry yet.
הָאֹרֶז,הארז,2,0,60,,,,,,unresolved,No lexical entry yet.
הָאִשָּׁה,האשה,2,0,60,,,,,,unresolved,No lexical entry yet.
הַבָּא,הבא,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הֵבִיא,הביא,3,0,60,,,,,,unresolved,No lexical entry yet.
הֵבִיאָה,הביאה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הֵבִיאוּ,הביאו,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַבֵּן,הבנ,1,0,60,,,,,,unresolved,No lexical entry yet.
הַגֵּז,הגז,1,0,60,,,,,,unresolved,No lexical entry yet.
הַגִּזְבָּר,הגזבר,2,0,60,,,,,,unresolved,No lexical entry yet.
הַגָּמוּר,הגמור,1,0,60,,,,,,unresolved,No lexical entry yet.
הַדָּבָר,הדבר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַדָּגָן,הדגנ,1,90,60,claim-9a086f420cf55f17 | claim-02e724b9d8dd2e66 | claim-0acdfa7c38a0c7fb,the cereals and pseudocereals | the cereal | cereal; grain | cereals and pseudocereals | cereal,Wikidata Lexeme | OpenScriptures HebrewLexicon,L64636 | H1715,CC0 | CC BY 4.0,safe_claims_min60,
הוּא,הוא,4,99,60,claim-b95415320cdb6061,he | it | that is,Project-authored function word table,project-function-word:hu,project-authored / CC0,safe_claims_min60,
הוֹלֵךְ,הולכ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הוּרָם,הורמ,1,0,60,,,,,,unresolved,No lexical entry yet.
הוּרְמָה,הורמה,2,0,60,,,,,,unresolved,No lexical entry yet.
הַזָּר,הזר,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַחִטִּים,החטימ,4,95,60,claim-0d34d8561a5816f6,wheat | whether the grain | the plant | wheat(-en).,OpenScriptures morphHB,H2406,CC BY 4.0,safe_claims_min60,
הַחַלָּה,החלה,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַחֲלִיטָה,החליטה,1,0,60,,,,,,unresolved,No lexical entry yet.
הַחֲרָמִים,החרמימ,1,0,60,,,,,,unresolved,No lexical entry yet.
הַטֶּבֶל,הטבל,1,0,60,,,,,,unresolved,No lexical entry yet.
הַטָּהוֹר,הטהור,3,95,60,claim-008a893b7bd94789,pure (in a physical | chemical | ceremonial | moral sense) | clean | fair | pure(-ness).,OpenScriptures morphHB,H2889,CC BY 4.0,safe_claims_min60,
הַטָּמֵא,הטמא,3,95,60,claim-dff1f63fb5b00a5f,foul in a religious sense | defiled | infamous | polluted(-tion) | unclean.,OpenScriptures morphHB,H2931,CC BY 4.0,safe_claims_min60,
הָיוּ,היו,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
הָיְתָה,היתה,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
הַכֹּהֵן,הכהנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַכֹּל,הכל,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַכְּלָבִים,הכלבימ,1,0,60,,,,,,unresolved,No lexical entry yet.
הַכֻּסְּמִין,הכסמינ,1,0,60,,,,,,unresolved,No lexical entry yet.
הַכָּתוּב,הכתוב,1,95,60,claim-eb3cd385d3fe0bc7,to grave | by implication | to write (describe | inscribe | prescribe | subscribe) | describe | record,OpenScriptures morphHB,H3789,CC BY 4.0,safe_claims_min60,
הִלֵּל,הלל,2,0,60,,,,,,unresolved,No lexical entry yet.
הַלֶּקֶט,הלקט,1,0,60,,,,,,unresolved,No lexical entry yet.
הֵם,המ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הַמַּיִם,המימ,1,95,60,claim-11716104a0365d04,water | figuratively | juice | by euphemism | urine | semen | piss | wasting,OpenScriptures morphHB,H4325,CC BY 4.0,safe_claims_min60,
הַמִּינִים,המינימ,2,0,60,,,,,,unresolved,No lexical entry yet.
הַמְּעִסָּה,המעסה,1,0,60,,,,,,unresolved,No lexical entry yet.
