clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אָבְדָה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבַטִּיחַ,אבטיח,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיהָ,אביה,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָל,אבל,17,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲגֻדָּה,אגדה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲגֻדּוֹת,אגדות,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹ,או,28,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹכֵל,אוכל,4,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכֶלֶת,אוכלת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמֵר,אומר,64,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמְרִים,אומרימ,14,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוֹסֵר,אוסר,3,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסְרִים,אוסרימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסֶרֶת,אוסרת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹרְחָיו,אורחיו,1,89,60,claim-bac0fd5f7342c80b | claim-e4913294e9dcac47,"his guest | its guest | guest, someone who is offered hospitability | guest",Wikidata Lexeme,L63819,CC0,safe_claims_min60,
אוֹתָהּ,אותה,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתוֹ,אותו,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתָם,אותמ,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתָן,אותנ,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אֶחָד,אחד,20,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֵר,אחר,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֶרֶת,אחרת,3,0,60,,,,,,unresolved,No lexical entry yet.
אַחַת,אחת,17,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אֵיזֶהוּ,איזהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵיזוֹ,איזו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵיזוֹהִי,איזוהי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵין,אינ,33,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵינָה,אינה,2,0,60,,,,,,unresolved,No lexical entry yet.
אֵינָהּ,אינה,5,0,60,,,,,,unresolved,No lexical entry yet.
אֵינוֹ,אינו,7,0,60,,,,,,unresolved,No lexical entry yet.
אָכַל,אכל,4,0,60,,,,,,unresolved,No lexical entry yet.
אֹכֶל,אכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲכָלָהּ,אכלה,2,0,60,,,,,,unresolved,No lexical entry yet.
אָכְלָה,אכלה,3,0,60,,,,,,unresolved,No lexical entry yet.
אֶכְתּוֹשׁ,אכתוש,1,0,60,,,,,,unresolved,No lexical entry yet.
