clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אֲבוֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבָל,אבל,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָם,אדמ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹ,או,17,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹמֵר,אומר,16,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמְרִים,אומרימ,12,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוֹרְגִים,אורגימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתוֹ,אותו,5,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אֶחָד,אחד,39,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֵר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרָיוּת,אחריות,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַת,אחת,17,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אֵיזוֹ,איזו,1,0,60,,,,,,unresolved,No lexical entry yet.
אִילָן,אילנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵין,אינ,5,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵינוֹ,אינו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָכַל,אכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹכֶל,אכל,2,0,60,,,,,,unresolved,No lexical entry yet.
אֳכָלִים,אכלימ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֳכָלִין,אכלינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֶלָּא,אלא,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵלּוּ,אלו,2,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אֱלִיעֶזֶר,אליעזר,4,0,60,,,,,,unresolved,No lexical entry yet.
אִם,אמ,5,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אָמַר,אמר,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָמְרוּ,אמרו,3,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אָנְסוֹ,אנסו,1,0,60,,,,,,unresolved,No lexical entry yet.
אַף,אפ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲפִלּוּ,אפלו,5,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶצְבָּעוֹ,אצבעו,1,0,60,,,,,,unresolved,No lexical entry yet.
אִצְטְרֻבָּל,אצטרבל,1,0,60,,,,,,unresolved,No lexical entry yet.
אַרְבַּע,ארבע,2,93,60,claim-09471d28150beeb1,the number 4 | 4,Wikidata Lexeme,L491842,CC0,safe_claims_min60,
אֶת,את,15,99,60,claim-2993a3e12ef702c9,direct-object marker | with,Project-authored function word table,project-function-word:et,project-authored / CC0,safe_claims_min60,
בְּאֶבֶן,באבנ,1,0,60,,,,,,unresolved,No lexical entry yet.
בָּאָדָם,באדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְאֹהֶל,באהל,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּאַחַד,באחד,1,95,60,claim-ad20f0370b460ed0,properly | united | i.e. one | (as an ordinal) first | alike | alone | altogether | and,OpenScriptures morphHB,H259,CC BY 4.0,safe_claims_min60,
בְאִילָן,באילנ,2,0,60,,,,,,unresolved,No lexical entry yet.
בְּאִילָן,באילנ,1,0,60,,,,,,unresolved,No lexical entry yet.
בָּאֵלּוּ,באלו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְאַסְדָּא,באסדא,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּבֵית,בבית,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בִגְדֵי,בגדי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בִּגְדֵיהֶם,בגדיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְגָדִים,בגדימ,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּדָם,בדמ,1,95,60,claim-d0fe3ed857fd502b,blood (as that which when shed causes death) of man | an animal | by analogy | the juice of the grape | figuratively (especially in the plural) bloodshed (i.e. drops of blood) | blood(-y | -guiltiness | (-thirsty),OpenScriptures morphHB,H1818,CC BY 4.0,safe_claims_min60,
בָּהּ,בה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בָּהֶם,בהמ,2,95,60,claim-00cb5bc7f002ecf6,Ham | a region of Palestine | Ham.,OpenScriptures morphHB,H1990,CC BY 4.0,safe_claims_min60,
בְהֵמָה,בהמה,4,93,60,claim-ea1f1a7ddbedbb75,"livestock, domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor | livestock",Wikidata Lexeme,L64179,CC0,safe_claims_min60,
בּוֹ,בו,1,95,60,claim-d667378a28c57fe6,probably to brighten up | i.e. (figuratively) be (causatively | make) blithe | gleesome | cheer up | be (make) glad | (have | make) joy(-ful),OpenScriptures morphHB,H8055,CC BY 4.0,safe_claims_min60,
בּוֹדְקִין,בודקינ,6,0,60,,,,,,unresolved,No lexical entry yet.
בּוֹעֵל,בועל,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּזָב,בזב,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּזָּב,בזב,2,0,60,,,,,,unresolved,No lexical entry yet.
בָּזֶה,בזה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בָזוֹ,בזו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּזוֹבוֹ,בזובו,1,0,60,,,,,,unresolved,No lexical entry yet.
בְזִיבָה,בזיבה,2,0,60,,,,,,unresolved,No lexical entry yet.
בְּזִיבָה,בזיבה,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּזְמַן,בזמנ,13,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בַּחֲבָלִים,בחבלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּחֲבָלִין,בחבלינ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּחֹלִי,בחלי,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּחֲמִשָּׁה,בחמשה,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּטִיט,בטיט,3,95,60,claim-4e51f39a807c1104,mud | clay | figuratively | calamity | dirt | mire.,OpenScriptures morphHB,H2916,CC BY 4.0,safe_claims_min60,
בִּיאַת,ביאת,3,0,60,,,,,,unresolved,No lexical entry yet.
בְּיָדָיו,בידיו,1,91,60,claim-f8121043952d130a | claim-436709c331adfa2e,in means | with means | by means | in direction | with direction | by direction | in in distinction from 3709 | with in distinction from 3709 | a hand (the open one [indicating power | means | direction | etc.] | in distinction from 3709 | the closed one) | used (as noun | adverb,OpenScriptures morphHB,H3027,CC BY 4.0,safe_claims_min60,
בַּיּוֹם,ביומ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּיוֹשְׁבִין,ביושבינ,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּיחִידִי,ביחידי,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּימֵי,בימי,1,95,60,claim-f540ffb1ca27e5ca,a day (as the warm hours) | whether literal (from sunrise to sunset | from one sunset to the next) | figurative (a space of time defined by an associated term) | (often used adverb) | age | always | chronicals,OpenScriptures morphHB,H3117,CC BY 4.0,safe_claims_min60,
בֵּין,בינ,12,99,60,claim-05d344269c1bda94,between | among,Project-authored function word table,project-function-word:bein,project-authored / CC0,safe_claims_min60,
בֵּינְתַיִם,בינתימ,1,0,60,,,,,,unresolved,No lexical entry yet.
בֵּית,בית,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּכֻלָּן,בכלנ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּכַף,בכפ,3,95,60,claim-3f3b7eef019e147f,the hollow hand | palm (so of the paw of an animal | of the sole | and even of the bowl of a dish | sling | the handle of a bolt | the leaves of a palm-tree) | figuratively,OpenScriptures morphHB,H3709,CC BY 4.0,safe_claims_min60,
בְלָעָהּ,בלעה,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּמַאֲכָל,במאכל,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּמַגָּע,במגע,2,0,60,,,,,,unresolved,No lexical entry yet.
בְּמִטָּה,במטה,1,90,60,claim-5d2b05daab8e96aa | claim-5e64108543ee048b | claim-c5f677d34f18e080 | claim-c9de176b29880596 | claim-f71814c12af743cc | claim-ba6d60be2d976e0d | claim-2161f16afb06525f | claim-02caa01bac875897 | claim-24d4930c58c6b556 | claim-2f51ec66f0f942eb,in bed | with bed | by bed | bed,Wikidata Lexeme | OpenScriptures morphHB | OpenScriptures HebrewLexicon,L66226 | H4131 | H4291 | H4294 | H4295 | H4296 | H4297 | H4298 | H5186,CC0 | CC BY 4.0,safe_claims_min60,
בְּמַיִם,במימ,1,90,60,claim-9740228227b673f7 | claim-7910c84753dcefbf | claim-6c8cbdd00d7427b5 | claim-d5c2fe1463d56ffa,in water | with water | by water | water | clear liquid H₂O | liquid water,Wikidata Lexeme | OpenScriptures morphHB,L66237 | H3220 | H4325,CC0 | CC BY 4.0,safe_claims_min60,
בְּמֵימֵי,במימי,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּמַסְמֵר,במסמר,3,0,60,,,,,,unresolved,No lexical entry yet.
בְּמִעוּטוֹ,במעוטו,1,0,60,,,,,,unresolved,No lexical entry yet.
בְמַשָּׂא,במשא,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּמִשְׁכָּב,במשכב,1,0,60,,,,,,unresolved,No lexical entry yet.
בְמַשְׁקִים,במשקימ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּמִשְׁתֶּה,במשתה,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּמֵּת,במת,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בֶּן,בנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּסוֹכָה,בסוכה,2,89,60,claim-94c717af41f3c8fa | claim-433cb0e6d9399efe,in sukkah | with sukkah | by sukkah | sukkah,Wikidata Lexeme,L66946,CC0,safe_claims_min60,
בְּסֻלָּם,בסלמ,1,0,60,,,,,,unresolved,No lexical entry yet.
בִסְפִינָה,בספינה,3,0,60,,,,,,unresolved,No lexical entry yet.
בְּסָפֵק,בספק,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּעוֹמְדִין,בעומדינ,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּעַל,בעל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בִּקְפִיצָה,בקפיצה,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּרָאָה,בראה,1,0,60,,,,,,unresolved,No lexical entry yet.
בָרְבִיעִי,ברביעי,1,0,60,,,,,,unresolved,No lexical entry yet.
בְרַגְלָיו,ברגליו,1,91,60,claim-1139bbe565d4207c | claim-0b6bf70f27f4fc69,in a step | with a step | by a step | in by euphemistically the pudenda | with by euphemistically the pudenda | by by euphemistically the pudenda | a foot (as used in walking) | by implication | a step | by euphemistically the pudenda | × be able to endure | × according as | × after | × coming,OpenScriptures morphHB,H7272,CC BY 4.0,safe_claims_min60,
בְּרוֹאֶה,ברואה,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּרֵחַיִם,ברחימ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְּשִׁבְעָה,בשבעה,2,0,60,,,,,,unresolved,No lexical entry yet.
בְּשִׁכְבַת,בשכבת,1,0,60,,,,,,unresolved,No lexical entry yet.
בַשְּׁלִישִׁי,בשלישי,1,0,60,,,,,,unresolved,No lexical entry yet.
בַּשְּׁלִישִׁית,בשלישית,2,91,60,claim-973f1e33a05529f1 | claim-24cb69c49f9b8a8a,in third | with third | by third | in by extension | with by extension | by by extension | in year | with year | third | feminine a third (part) | by extension | a third (day | year | time) | specifically | a third-story cell),OpenScriptures morphHB,H7992,CC BY 4.0,safe_claims_min60,
בַשֵּׁנִי,בשני,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בַּשְּׁנִיָּה,בשניה,1,0,60,,,,,,unresolved,No lexical entry yet.
בִּשְׁעַת,בשעת,1,95,60,claim-82d79f0bca56a9b8,properly | a look | i.e. a moment | hour.,OpenScriptures morphHB,H8160,CC BY 4.0,safe_claims_min60,
בְּשַׂר,בשר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
בְּשֶׁרֶץ,בשרצ,1,0,60,,,,,,unresolved,No lexical entry yet.
בְתוֹךְ,בתוכ,1,95,60,claim-c7f0350d527b1c41,a bisection | i.e. (by implication) the centre | among(-st) | × between | half | × (there- | where-) | in(-to),OpenScriptures morphHB,H8432,CC BY 4.0,safe_claims_min60,
גַּב,גב,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
גַּבֵּי,גבי,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
גַּבָּיו,גביו,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
גַּד,גד,1,0,60,,,,,,unresolved,No lexical entry yet.
גְדוֹלָה,גדולה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
גּוּפוֹ,גופו,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
