clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,20,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,26,0,60,,,,,,unresolved,No lexical entry yet.
א״ו,א״ו,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,40,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,2,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,4,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,3,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,5,0,60,,,,,,unresolved,No lexical entry yet.
אאבר,אאבר,2,0,60,,,,,,unresolved,No lexical entry yet.
אאצבע,אאצבע,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדו,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,20,0,60,,,,,,unresolved,No lexical entry yet.
אבוא,אבוא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,9,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,3,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,13,0,60,,,,,,unresolved,No lexical entry yet.
אבין,אבינ,6,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,201,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבר,אבר,71,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברים,אברימ,4,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אגב,אגב,2,0,60,,,,,,unresolved,No lexical entry yet.
אדון,אדונ,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדם,אדמ,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדר׳,אדר׳,2,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבנן,אדרבננ,1,0,60,,,,,,unresolved,No lexical entry yet.
אה״נ,אה״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
אהדדי,אהדדי,2,0,60,,,,,,unresolved,No lexical entry yet.
אההיא,אההיא,2,0,60,,,,,,unresolved,No lexical entry yet.
אהל,אהל,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהעלאה,אהעלאה,1,0,60,,,,,,unresolved,No lexical entry yet.
אהרן,אהרנ,11,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,182,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
או״א,או״א,1,0,60,,,,,,unresolved,No lexical entry yet.
אויר,אויר,4,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוכל,אוכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלוסין,אוכלוסינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלים,אוכלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אוכלת,אוכלת,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,20,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אונקלוס,אונקלוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אופין,אופינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אופן,אופנ,2,93,60,claim-29e2fcfb64f78b5d,round frame used in transportation; wheel,Wikidata Lexeme,L63792,CC0,safe_claims_min60,
אוציא,אוציא,2,0,60,,,,,,unresolved,No lexical entry yet.
אוקימתא,אוקימתא,4,0,60,,,,,,unresolved,No lexical entry yet.
אורחא,אורחא,2,0,60,,,,,,unresolved,No lexical entry yet.
אורחיה,אורחיה,1,89,60,claim-4d79347cc0ee7b50 | claim-e4913294e9dcac47,"her guest | its guest | guest, someone who is offered hospitability | guest",Wikidata Lexeme,L63819,CC0,safe_claims_min60,
אות,אות,1,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותה,אותה,36,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,69,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותם,אותמ,23,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,4,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותנו,אותנו,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,6,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזדא,אזדא,1,0,60,,,,,,unresolved,No lexical entry yet.
אזהרה,אזהרה,32,0,60,,,,,,unresolved,No lexical entry yet.
אזהרות,אזהרות,1,0,60,,,,,,unresolved,No lexical entry yet.
אזהרת,אזהרת,4,0,60,,,,,,unresolved,No lexical entry yet.
אזהרתיה,אזהרתיה,2,0,60,,,,,,unresolved,No lexical entry yet.
אזהרתם,אזהרתמ,6,0,60,,,,,,unresolved,No lexical entry yet.
אזיל,אזיל,24,0,60,,,,,,unresolved,No lexical entry yet.
אזית,אזית,1,0,60,,,,,,unresolved,No lexical entry yet.
אזלי,אזלי,5,0,60,,,,,,unresolved,No lexical entry yet.
אזלינן,אזליננ,3,0,60,,,,,,unresolved,No lexical entry yet.
אזן,אזנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אזר,אזר,1,0,60,,,,,,unresolved,No lexical entry yet.
אחא,אחא,3,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,90,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחדים,אחדימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,74,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרונה,אחרונה,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרות,אחרות,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרים,אחרימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרינא,אחרינא,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרית,אחרית,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריתי,אחריתי,6,0,60,,,,,,unresolved,No lexical entry yet.
