clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,2,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,3,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,11,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״צ,א״צ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,4,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותיו,אבותיו,3,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,3,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,38,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבר,אבר,1,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אגוד,אגוד,3,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדע,אדע,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדעתא,אדעתא,4,0,60,,,,,,unresolved,No lexical entry yet.
אדעתיה,אדעתיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,2,0,60,,,,,,unresolved,No lexical entry yet.
או,או,32,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אודי,אודי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוחרי,אוחרי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכל,אוכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אולי,אולי,2,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,5,0,60,,,,,,unresolved,No lexical entry yet.
אומן,אומנ,4,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומנות,אומנות,6,0,60,,,,,,unresolved,No lexical entry yet.
אומניות,אומניות,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוסיף,אוסיפ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוקים,אוקימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אורכתי,אורכתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אותה,אותה,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,7,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותם,אותמ,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,4,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אזיל,אזיל,1,0,60,,,,,,unresolved,No lexical entry yet.
אזלא,אזלא,1,0,60,,,,,,unresolved,No lexical entry yet.
אח״כ,אח״כ,1,99,60,claim-77811186ebaad6ad,afterward | after that,Project-authored abbreviation table,project-abbreviation:achar-kach,project-authored / CC0,safe_claims_min60,
אחד,אחד,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,15,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרות,אחרות,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרי,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריות,אחריות,2,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרינא,אחרינא,2,0,60,,,,,,unresolved,No lexical entry yet.
אחרת,אחרת,13,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אטו,אטו,2,0,60,,,,,,unresolved,No lexical entry yet.
אטול,אטול,4,0,60,,,,,,unresolved,No lexical entry yet.
אי,אי,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איבד,איבד,1,0,60,,,,,,unresolved,No lexical entry yet.
איגוד,איגוד,7,0,60,,,,,,unresolved,No lexical entry yet.
אידי,אידי,1,0,60,,,,,,unresolved,No lexical entry yet.
איהו,איהו,2,0,60,,,,,,unresolved,No lexical entry yet.
איך,איכ,2,95,60,claim-29b4cbf4ecdf4a64,how? | how! | also where | how | what.,OpenScriptures HebrewLexicon,H349,CC BY 4.0,safe_claims_min60,
איכא,איכא,7,0,60,,,,,,unresolved,No lexical entry yet.
איכפת,איכפת,1,0,60,,,,,,unresolved,No lexical entry yet.
אילן,אילנ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אילנות,אילנות,1,0,60,,,,,,unresolved,No lexical entry yet.
אימת,אימת,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,25,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,18,0,60,,,,,,unresolved,No lexical entry yet.
איני,איני,3,0,60,,,,,,unresolved,No lexical entry yet.
אינש,אינש,1,0,60,,,,,,unresolved,No lexical entry yet.
איתא,איתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אך,אכ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכיל,אכיל,1,0,60,,,,,,unresolved,No lexical entry yet.
אכתי,אכתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אלא,אלא,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלו,אלו,5,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אליבא,אליבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אליביה,אליביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אליו,אליו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלים,אלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אלמא,אלמא,2,0,60,,,,,,unresolved,No lexical entry yet.
אלמוהו,אלמוהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אלעאי,אלעאי,2,0,60,,,,,,unresolved,No lexical entry yet.
אם,אמ,24,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמאי,אמאי,1,0,60,,,,,,unresolved,No lexical entry yet.
אמדינן,אמדיננ,1,0,60,,,,,,unresolved,No lexical entry yet.
אמוראי,אמוראי,2,0,60,,,,,,unresolved,No lexical entry yet.
אמות,אמות,1,0,60,,,,,,unresolved,No lexical entry yet.
אמינא,אמינא,2,0,60,,,,,,unresolved,No lexical entry yet.
אמנם,אמנמ,2,99,60,claim-3d0f783058946dd2,indeed | however | nevertheless,Project-authored function word table,project-function-word:omnam,project-authored / CC0,safe_claims_min60,
אמר,אמר,15,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרו,אמרו,4,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אמרינן,אמריננ,7,0,60,,,,,,unresolved,No lexical entry yet.
אמרתי,אמרתי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמת,אמת,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אנא,אנא,3,0,60,,,,,,unresolved,No lexical entry yet.
אנו,אנו,1,99,60,claim-fdddf34e5f702bb2,we,Project-authored function word table,project-function-word:anu,project-authored / CC0,safe_claims_min60,
אני,אני,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אנשיו,אנשיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אנשים,אנשימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אסור,אסור,3,0,60,,,,,,unresolved,No lexical entry yet.
אע״ג,אע״ג,3,99,60,claim-2d96078a0c29c717,even though | although,Project-authored abbreviation table,project-abbreviation:af-al-gav,project-authored / CC0,safe_claims_min60,
אע״פ,אע״פ,2,99,60,claim-79b8072eaa3d849c,although | even though,Project-authored abbreviation table,project-abbreviation:af-al-pi,project-authored / CC0,safe_claims_min60,
אף,אפ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפי׳,אפי׳,1,99,60,claim-8ed0c056c8bf236e,even | even if,Project-authored abbreviation table,project-abbreviation:afilu,project-authored / CC0,safe_claims_min60,
אפילו,אפילו,10,0,60,,,,,,unresolved,No lexical entry yet.
אפשר,אפשר,5,0,60,,,,,,unresolved,No lexical entry yet.
אצל,אצל,4,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אצלנו,אצלנו,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ארבעה,ארבעה,1,0,60,,,,,,unresolved,No lexical entry yet.
