clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א״א,א״א,2,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,27,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,1,0,60,,,,,,unresolved,No lexical entry yet.
אאריך,אאריכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אביהם,אביהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,25,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אברהם,אברהמ,1,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אגרייהו,אגרייהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרת,אגרת,2,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדעך,אדעכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהיה,אהיה,2,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
אהלך,אהלכ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהרן,אהרנ,1,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,20,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
או״א,או״א,1,0,60,,,,,,unresolved,No lexical entry yet.
אולם,אולמ,8,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אור,אור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אותה,אותה,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,6,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותך,אותכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אותם,אותמ,4,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אזיל,אזיל,1,0,60,,,,,,unresolved,No lexical entry yet.
אח״ז,אח״ז,2,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
