clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,8,0,60,,,,,,unresolved,No lexical entry yet.
אִ״כֵּ,א״כ,2,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
אֶ״לֹ,א״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
אָ״רַ,א״ר,1,0,60,,,,,,unresolved,No lexical entry yet.
אַב,אב,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָב,אב,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַבָּא,אבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבֵּד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַדּוֹן,אבדונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבְדִּימֵי,אבדימי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוּדִים,אבודימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבוֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹתֵיהֶם,אבותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתָיו,אבותיו,1,95,60,claim-58154ed166e9bedd,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures HebrewLexicon,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתָם,אבותמ,1,95,60,claim-58154ed166e9bedd,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures HebrewLexicon,H1,CC BY 4.0,safe_claims_min60,
אָבִיא,אביא,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיאֵם,אביאמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיב,אביב,3,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו,אביו,13,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,5,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,2,0,60,,,,,,unresolved,No lexical entry yet.
"אָבִיךָ""","אביכ""",1,0,60,,,,,,unresolved,No lexical entry yet.
