clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אֲבִ֥י,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִֽי־יִשַׁ֖י,אבי־ישי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִ֣יךְ,אביכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַקֶּשׁ־לָ֛ךְ,אבקש־לכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶגְאָֽל׃,אגאל׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶגְלֶ֧ה,אגלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנִי֙,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶהְיֶ֔ה,אהיה,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
אוּכַל֙,אוכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אׇזְנְךָ֣,אזנכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָ֖יו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֵ֔ר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַ֕ר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֵֽר׃,אחר׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרֵ֥י,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֵ֖י,אחרי,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַֽחֲרֵי֙,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֵיהֶ֔ן,אחריהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרֶ֑יךָ,אחריכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵ֖יךְ,איכ,1,95,60,claim-29b4cbf4ecdf4a64,how? | how! | also where | how | what.,OpenScriptures HebrewLexicon,H349,CC BY 4.0,safe_claims_min60,
