clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,16,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,96,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,54,99,60,claim-0d5272364e939c1e,Arikh Anpin,Project-authored abbreviation table,project-abbreviation:arikh-anpin,project-authored / CC0,safe_claims_min60,
א״ב,א״ב,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ד,א״ד,29,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,6,0,60,,,,,,unresolved,No lexical entry yet.
א״הע,א״הע,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ז,א״ז,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ט,א״ט,3,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,143,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,33,0,60,,,,,,unresolved,No lexical entry yet.
א״מ,א״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,7,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,5,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,24,0,60,,,,,,unresolved,No lexical entry yet.
אא״ב,אא״ב,8,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,49,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אב״א,אב״א,1,0,60,,,,,,unresolved,No lexical entry yet.
אב״ד,אב״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,32,99,60,claim-42950780a18574a5,Abba,Project-authored Zohar/Ari technical term table,project-zohar-ari-technical:abba,project-authored / CC0,safe_claims_min60,
אבאר,אבאר,2,0,60,,,,,,unresolved,No lexical entry yet.
אבבא,אבבא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדורי,אבדורי,4,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,3,0,60,,,,,,unresolved,No lexical entry yet.
אבועאלפייא,אבועאלפייא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבטל,אבטל,2,0,60,,,,,,unresolved,No lexical entry yet.
אבטלה,אבטלה,2,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי׳,אבי׳,11,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,212,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,9,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,19,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,26,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,411,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבניו,אבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבע״א,אבע״א,2,0,60,,,,,,unresolved,No lexical entry yet.
אבעיא,אבעיא,4,0,60,,,,,,unresolved,No lexical entry yet.
אברהם,אברהמ,3,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אברזון,אברזונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבריי׳,אבריי׳,2,0,60,,,,,,unresolved,No lexical entry yet.
אבריית׳,אבריית׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אברייתא,אברייתא,13,0,60,,,,,,unresolved,No lexical entry yet.
אבריר׳,אבריר׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אברירה,אברירה,9,0,60,,,,,,unresolved,No lexical entry yet.
אבתר׳,אבתר׳,3,0,60,,,,,,unresolved,No lexical entry yet.
אבתרא,אבתרא,4,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,2,0,60,,,,,,unresolved,No lexical entry yet.
אגד,אגד,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגודה,אגודה,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגוז,אגוז,3,0,60,,,,,,unresolved,No lexical entry yet.
אגזל,אגזל,1,0,60,,,,,,unresolved,No lexical entry yet.
אגט,אגט,3,0,60,,,,,,unresolved,No lexical entry yet.
אגידא,אגידא,13,0,60,,,,,,unresolved,No lexical entry yet.
אגידה,אגידה,22,0,60,,,,,,unresolved,No lexical entry yet.
אגם,אגמ,11,0,60,,,,,,unresolved,No lexical entry yet.
אגרש,אגרש,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרשנה,אגרשנה,2,0,60,,,,,,unresolved,No lexical entry yet.
אד״מ,אד״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדאורייתא,אדאורייתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדבר,אדבר,1,0,60,,,,,,unresolved,No lexical entry yet.
אדברי,אדברי,4,0,60,,,,,,unresolved,No lexical entry yet.
אדהוצרך,אדהוצרכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדהק׳,אדהק׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוני,אדוני,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדידי׳,אדידי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדידיה,אדידיה,5,0,60,,,,,,unresolved,No lexical entry yet.
אדין,אדינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדינא,אדינא,3,0,60,,,,,,unresolved,No lexical entry yet.
אדיניה,אדיניה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדכרו,אדכרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדכתבו,אדכתבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,44,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמבעי׳,אדמבעי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדמבעיא,אדמבעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדמק׳,אדמק׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדעת׳,אדעת׳,1,0,60,,,,,,unresolved,No lexical entry yet.
