clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,5,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,140,0,60,,,,,,unresolved,No lexical entry yet.
א׳ד,א׳ד,1,0,60,,,,,,unresolved,No lexical entry yet.
א׳לה,א׳לה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,15,99,60,claim-0d5272364e939c1e,Arikh Anpin,Project-authored abbreviation table,project-abbreviation:arikh-anpin,project-authored / CC0,safe_claims_min60,
א״ב,א״ב,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ד,א״ד,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ו,א״ו,1,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,5,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,26,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ך,א״כ,1,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,84,0,60,,,,,,unresolved,No lexical entry yet.
א״ם,א״מ,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ס,א״ס,1,0,60,,,,,,unresolved,No lexical entry yet.
א״פ,א״פ,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,123,0,60,,,,,,unresolved,No lexical entry yet.
א״ת,א״ת,2,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,3,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אב״א,אב״א,22,0,60,,,,,,unresolved,No lexical entry yet.
אב״י,אב״י,1,0,60,,,,,,unresolved,No lexical entry yet.
אב״ר,אב״ר,2,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,82,99,60,claim-42950780a18574a5,Abba,Project-authored Zohar/Ari technical term table,project-zohar-ari-technical:abba,project-authored / CC0,safe_claims_min60,
אבאר,אבאר,2,0,60,,,,,,unresolved,No lexical entry yet.
אבג״ד,אבג״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבגד״ה,אבגד״ה,2,0,60,,,,,,unresolved,No lexical entry yet.
אבגדה״ו,אבגדה״ו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,6,0,60,,,,,,unresolved,No lexical entry yet.
אבדו,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדון,אבדונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהן,אבהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
