clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,29,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,44,0,60,,,,,,unresolved,No lexical entry yet.
אָב,אב,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִבֵּד,אבד,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבַד,אבד,2,0,60,,,,,,unresolved,No lexical entry yet.
אֹבַד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֵדָה,אבדה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבְדָה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבְדוּ,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַדּוֹן,אבדונ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֹבְדוֹת,אבדות,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבְדַן,אבדנ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֵדַת,אבדת,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבַדְתִּי,אבדתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבוֹא,אבוא,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵבוּס,אבוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹתָיו,אבותיו,8,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתֶיךָ,אבותיכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵינוּ,אבותינו,2,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתָם,אבותמ,1,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אָבִי,אבי,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיהֶם,אביהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו,אביו,13,0,60,,,,,,unresolved,No lexical entry yet.
אַבִּיט,אביט,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךְ,אביכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִינָה,אבינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִינוּ,אבינו,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אַבִּיר,אביר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָל,אבל,69,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבֵלִים,אבלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבֶן,אבנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַבְנֵי,אבני,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָנָיו,אבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנִים,אבנימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבק,אבק,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַק,אבק,8,0,60,,,,,,unresolved,No lexical entry yet.
אֵבֶר,אבר,3,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אַבְרָהָם,אברהמ,4,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אֲבָרֲכָה,אברכה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבֹתָם,אבתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַגִּיד,אגיד,3,0,60,,,,,,unresolved,No lexical entry yet.
אֶגְנֹב,אגנב,1,0,60,,,,,,unresolved,No lexical entry yet.
אַגְרִיפַּס,אגריפס,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶדְאַג,אדאג,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדַבֵּר,אדבר,1,0,60,,,,,,unresolved,No lexical entry yet.
אָדוֹן,אדונ,2,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אֲדוֹנֵיהֶם,אדוניהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
