clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אאסף,אאספ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא־נא,אבא־נא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבו,אבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותי,אבותי,8,0,60,,,,,,unresolved,No lexical entry yet.
אבותיהם,אבותיהמ,3,0,60,,,,,,unresolved,No lexical entry yet.
אבותיו,אבותיו,2,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותיי,אבותיי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותינו,אבותינו,3,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבי,אבי,54,0,60,,,,,,unresolved,No lexical entry yet.
אבי־אבי,אבי־אבי,2,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,3,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,2,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אביכם,אביכמ,12,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,16,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבל,אבל,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבלה,אבלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבן,אבנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבנים,אבנימ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אברהם,אברהמ,11,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
