clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א״ר,א״ר,1,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,4,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,37,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגוזין,אגוזינ,4,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
או,או,9,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אווזין,אווזינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכל,אוכל,3,0,60,,,,,,unresolved,No lexical entry yet.
אומן,אומנ,2,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומר,אומר,32,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,13,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוסר,אוסר,1,0,60,,,,,,unresolved,No lexical entry yet.
אוסרין,אוסרינ,5,0,60,,,,,,unresolved,No lexical entry yet.
אופה,אופה,2,0,60,,,,,,unresolved,No lexical entry yet.
אופין,אופינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אורחים,אורחימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אות,אות,1,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותה,אותה,7,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,6,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותיות,אותיות,1,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותם,אותמ,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,12,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אחד,אחד,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרי,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרים,אחרימ,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרת,אחרת,1,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,6,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אטול,אטול,1,0,60,,,,,,unresolved,No lexical entry yet.
איבה,איבה,1,0,60,,,,,,unresolved,No lexical entry yet.
איזה,איזה,1,0,60,,,,,,unresolved,No lexical entry yet.
איזהו,איזהו,3,0,60,,,,,,unresolved,No lexical entry yet.
איכר,איכר,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,46,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינו,אינו,3,0,60,,,,,,unresolved,No lexical entry yet.
אירע,אירע,1,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכל,אכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אכלנו,אכלנו,2,0,60,,,,,,unresolved,No lexical entry yet.
אל,אל,2,99,60,claim-691ab973c96a9d26,"to | toward | do not / not, when vocalization or context supports אַל",Project-authored function word table,project-function-word:el,project-authored / CC0,safe_claims_min60,
אלא,אלא,13,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלו,אלו,14,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אליעזר,אליעזר,4,0,60,,,,,,unresolved,No lexical entry yet.
אלעזר,אלעזר,6,0,60,,,,,,unresolved,No lexical entry yet.
אם,אמ,13,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמר,אמר,24,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרו,אמרו,14,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אמרתם,אמרתמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אנגרין,אנגרינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אנוסין,אנוסינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אנטיגנוס,אנטיגנוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אנשי,אנשי,1,93,60,claim-596bc8cfde01bcca,"person, human, man | man",Wikidata Lexeme,L63920,CC0,safe_claims_min60,
אסור,אסור,8,0,60,,,,,,unresolved,No lexical entry yet.
אסורה,אסורה,2,0,60,,,,,,unresolved,No lexical entry yet.
אסורות,אסורות,1,0,60,,,,,,unresolved,No lexical entry yet.
אסורין,אסורינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אע״פ,אע״פ,5,99,60,claim-79b8072eaa3d849c,although | even though,Project-authored abbreviation table,project-abbreviation:af-al-pi,project-authored / CC0,safe_claims_min60,
אף,אפ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפוטרופוס,אפוטרופוס,2,0,60,,,,,,unresolved,No lexical entry yet.
אפילו,אפילו,8,0,60,,,,,,unresolved,No lexical entry yet.
אפר,אפר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפרוח,אפרוח,1,0,60,,,,,,unresolved,No lexical entry yet.
אצל,אצל,10,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אצלו,אצלו,7,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אצלן,אצלנ,1,0,60,,,,,,unresolved,No lexical entry yet.
ארבע,ארבע,1,93,60,claim-09471d28150beeb1,the number 4 | 4,Wikidata Lexeme,L491842,CC0,safe_claims_min60,
