clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,16,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,9,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,1,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,2,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״צ,א״צ,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,1,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,4,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,7,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבותיו,אבותיו,2,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבותיך,אבותיכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביב,אביב,2,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,6,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,6,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,23,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבלים,אבלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבן,אבנ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגוזים,אגוזימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוניה,אדוניה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוניכם,אדוניכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדונינו,אדונינו,2,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמתם,אדמתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדר,אדר,4,0,60,,,,,,unresolved,No lexical entry yet.
אהבתי,אהבתי,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהרן,אהרנ,1,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,21,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוב,אוב,1,0,60,,,,,,unresolved,No lexical entry yet.
אובד,אובד,1,93,60,claim-48b0f3081c6ae188,to be lost,Wikidata Lexeme,L184910,CC0,safe_claims_min60,
אובדין,אובדינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אויבו,אויבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,2,0,60,,,,,,unresolved,No lexical entry yet.
אומנות,אומנות,2,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,163,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,32,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרין,אומרינ,5,0,60,,,,,,unresolved,No lexical entry yet.
אונו,אונו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוננין,אוננינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוספי,אוספי,2,0,60,,,,,,unresolved,No lexical entry yet.
אוסר,אוסר,2,0,60,,,,,,unresolved,No lexical entry yet.
אורם,אורמ,1,95,60,claim-00e857a74a98d42c,illumination | (concrete) luminary (in every sense | including lightning | happiness | etc.) | bright | clear | day,OpenScriptures morphHB,H216,CC BY 4.0,safe_claims_min60,
אותה,אותה,17,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,45,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותי,אותי,1,0,60,,,,,,unresolved,No lexical entry yet.
אותם,אותמ,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,28,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אחאב,אחאב,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,76,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחותו,אחותו,4,0,60,,,,,,unresolved,No lexical entry yet.
אחז,אחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אחי,אחי,4,0,60,,,,,,unresolved,No lexical entry yet.
אחיהן,אחיהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיו,אחיו,4,0,60,,,,,,unresolved,No lexical entry yet.
אחים,אחימ,1,93,60,claim-1874d887f9a02d6b,"brother, male sibling | brother | sibling",Wikidata Lexeme,L63839,CC0,safe_claims_min60,
אחר,אחר,23,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרות,אחרות,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרי,אחרי,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחריהן,אחריהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחריו,אחריו,4,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אחרים,אחרימ,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרת,אחרת,6,0,60,,,,,,unresolved,No lexical entry yet.
אחת,אחת,18,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אי,אי,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איוב,איוב,1,0,60,,,,,,unresolved,No lexical entry yet.
איזהו,איזהו,3,0,60,,,,,,unresolved,No lexical entry yet.
איכוס,איכוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אילו,אילו,3,0,60,,,,,,unresolved,No lexical entry yet.
אילנא,אילנא,1,0,60,,,,,,unresolved,No lexical entry yet.
אימתי,אימתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,129,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,7,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,13,0,60,,,,,,unresolved,No lexical entry yet.
איני,איני,9,0,60,,,,,,unresolved,No lexical entry yet.
אינם,אינמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אינן,איננ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איסור,איסור,1,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,13,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכזרי,אכזרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אכילתו,אכילתו,5,0,60,,,,,,unresolved,No lexical entry yet.
אל,אל,12,99,60,claim-691ab973c96a9d26,"to | toward | do not / not, when vocalization or context supports אַל",Project-authored function word table,project-function-word:el,project-authored / CC0,safe_claims_min60,
אלא,אלא,96,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלהיך,אלהיכ,5,95,60,claim-1885a1d67fa362cb,gods in the ordinary sense | but specifically used (in the plural thus | especially with the article) of the supreme God | occasionally applied by way of deference to magistrates | and sometimes as a superlative | angels | × exceeding | God (gods) (-dess,OpenScriptures HebrewLexicon,H430,CC BY 4.0,safe_claims_min60,
אלהים,אלהימ,7,93,60,claim-32bad03679e3d241,"God in Judaism, The concept of God in the Jewish faith | God in Judaism",Wikidata Lexeme,L63944,CC0,safe_claims_min60,
אלו,אלו,31,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אלי,אלי,1,93,60,claim-ff8dea95235c2afd,"deity, natural or supernatural god or goddess, divine being | deity",Wikidata Lexeme,L63934,CC0,safe_claims_min60,
אליו,אליו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אליעזר,אליעזר,8,0,60,,,,,,unresolved,No lexical entry yet.
אלישע,אלישע,2,0,60,,,,,,unresolved,No lexical entry yet.
אלמלא,אלמלא,1,0,60,,,,,,unresolved,No lexical entry yet.
אלמנה,אלמנה,3,93,60,claim-1941b41402b81ac3,"widow, woman whose spouse has died | widow",Wikidata Lexeme,L63963,CC0,safe_claims_min60,
אלמנות,אלמנות,1,0,60,,,,,,unresolved,No lexical entry yet.
אלמנותו,אלמנותו,1,0,60,,,,,,unresolved,No lexical entry yet.
אלעזר,אלעזר,10,0,60,,,,,,unresolved,No lexical entry yet.
אלף,אלפ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלפים,אלפימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אם,אמ,51,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמה,אמה,3,93,60,claim-ad449a993b3efb58,"middle finger, finger | middle finger | forearm",Wikidata Lexeme,L63984,CC0,safe_claims_min60,
אמו,אמו,1,95,60,claim-f2e2c3cf02b4c0da,a mother (as the bond of the family) | in a wide sense (both literally and figuratively [like father]) | dam | mother | × parting.,OpenScriptures morphHB,H517,CC BY 4.0,safe_claims_min60,
אמור,אמור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמות,אמות,3,0,60,,,,,,unresolved,No lexical entry yet.
אמר,אמר,33,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרה,אמרה,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרו,אמרו,22,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אמרת,אמרת,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמש,אמש,1,0,60,,,,,,unresolved,No lexical entry yet.
אמת,אמת,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמתי,אמתי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אנו,אנו,9,99,60,claim-fdddf34e5f702bb2,we,Project-authored function word table,project-function-word:anu,project-authored / CC0,safe_claims_min60,
אנוסתו,אנוסתו,2,0,60,,,,,,unresolved,No lexical entry yet.
אנחנא,אנחנא,3,0,60,,,,,,unresolved,No lexical entry yet.
אנחנו,אנחנו,1,95,60,claim-9c353f8b689656f7,we | ourselves | us | we.,OpenScriptures HebrewLexicon,H587,CC BY 4.0,safe_claims_min60,
אני,אני,29,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אנינות,אנינות,1,0,60,,,,,,unresolved,No lexical entry yet.
אנשי,אנשי,2,93,60,claim-596bc8cfde01bcca,"person, human, man | man",Wikidata Lexeme,L63920,CC0,safe_claims_min60,
אנשים,אנשימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אסור,אסור,1,0,60,,,,,,unresolved,No lexical entry yet.
אסורה,אסורה,2,0,60,,,,,,unresolved,No lexical entry yet.
אסורין,אסורינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אספו,אספו,2,0,60,,,,,,unresolved,No lexical entry yet.
אסתר,אסתר,1,0,60,,,,,,unresolved,No lexical entry yet.
אע״פ,אע״פ,4,99,60,claim-79b8072eaa3d849c,although | even though,Project-authored abbreviation table,project-abbreviation:af-al-pi,project-authored / CC0,safe_claims_min60,
אעכ״ו,אעכ״ו,1,0,60,,,,,,unresolved,No lexical entry yet.
אעשה,אעשה,1,0,60,,,,,,unresolved,No lexical entry yet.
אף,אפ,33,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפאן,אפאנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אפי׳,אפי׳,6,99,60,claim-8ed0c056c8bf236e,even | even if,Project-authored abbreviation table,project-abbreviation:afilu,project-authored / CC0,safe_claims_min60,
אפילו,אפילו,8,0,60,,,,,,unresolved,No lexical entry yet.
אפר,אפר,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אפשר,אפשר,1,0,60,,,,,,unresolved,No lexical entry yet.
אצילי,אצילי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אצל,אצל,4,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אצלו,אצלו,2,93,60,claim-2c112c209b75d5c2,at/near (e.g. in someone's home/office),Wikidata Lexeme,L491836,CC0,safe_claims_min60,
אר״ש,אר״ש,2,0,60,,,,,,unresolved,No lexical entry yet.
אראה,אראה,4,0,60,,,,,,unresolved,No lexical entry yet.
ארבע,ארבע,2,93,60,claim-09471d28150beeb1,the number 4 | 4,Wikidata Lexeme,L491842,CC0,safe_claims_min60,
ארבעה,ארבעה,2,0,60,,,,,,unresolved,No lexical entry yet.
ארבעים,ארבעימ,1,0,60,,,,,,unresolved,No lexical entry yet.
ארוות,ארוות,1,0,60,,,,,,unresolved,No lexical entry yet.
ארוסה,ארוסה,3,0,60,,,,,,unresolved,No lexical entry yet.
ארור,ארור,1,93,60,claim-338ad5cda38d7039,cursed,Wikidata Lexeme,L205383,CC0,safe_claims_min60,
ארמית,ארמית,4,0,60,,,,,,unresolved,No lexical entry yet.
ארץ,ארצ,3,95,60,claim-1b13c58673ebd069,land | earth,OpenScriptures morphHB,H776,CC BY 4.0,safe_claims_min60,
ארצות,ארצות,2,93,60,claim-0935edad01383d5c,"country, distinct region in geography; a broad term that can include political divisions or regions associated with distinct political characteristics | country | Earth",Wikidata Lexeme,L64126,CC0,safe_claims_min60,
אש,אש,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אשה,אשה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אשור,אשור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אשורי,אשורי,3,0,60,,,,,,unresolved,No lexical entry yet.
אשורית,אשורית,1,0,60,,,,,,unresolved,No lexical entry yet.
אשימה,אשימה,1,0,60,,,,,,unresolved,No lexical entry yet.
אשר,אשר,13,99,60,claim-417c393ef81474d8,that | which | who,Project-authored function word table,project-function-word:asher,project-authored / CC0,safe_claims_min60,
אשת,אשת,8,93,60,claim-d7f222a40fc17940,"woman, female adult human | woman",Wikidata Lexeme,L63925,CC0,safe_claims_min60,
את,את,129,99,60,claim-2993a3e12ef702c9,direct-object marker | with,Project-authored function word table,project-function-word:et,project-authored / CC0,safe_claims_min60,
אתה,אתה,16,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אתי,אתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אתכם,אתכמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אתם,אתמ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ב,ב,10,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ב׳,ב׳,15,0,60,,,,,,unresolved,No lexical entry yet.
ב״ד,ב״ד,24,0,60,,,,,,unresolved,No lexical entry yet.
בא,בא,9,95,60,claim-1f60409dec56770f,to go | come (in a wide variety of applications) | abide | apply | attain | × be | befall | besiege,OpenScriptures morphHB,H935,CC BY 4.0,safe_claims_min60,
בא״י,בא״י,4,0,60,,,,,,unresolved,No lexical entry yet.
באבוד,באבוד,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באבודם,באבודמ,1,0,60,,,,,,unresolved,No lexical entry yet.
באבירם,באבירמ,2,0,60,,,,,,unresolved,No lexical entry yet.
באדם,באדמ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באו,באו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באורים,באורימ,1,95,60,claim-98c9cd6a938a62bd,Urim | the oracular brilliancy of the figures in the high-priest's breastplate | Urim.,OpenScriptures morphHB,H224,CC BY 4.0,safe_claims_min60,
באותה,באותה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באותיותיו,באותיותיו,1,89,60,claim-fd5417f71624d3b8 | claim-b141c1fb201d794e,"in his letter | in its letter | with his letter | with its letter | by his letter | by its letter | letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
באזהרה,באזהרה,2,0,60,,,,,,unresolved,No lexical entry yet.
באחאב,באחאב,1,0,60,,,,,,unresolved,No lexical entry yet.
באחד,באחד,3,95,60,claim-ad20f0370b460ed0,properly | united | i.e. one | (as an ordinal) first | alike | alone | altogether | and,OpenScriptures morphHB,H259,CC BY 4.0,safe_claims_min60,
באחרונה,באחרונה,2,0,60,,,,,,unresolved,No lexical entry yet.
באחרות,באחרות,1,0,60,,,,,,unresolved,No lexical entry yet.
באיזה,באיזה,7,0,60,,,,,,unresolved,No lexical entry yet.
באיזו,באיזו,2,0,60,,,,,,unresolved,No lexical entry yet.
באים,באימ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באין,באינ,11,95,60,claim-a5079f0b7fb0673a,a nonentity | generally used as a negative particle | else | except | fail | (father-) less | be gone | in(-curable),OpenScriptures morphHB,H369,CC BY 4.0,safe_claims_min60,
באיש,באיש,1,95,60,claim-8a0f44219fee9ac7,a man as an individual | a male person | often used as an adjunct to a more definite term (and in such cases frequently not expressed in translation) | also | another | any (man) | a certain | champion,OpenScriptures morphHB,H376,CC BY 4.0,safe_claims_min60,
באמצע,באמצע,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באנפאי,באנפאי,2,0,60,,,,,,unresolved,No lexical entry yet.
באף,באפ,1,0,60,,,,,,unresolved,No lexical entry yet.
