clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,38,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,137,0,60,,,,,,unresolved,No lexical entry yet.
א״ב,א״ב,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,84,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,80,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,15,0,60,,,,,,unresolved,No lexical entry yet.
א״נ,א״נ,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ע,א״ע,1,0,60,,,,,,unresolved,No lexical entry yet.
א״פ,א״פ,4,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,124,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,134,0,60,,,,,,unresolved,No lexical entry yet.
א״ת,א״ת,3,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,3,0,60,,,,,,unresolved,No lexical entry yet.
אאיסור,אאיסור,1,0,60,,,,,,unresolved,No lexical entry yet.
אאם,אאמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אאמורין,אאמורינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אאמירה,אאמירה,1,0,60,,,,,,unresolved,No lexical entry yet.
אארון,אארונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אאריך,אאריכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אאשה,אאשה,1,0,60,,,,,,unresolved,No lexical entry yet.
אאשם,אאשמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,41,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,6,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,102,0,60,,,,,,unresolved,No lexical entry yet.
אבגדי,אבגדי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדו,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבה״ט,אבה״ט,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהו,אבהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהמה,אבהמה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבואר,אבואר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבודה,אבודה,1,93,60,claim-f5e1519ceffb870a,lost,Wikidata Lexeme,L204320,CC0,safe_claims_min60,
אבודת,אבודת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,2,0,60,,,,,,unresolved,No lexical entry yet.
אבוהון,אבוהונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבושת,אבושת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,13,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותיו,אבותיו,2,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבי,אבי,2,0,60,,,,,,unresolved,No lexical entry yet.
אבי׳,אבי׳,12,0,60,,,,,,unresolved,No lexical entry yet.
אביאה,אביאה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביב,אביב,2,0,60,,,,,,unresolved,No lexical entry yet.
אבידה,אבידה,32,0,60,,,,,,unresolved,No lexical entry yet.
אבידת,אבידת,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,22,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,12,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,23,0,60,,,,,,unresolved,No lexical entry yet.
אביום,אביומ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביזרייהו,אביזרייהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,7,0,60,,,,,,unresolved,No lexical entry yet.
אבילות,אבילות,5,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אביק,אביק,3,0,60,,,,,,unresolved,No lexical entry yet.
אבית,אבית,1,0,60,,,,,,unresolved,No lexical entry yet.
אבכורים,אבכורימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,476,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבלות,אבלות,11,0,60,,,,,,unresolved,No lexical entry yet.
אבן,אבנ,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבני,אבני,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבניו,אבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבנים,אבנימ,18,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבעיא,אבעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבר,אבר,23,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אבראי,אבראי,1,0,60,,,,,,unresolved,No lexical entry yet.
אברהם,אברהמ,2,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אברי,אברי,2,0,60,,,,,,unresolved,No lexical entry yet.
אברים,אברימ,9,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברכה,אברכה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבת,אבת,2,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,10,0,60,,,,,,unresolved,No lexical entry yet.
אגבא,אגבא,2,0,60,,,,,,unresolved,No lexical entry yet.
אגבי׳,אגבי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אגביה,אגביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגבייהו,אגבייהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אגג,אגג,2,0,60,,,,,,unresolved,No lexical entry yet.
אגד,אגד,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אגודו,אגודו,1,0,60,,,,,,unresolved,No lexical entry yet.
