clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אֲבֽוֹתֵיכֶ֖ם,אבותיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיאֵ֔ם,אביאמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִ֧יהוּ,אביהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִ֨יו,אביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶ֤בֶן,אבנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַבְנֵי־נֵ֔זֶר,אבני־נזר,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבְנֵי־קֶ֔לַע,אבני־קלע,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַקֵּ֗שׁ,אבקש,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֹתֵיכֶ֑ם,אבתיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֹֽתֵיכֶם֙,אבתיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָדָ֛ם,אדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָ֔ם,אדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָ֖ם,אדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדֹ֔ם,אדמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדָמָה֙,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדֻמִּ֔ים,אדמימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֻמִּ֑ים,אדמימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמַ֣ת,אדמת,1,93,60,claim-91ed238e2d3c7cee,red,Wikidata Lexeme,L63672,CC0,safe_claims_min60,
אֲדֹנִ֑י,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָי֙,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנִֽי׃,אדני׃,4,0,60,,,,,,unresolved,No lexical entry yet.
אֶ֣דֶר,אדר,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדִּרִ֖ים,אדרימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדֶּ֥רֶת,אדרת,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדַּרְתָּ֑ם,אדרתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱהָֽבוּ׃,אהבו׃,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶהְיֶ֥ה,אהיה,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
אֶהְיֶ֤ה,אהיה,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
