work_id,chunks,candidate_claim_links,unique_claims
abarbanel-on-guide-for-the-perplexed,19,13611,4570
aderet-eliyahu,4,4669,2454
aggadat-bereshit,9,8449,3852
akeidat-yitzchak,92,31581,7392
alphabet-of-ben-sira,5,4852,2566
amos,2,1616,972
aramaic-targum-to-ecclesiastes,3,1234,792
aramaic-targum-to-esther,4,1197,786
aramaic-targum-to-job,6,1729,1003
aramaic-targum-to-lamentations,2,773,555
aramaic-targum-to-proverbs,5,1113,736
aramaic-targum-to-psalms,10,3096,1393
aramaic-targum-to-ruth,2,594,436
aramaic-targum-to-song-of-songs,3,1069,748
asarah-perakim-leramchal,2,2197,1271
avodat-yisrael,28,16282,5439
avot-derabbi-natan,8,7453,3479
azharot-of-solomon-ibn-gabirol,3,2165,1443
bechinat-olam,5,5283,2716
beit-aharon,26,16671,5402
beit-elohim,30,17779,5613
ben-sira,6,6872,2888
beur-eser-sefirot,2,2364,1428
beur-hagra-on-jerusalem-talmud-bikkurim,3,2253,1352
beur-hagra-on-jerusalem-talmud-challah,4,2638,1488
beur-hagra-on-shulchan-arukh-choshen-mishpat,2,725,559
beur-hagra-on-shulchan-arukh-even-haezer,3,1575,1063
beur-hagra-on-shulchan-arukh-orach-chayim,13,6727,3161
beur-hagra-on-shulchan-arukh-yoreh-deah,26,10471,4120
beur-hagra-on-sifra-detzniuta,11,7766,3420
beur-haradal-on-pirkei-derabbi-eliezer,42,19400,6077
beur-hareem-on-midrash-lekach-tov,14,9774,4161
bnei-yissaschar,44,18198,5759
book-of-jubilees,7,6995,3202
book-of-judith,3,3615,1856
book-of-tobit,2,2553,1558
chafetz-chaim-on-sifra,30,14254,4805
chesed-leavraham,23,15275,5170
crescas-on-guide-for-the-perplexed,3,3480,1755
daniel,5,3715,1509
darkhei-yesharim,4,3837,2083
degel-machaneh-ephraim,22,14465,5033
derech-etz-chayim-ramchal,3,3308,1837
derekh-hashem,8,7028,2961
deuteronomy,9,8196,2302
divrei-emet,14,11137,4322
duties-of-the-heart,8,8569,3255
ecclesiastes,3,2535,1217
efodi-on-guide-for-the-perplexed,3,2604,1448
eight-chapters,4,4360,2165
eikhah-rabbah,9,7962,3239
ein-yaakov,71,39863,6228
essay-on-fundamentals,2,2513,1409
esther,2,1692,870
etz-yosef-on-bamidbar-rabbah,4,4218,2360
etz-yosef-on-bereishit-rabbah,8,7478,3531
etz-yosef-on-devarim-rabbah,2,1973,1312
etz-yosef-on-eichah-rabbah,7,6161,3070
etz-yosef-on-esther-rabbah,3,3421,2041
etz-yosef-on-kohelet-rabbah,14,10179,4248
etz-yosef-on-ruth-rabbah,2,1849,1253
etz-yosef-on-shemot-rabbah,7,6918,3214
etz-yosef-on-shir-hashirim-rabbah,21,14131,5102
etz-yosef-on-vayikra-rabbah,8,7162,3383
exodus,9,8653,2140
ezekiel,11,11057,2559
ezra,3,2397,1117
genesis,12,11198,2457
gra-on-pirkei-avot,1,604,487
gras-nuschah-on-avot-drabbi-natan,1,652,527
gras-nuschah-on-tractate-derekh-eretz-rabbah,1,172,158
gras-nuschah-on-tractate-derekh-eretz-zuta,1,78,71
gras-nuschah-on-tractate-kallah,1,60,56
gras-nuschah-on-tractate-semachot,1,178,153
gras-nuschah-on-tractate-soferim,1,351,313
habakkuk,1,649,570
haemunot-vehadeot,10,9256,3853
haggai,1,437,345
hagra-on-sefer-yetzirah-gra-version,3,2549,1421
hosea,2,1750,1027
i-chronicles,7,6433,1985
i-kings,8,7652,1951
i-samuel,8,7470,2011
ibn-ezra-on-deuteronomy,7,6928,3316
ibn-ezra-on-exodus,13,11172,4326
ibn-ezra-on-genesis,9,8967,3788
ibn-ezra-on-leviticus,6,6399,3092
ibn-ezra-on-numbers,6,6123,3067
ibn-ezra-on-zechariah,3,3709,2054
iggeret-hagra,2,1615,1051
iggeret-haramban,1,686,519
ii-chronicles,9,8196,2177
ii-kings,7,6708,1861
ii-samuel,7,6423,1937
imrei-binah,17,11435,4502
isaiah,12,12589,3418
jeremiah,13,11928,2739
jerusalem-talmud-taanit,3,2405,1386
job,6,5140,2149
joel,1,818,608
jonah,1,529,393
joshua,6,5958,1709
judges,7,5833,1683
kad-hakemach,28,17477,5867
kalach-pitchei-chokhmah,10,8558,3191
ketem-paz-on-zohar,58,23119,6528
keter-malkhut,3,3189,1849
kinnot-for-tisha-bav-ashkenaz,9,8264,3459
kohelet-rabbah,3,2941,1713
kol-hator,5,5109,2626
kuzari,16,15666,4222
lamentations,2,1195,835
lekha-dodi,1,257,247
letter-from-ramban-to-his-son,1,1421,929
letter-of-aristeas,5,4946,2491
letter-to-the-ten-lost-tribes-of-israel,3,2876,1739
leviticus,7,5572,1653
maalot-hamiddot,16,11701,4621
maamar-hador,2,3357,1963
maamar-torat-habayit,7,7328,3291
maaneh-lashon-chabad,4,4031,2095
maaseh-rav,3,2890,1771
maaseh-rokeach-on-mishnah,16,10953,4125
maavar-yabbok,42,28767,6136
maggid-devarav-leyaakov,12,10113,3996
maggid-meisharim,21,10469,4288
maharzu-hakatzar-on-bereshit-rabbah,1,253,214
malachi,1,783,616
