"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:1","aderet-eliyahu-introduction-introduction-1","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:2","aderet-eliyahu-introduction-introduction-2","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:3","aderet-eliyahu-introduction-introduction-3","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:4","aderet-eliyahu-introduction-introduction-4","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:5","aderet-eliyahu-introduction-introduction-5","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:1","aderet-eliyahu-genesis-genesis-1-1-1","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:2","aderet-eliyahu-genesis-genesis-1-1-2","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3","aderet-eliyahu-genesis-genesis-1-1-3","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:4","aderet-eliyahu-genesis-genesis-1-1-4","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:5","aderet-eliyahu-genesis-genesis-1-1-5","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:6","aderet-eliyahu-genesis-genesis-1-1-6","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:7","aderet-eliyahu-genesis-genesis-1-1-7","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:8","aderet-eliyahu-genesis-genesis-1-1-8","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:9","aderet-eliyahu-genesis-genesis-1-1-9","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:10","aderet-eliyahu-genesis-genesis-1-1-10","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:11","aderet-eliyahu-genesis-genesis-1-1-11","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:12","aderet-eliyahu-genesis-genesis-1-1-12","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:13","aderet-eliyahu-genesis-genesis-1-1-13","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:14","aderet-eliyahu-genesis-genesis-1-1-14","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:15","aderet-eliyahu-genesis-genesis-1-1-15","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Leviticus 1:1:1","aderet-eliyahu-leviticus-leviticus-1-1-1","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Leviticus 1:1:2","aderet-eliyahu-leviticus-leviticus-1-1-2","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Leviticus 1:1:3","aderet-eliyahu-leviticus-leviticus-1-1-3","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Leviticus 1:1:4","aderet-eliyahu-leviticus-leviticus-1-1-4","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Leviticus 1:1:5","aderet-eliyahu-leviticus-leviticus-1-1-5","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Numbers 1:1:1","aderet-eliyahu-numbers-numbers-1-1-1","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:1","aderet-eliyahu-deuteronomy-deuteronomy-1-1-1","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:2","aderet-eliyahu-deuteronomy-deuteronomy-1-1-2","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:3","aderet-eliyahu-deuteronomy-deuteronomy-1-1-3","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:4","aderet-eliyahu-deuteronomy-deuteronomy-1-1-4","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:5","aderet-eliyahu-deuteronomy-deuteronomy-1-1-5","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:6","aderet-eliyahu-deuteronomy-deuteronomy-1-1-6","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:7","aderet-eliyahu-deuteronomy-deuteronomy-1-1-7","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:8","aderet-eliyahu-deuteronomy-deuteronomy-1-1-8","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:9","aderet-eliyahu-deuteronomy-deuteronomy-1-1-9","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:10","aderet-eliyahu-deuteronomy-deuteronomy-1-1-10","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:11","aderet-eliyahu-deuteronomy-deuteronomy-1-1-11","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:12","aderet-eliyahu-deuteronomy-deuteronomy-1-1-12","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:13","aderet-eliyahu-deuteronomy-deuteronomy-1-1-13","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:14","aderet-eliyahu-deuteronomy-deuteronomy-1-1-14","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:15","aderet-eliyahu-deuteronomy-deuteronomy-1-1-15","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:16","aderet-eliyahu-deuteronomy-deuteronomy-1-1-16","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:17","aderet-eliyahu-deuteronomy-deuteronomy-1-1-17","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:18","aderet-eliyahu-deuteronomy-deuteronomy-1-1-18","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:19","aderet-eliyahu-deuteronomy-deuteronomy-1-1-19","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:20","aderet-eliyahu-deuteronomy-deuteronomy-1-1-20","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:21","aderet-eliyahu-deuteronomy-deuteronomy-1-1-21","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:22","aderet-eliyahu-deuteronomy-deuteronomy-1-1-22","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:23","aderet-eliyahu-deuteronomy-deuteronomy-1-1-23","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:24","aderet-eliyahu-deuteronomy-deuteronomy-1-1-24","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:25","aderet-eliyahu-deuteronomy-deuteronomy-1-1-25","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:26","aderet-eliyahu-deuteronomy-deuteronomy-1-1-26","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:27","aderet-eliyahu-deuteronomy-deuteronomy-1-1-27","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:28","aderet-eliyahu-deuteronomy-deuteronomy-1-1-28","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:29","aderet-eliyahu-deuteronomy-deuteronomy-1-1-29","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:30","aderet-eliyahu-deuteronomy-deuteronomy-1-1-30","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:31","aderet-eliyahu-deuteronomy-deuteronomy-1-1-31","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:32","aderet-eliyahu-deuteronomy-deuteronomy-1-1-32","","","not_done",""
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Deuteronomy 1:1:33","aderet-eliyahu-deuteronomy-deuteronomy-1-1-33","","","not_done",""
