"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:1","sefer-yetzirah-gra-version-1-1","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:2","sefer-yetzirah-gra-version-1-2","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:3","sefer-yetzirah-gra-version-1-3","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:4","sefer-yetzirah-gra-version-1-4","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:5","sefer-yetzirah-gra-version-1-5","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:6","sefer-yetzirah-gra-version-1-6","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:7","sefer-yetzirah-gra-version-1-7","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:8","sefer-yetzirah-gra-version-1-8","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:9","sefer-yetzirah-gra-version-1-9","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:10","sefer-yetzirah-gra-version-1-10","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:11","sefer-yetzirah-gra-version-1-11","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:12","sefer-yetzirah-gra-version-1-12","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:13","sefer-yetzirah-gra-version-1-13","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 1:14","sefer-yetzirah-gra-version-1-14","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:1","sefer-yetzirah-gra-version-2-1","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:2","sefer-yetzirah-gra-version-2-2","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:3","sefer-yetzirah-gra-version-2-3","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:4","sefer-yetzirah-gra-version-2-4","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:5","sefer-yetzirah-gra-version-2-5","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 2:6","sefer-yetzirah-gra-version-2-6","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 3:1","sefer-yetzirah-gra-version-3-1","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 3:2","sefer-yetzirah-gra-version-3-2","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 3:3","sefer-yetzirah-gra-version-3-3","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 3:4","sefer-yetzirah-gra-version-3-4","","","not_done",""
"sefer-yetzirah-gra-version","Sefer Yetzirah Gra Version","Sefer Yetzirah Gra Version 3:5","sefer-yetzirah-gra-version-3-5","","","not_done",""
