"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:1","arukh-hashulchan-introduction-introduction-1","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:2","arukh-hashulchan-introduction-introduction-2","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:3","arukh-hashulchan-introduction-introduction-3","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:4","arukh-hashulchan-introduction-introduction-4","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:5","arukh-hashulchan-introduction-introduction-5","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:6","arukh-hashulchan-introduction-introduction-6","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:7","arukh-hashulchan-introduction-introduction-7","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:8","arukh-hashulchan-introduction-introduction-8","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:9","arukh-hashulchan-introduction-introduction-9","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:10","arukh-hashulchan-introduction-introduction-10","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:11","arukh-hashulchan-introduction-introduction-11","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:12","arukh-hashulchan-introduction-introduction-12","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:13","arukh-hashulchan-introduction-introduction-13","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:14","arukh-hashulchan-introduction-introduction-14","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:15","arukh-hashulchan-introduction-introduction-15","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:16","arukh-hashulchan-introduction-introduction-16","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:17","arukh-hashulchan-introduction-introduction-17","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:18","arukh-hashulchan-introduction-introduction-18","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:19","arukh-hashulchan-introduction-introduction-19","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:20","arukh-hashulchan-introduction-introduction-20","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:21","arukh-hashulchan-introduction-introduction-21","","","not_done",""
"arukh-hashulchan","Arukh HaShulchan","Arukh HaShulchan, Introduction:22","arukh-hashulchan-introduction-introduction-22","","","not_done",""
